index,time,conflicts
0,1.83,11583
1,2.33,13995
2,2.43,15100
3,2.9,17512
4,2.36,14428
5,3.04,21054
6,3.07,19645
7,4.04,28099
8,2.38,13988
9,2.78,17645
10,3.14,20042
11,4.26,31025
12,3.18,20947
13,4.02,26881
14,4.05,28937
15,5.72,39450
16,2.3,14219
17,3.17,20230
18,2.96,20295
19,4.13,28360
20,3.08,20325
21,3.87,26769
22,4.03,26976
23,5.39,38974
24,2.92,20447
25,3.82,26310
26,4.02,27828
27,5.44,41579
28,4.26,28630
29,6.23,42852
30,5.73,40456
31,8.52,60899
32,2.25,13345
33,2.95,20975
34,2.9,19474
35,3.98,27315
36,2.87,20827
37,4.16,26567
38,4.0,28192
39,5.55,41621
40,3.04,20339
41,3.98,26570
42,4.02,28200
43,5.94,42908
44,4.09,29628
45,5.78,40371
46,5.58,38379
47,7.95,61424
48,3.02,19617
49,4.2,27901
50,4.02,27678
51,5.3,40419
52,4.1,27562
53,5.66,40607
54,5.65,38346
55,8.11,61985
56,4.14,30446
57,5.61,42542
58,5.63,42730
59,8.35,61370
60,5.61,38969
61,8.49,62116
62,8.39,59680
63,11.82,86835
64,2.31,14090
65,3.06,21185
66,3.26,22216
67,4.21,26649
68,3.12,22514
69,4.32,28054
70,4.3,30210
71,6.1,39231
72,3.05,19310
73,4.31,27746
74,4.33,27228
75,6.18,39627
76,4.45,28696
77,5.89,39700
78,5.97,38387
79,9.54,60593
80,3.07,20017
81,4.43,28338
82,4.27,26039
83,5.82,36795
84,4.34,27409
85,5.94,37073
86,6.14,39558
87,8.9,56832
88,4.44,29741
89,6.24,41238
90,6.18,39230
91,8.27,55684
92,6.13,40373
93,8.75,57497
94,8.81,55723
95,14.04,86555
96,2.99,19918
97,4.43,29167
98,4.39,27317
99,6.3,40129
100,4.32,27994
101,5.94,38850
102,6.17,40981
103,9.04,59884
104,4.31,29333
105,5.98,42520
106,6.35,41499
107,8.76,57656
108,5.99,41976
109,8.33,53699
110,8.79,59022
111,13.36,88962
112,4.3,29528
113,6.06,40392
114,6.03,37710
115,8.8,58837
116,5.96,38733
117,8.97,59030
118,8.87,57321
119,13.3,84710
120,6.13,39955
121,9.0,57330
122,9.1,60142
123,13.79,82325
124,9.22,63886
125,12.83,84346
126,14.01,96201
127,20.97,133072
128,2.32,14297
129,3.13,20851
130,3.04,19473
131,4.55,29611
132,3.0,19594
133,4.32,27282
134,4.06,27390
135,5.76,39150
136,3.01,20954
137,4.36,27791
138,4.55,28192
139,6.27,40744
140,4.25,26347
141,6.06,39231
142,6.5,40894
143,8.79,55581
144,3.16,20401
145,4.31,27660
146,4.11,25573
147,5.83,38470
148,4.5,28789
149,6.43,42716
150,6.32,40401
151,9.12,58011
152,4.25,28252
153,6.5,41721
154,6.0,38694
155,9.04,60563
156,5.65,38643
157,8.05,56418
158,8.71,54798
159,12.44,81437
160,2.89,17284
161,4.31,27776
162,3.98,26973
163,5.69,37466
164,4.13,27267
165,6.11,39934
166,5.9,37203
167,8.49,54751
168,3.94,25032
169,5.73,36966
170,6.11,38501
171,9.01,57182
172,5.87,39991
173,8.8,59216
174,8.74,58824
175,12.96,82353
176,4.25,27276
177,6.03,40952
178,5.85,38967
179,9.08,56377
180,5.89,40524
181,8.63,55286
182,8.63,55601
183,12.4,83904
184,5.9,40554
185,8.8,58220
186,8.82,54671
187,13.0,81321
188,8.45,56600
189,12.98,83255
190,12.57,80591
191,19.86,127281
192,2.84,18507
193,4.08,26868
194,4.38,26306
195,6.15,38881
196,4.1,28313
197,6.04,39075
198,5.67,37192
199,8.6,56422
200,4.19,29057
201,6.16,40207
202,6.08,39120
203,9.04,54534
204,5.88,38844
205,8.49,54598
206,9.13,55188
207,13.87,81733
208,4.24,28060
209,6.17,38775
210,6.04,38206
211,8.49,53180
212,6.0,39471
213,9.42,60534
214,9.02,54781
215,14.25,87023
216,5.71,39229
217,8.64,54331
218,8.8,55356
219,13.5,83973
220,9.01,56078
221,12.85,78581
222,13.51,80437
223,20.56,123944
224,4.1,27484
225,5.84,37473
226,6.07,38957
227,9.0,56679
228,5.56,35989
229,8.6,54605
230,8.43,54917
231,13.29,83053
232,5.94,39915
233,8.55,53624
234,9.62,64551
235,13.58,81150
236,8.52,58479
237,13.32,80078
238,12.94,81603
239,20.98,126389
240,6.15,41116
241,9.54,63684
242,8.87,56061
243,13.08,82960
244,8.95,56917
245,13.73,83998
246,13.03,88177
247,20.03,116827
248,8.7,58747
249,13.57,83822
250,13.42,84209
251,20.4,122883
252,13.34,88780
253,20.2,120715
254,19.82,127414
255,32.27,186865
256,2.25,13955
257,3.04,20004
258,2.98,19636
259,4.26,27754
260,3.16,20758
261,4.36,26892
262,4.43,29184
263,5.48,35534
264,2.96,19425
265,4.3,28251
266,4.28,27455
267,5.49,39682
268,4.31,26857
269,6.14,42150
270,5.82,36853
271,8.29,56218
272,3.15,21430
273,3.9,26185
274,4.12,26524
275,6.02,39758
276,4.5,29018
277,5.82,38174
278,6.1,40080
279,8.96,59800
280,4.22,27489
281,6.12,40101
282,5.8,37411
283,9.14,61757
284,5.93,40330
285,8.33,57074
286,8.53,57955
287,12.42,86410
288,3.03,19396
289,4.36,28256
290,4.08,27571
291,5.58,36779
292,3.95,26708
293,6.03,42365
294,5.51,39635
295,8.96,63503
296,4.28,27696
297,5.93,40222
298,6.03,41182
299,8.95,58036
300,5.68,38031
301,8.51,57119
302,8.7,55373
303,12.02,77990
304,4.31,28037
305,6.09,39739
306,5.9,42625
307,8.43,52956
308,5.84,40339
309,8.46,58635
310,8.13,57091
311,13.24,86314
312,5.82,38705
313,8.2,55394
314,8.45,61242
315,12.8,87152
316,8.66,59072
317,12.55,86118
318,12.86,86082
319,19.19,128169
320,3.05,20206
321,4.39,29653
322,4.2,27025
323,6.12,39644
324,4.15,27057
325,5.92,37080
326,5.94,38837
327,8.59,56237
328,4.22,28076
329,6.23,40120
330,6.19,38485
331,8.39,52756
332,5.83,38120
333,8.64,56900
334,8.62,56685
335,13.39,83423
336,4.06,26810
337,5.94,36217
338,6.52,44230
339,9.14,57032
340,5.94,40786
341,8.84,54933
342,9.03,57450
343,14.04,86660
344,6.02,40575
345,8.85,60304
346,8.67,58567
347,13.54,84557
348,8.89,61857
349,12.47,79149
350,12.57,83882
351,19.15,117248
352,4.21,28915
353,6.0,39807
354,5.96,38004
355,8.72,56738
356,5.72,38253
357,8.64,56627
358,8.82,59877
359,12.94,82104
360,6.01,39963
361,8.9,57777
362,8.82,55959
363,12.59,77714
364,9.1,61889
365,12.3,78867
366,13.29,82254
367,20.02,117283
368,5.77,38357
369,8.99,58013
370,8.5,52217
371,12.93,83765
372,8.53,56045
373,13.02,79844
374,13.94,94651
375,20.33,122598
376,8.97,61793
377,13.81,86955
378,13.79,81774
379,19.98,123978
380,13.46,81468
381,19.09,112226
382,20.47,123838
383,32.07,186447
384,2.8,18603
385,4.23,29080
386,4.18,25933
387,6.1,38911
388,4.01,26341
389,5.86,36742
390,5.96,40508
391,9.16,61416
392,4.19,28318
393,5.98,38886
394,6.16,39323
395,8.69,55274
396,5.96,37791
397,8.62,57056
398,8.83,56355
399,12.95,80231
400,4.23,28315
401,5.76,37483
402,5.88,38979
403,8.54,51920
404,5.96,37988
405,8.55,51907
406,8.53,56615
407,12.48,76653
408,6.09,41716
409,8.56,56359
410,9.2,59358
411,12.62,84998
412,8.4,52567
413,12.97,82002
414,13.32,79695
415,19.38,126089
416,3.98,26582
417,5.96,39916
418,6.03,38530
419,8.83,57096
420,5.41,35937
421,8.24,56833
422,8.21,54647
423,11.8,83043
424,5.8,37577
425,9.25,59503
426,8.78,57659
427,13.73,84443
428,8.36,59725
429,12.43,81470
430,12.89,80951
431,19.5,120412
432,5.99,38357
433,8.62,57596
434,8.64,57134
435,12.72,83311
436,8.55,55783
437,13.06,81285
438,13.05,85044
439,18.7,117191
440,8.35,53487
441,12.6,80574
442,12.65,80337
443,20.19,123611
444,12.34,75274
445,19.22,121018
446,20.11,118289
447,29.19,175388
448,3.98,27361
449,6.01,39804
450,5.72,36828
451,8.5,58379
452,5.95,38912
453,8.06,50416
454,8.48,52099
455,13.53,88510
456,5.8,39424
457,8.92,58938
458,9.34,60101
459,13.3,79615
460,8.63,56415
461,12.54,77648
462,13.13,84087
463,20.19,116589
464,5.91,38461
465,8.56,53354
466,8.82,53210
467,13.29,77854
468,8.14,52500
469,12.74,76621
470,12.75,80268
471,19.85,124925
472,8.83,59474
473,12.42,74368
474,12.44,77911
475,20.63,119477
476,13.19,80326
477,19.3,112398
478,21.09,119568
479,32.06,178098
480,5.62,40084
481,8.89,57034
482,8.39,53301
483,13.7,80638
484,8.28,51792
485,13.18,82198
486,13.08,78988
487,18.34,108773
488,8.4,54992
489,13.13,82262
490,13.73,85170
491,20.71,120938
492,12.94,84062
493,20.29,120445
494,20.53,128226
495,33.79,184259
496,8.43,58291
497,12.78,76627
498,12.47,79406
499,19.26,120687
500,12.92,83683
501,19.23,110764
502,18.13,106704
503,31.26,187459
504,13.25,85425
505,19.85,120193
506,20.84,121645
507,31.53,186375
508,18.87,112849
509,28.89,167705
510,31.9,178658
511,51.06,268902
512,2.29,13061
513,3.25,20922
514,3.16,21380
515,4.2,28234
516,3.21,20200
517,4.32,28055
518,4.05,25984
519,5.89,39152
520,2.98,20012
521,4.23,26874
522,4.28,26824
523,5.92,40644
524,4.03,26077
525,5.78,38986
526,5.87,40011
527,8.51,59485
528,3.19,21238
529,4.5,28441
530,4.19,26961
531,5.96,39339
532,4.05,26998
533,6.04,40042
534,5.59,38907
535,9.24,58282
536,4.11,27687
537,5.87,38945
538,5.81,41310
539,9.15,61493
540,6.23,41113
541,8.16,54330
542,8.65,58883
543,12.96,84556
544,3.16,21775
545,4.14,29338
