index,time,conflicts
0,18.99,135985
1,19.25,124119
2,19.54,127537
3,20.19,133010
4,19.5,127348
5,21.15,134799
6,20.24,120904
7,21.8,129712
8,20.77,144082
9,20.08,128615
10,20.95,137353
11,21.01,136518
12,22.38,147267
13,22.03,132485
14,19.69,130565
15,22.96,132102
16,21.85,137223
17,21.35,125271
18,19.41,116271
19,20.86,119225
20,18.29,121115
21,20.07,118814
22,21.02,123320
23,22.46,123916
24,21.48,130164
25,21.4,124536
26,20.49,122144
27,21.25,131664
28,21.92,130620
29,22.71,127749
30,21.47,120467
31,22.64,123725
32,19.35,125933
33,19.51,121453
34,19.65,120857
35,19.46,125472
36,20.78,127221
37,21.26,121637
38,21.44,121662
39,21.08,125987
40,21.86,134063
41,20.41,122743
42,20.67,128233
43,20.33,114574
44,21.2,125078
45,19.85,110668
46,21.56,117969
47,22.13,127037
48,20.13,132158
49,20.02,122942
50,20.59,121366
51,20.28,121572
52,20.74,121294
53,20.17,119777
54,20.45,116283
55,21.87,124918
56,20.53,120245
57,21.12,119617
58,21.82,128965
59,22.95,131637
60,22.41,125502
61,22.1,124989
62,20.48,119120
63,23.69,130437
64,21.53,140157
65,18.54,119565
66,20.84,132912
67,21.9,134604
68,20.6,129579
69,22.68,137500
70,21.39,124988
71,22.62,142168
72,20.6,127655
73,21.14,126102
74,21.25,134978
75,23.13,137698
76,21.1,127704
77,21.94,130511
78,20.98,118496
79,22.56,136708
80,20.22,132989
81,20.7,124740
82,20.37,121617
83,20.9,116779
84,22.49,130677
85,21.92,123559
86,21.02,117616
87,21.64,120518
88,19.55,117567
89,21.77,125790
90,21.45,125131
91,20.04,105793
92,21.04,121047
93,21.51,113481
94,22.5,120590
95,23.29,130752
96,20.77,131358
97,19.21,120567
98,20.15,123456
99,21.26,126759
100,21.63,126314
101,21.26,118536
102,21.24,122529
103,21.84,115973
104,19.58,119058
105,20.46,119046
106,22.27,124916
107,22.54,132791
108,22.77,129142
109,23.13,126755
110,23.38,128023
111,22.07,120988
112,19.68,123800
113,20.55,118907
114,20.48,120510
115,21.54,127441
116,20.97,121867
117,21.12,112130
118,21.23,114670
119,21.19,110788
120,23.08,137271
121,20.35,120124
122,20.34,115930
123,21.16,108402
124,22.6,121028
125,21.78,115242
126,22.92,121284
127,22.93,121332
128,18.46,126312
129,21.6,129602
130,20.61,132663
131,19.63,125210
132,24.96,154489
133,21.43,125564
134,22.0,128836
135,22.06,123539
136,20.22,130037
137,20.02,117169
138,21.2,124513
139,20.86,114412
140,21.83,128835
141,20.98,119854
142,23.34,138435
143,23.86,130845
144,18.62,118297
145,21.99,128341
146,21.15,124222
147,20.8,115692
148,21.03,124620
149,21.07,123864
150,21.17,115224
151,20.76,115150
152,23.21,138742
153,20.79,124151
154,20.42,108563
155,22.96,129306
156,22.88,125148
157,20.81,119337
158,21.42,117103
159,21.99,110571
160,19.61,129023
161,19.42,126720
162,20.63,128044
163,20.56,124391
164,20.31,124650
165,20.71,132049
166,20.93,117547
167,22.74,122379
168,20.76,122104
169,21.11,120534
170,21.73,129007
171,22.49,122108
172,21.42,118586
173,20.47,117422
174,20.54,113876
175,22.29,117261
176,19.25,118253
177,20.97,122214
178,21.77,130100
179,20.59,124582
180,21.57,125689
181,21.08,121176
182,20.47,115269
183,20.67,121726
184,21.19,124040
185,21.41,120789
186,20.92,118525
187,21.33,116935
188,20.55,116733
189,23.33,130888
190,21.38,112713
191,20.44,115998
192,20.94,139473
193,21.06,125997
194,21.18,122341
195,21.15,129234
196,20.86,126823
197,20.45,125245
198,22.89,124215
199,22.53,127126
200,22.23,133067
201,21.64,123380
202,20.08,117143
203,21.93,131063
204,21.77,127265
205,20.97,120757
206,22.16,122816
207,23.62,136697
208,19.76,120086
209,23.16,132889
210,20.3,118702
211,20.04,108419
212,20.54,120476
213,22.91,131278
214,21.03,116512
215,23.6,123748
216,20.65,120055
217,22.13,115718
218,20.5,116992
219,22.38,127591
220,20.49,110201
221,22.69,117616
222,20.64,111901
223,21.2,107506
224,21.54,137284
225,20.53,129526
226,21.57,133791
227,26.23,145394
228,21.62,128821
229,21.85,128127
230,20.68,124489
231,21.54,118891
232,21.33,121885
233,21.21,114596
234,20.88,115677
235,20.98,120424
236,21.01,116090
237,21.96,118519
238,21.16,112393
239,22.11,118012
240,19.58,124504
241,19.64,113218
242,21.89,123863
243,20.35,118016
244,21.92,125683
245,21.18,112326
246,22.51,120693
247,22.66,118007
248,20.69,120160
249,21.57,125779
250,21.06,116675
251,20.45,118254
252,21.39,117538
253,22.14,117671
254,21.0,112494
255,22.18,112433
