index,time,conflicts
0,2277.06,5429942
1,2386.75,5643562
2,2446.38,5843194
3,2817.34,6404539
4,2843.84,6517405
5,2068.11,5083437
6,2699.38,6250764
7,2316.32,5487444
8,2121.8,5104729
9,2710.34,6150786
10,2459.65,5814176
11,2591.03,5853041
12,2476.6,5801605
13,2755.16,6187423
14,2219.77,5236820
15,2938.21,6711217
16,2383.95,5523578
17,2498.53,5893473
18,2418.33,5657398
19,2064.86,5101445
20,2529.47,5864254
21,2351.24,5538235
22,2558.79,5842499
23,2594.32,5883393
24,2781.99,6397292
25,2229.27,5617674
26,2287.35,5400280
27,2446.15,5681338
28,2352.0,5585626
29,2807.13,6238478
30,2984.5,6470571
31,2560.92,5957080
32,2176.58,5438314
33,2599.55,5950519
34,2674.23,5952692
35,2343.4,5504461
36,2526.46,5885991
37,2633.82,6023709
38,2533.09,5739588
39,2302.43,5534791
40,2539.93,5917035
41,2801.02,6307017
42,2581.14,5919479
43,2400.08,5643424
44,2274.27,5585985
45,2589.71,5737605
46,2351.05,5433951
47,2457.82,5662481
48,2784.32,6201340
49,2747.47,6345031
50,2630.78,5883456
51,2340.54,5516460
52,2365.43,5541275
53,2858.57,6366539
54,2556.53,5924581
55,2434.71,5640766
56,2607.45,5987849
57,2230.25,5231819
58,2433.92,5631101
59,2359.92,5422766
60,2660.42,6017056
61,2374.95,5415282
62,2464.1,5779252
63,2615.5,5898131
64,2672.62,6087483
65,2235.48,5454917
66,2595.37,6075869
67,2774.54,6356136
68,2627.91,6012099
69,2494.8,5858351
70,2269.92,5521870
71,2811.81,6474898
72,2428.99,5778567
73,2252.17,5495130
74,2685.06,6180047
75,2711.35,6002842
76,2212.76,5310102
77,2739.46,6304787
78,2647.76,5978103
79,2730.15,6373053
80,2632.25,6275219
81,2586.33,6187319
82,2399.91,5664445
83,1939.11,4858201
84,2545.68,5791345
85,2302.01,5513282
86,2553.93,5912966
87,2444.44,5859682
88,2546.57,5926802
89,2497.45,5814531
90,2595.05,5862663
91,2800.09,6305551
92,2727.39,6163064
93,2435.0,5759835
94,2447.63,5787892
95,2787.95,6255366
96,2174.97,5184388
97,2569.94,5888362
98,2952.86,6427110
99,2752.69,6285943
100,2606.43,5996520
101,2548.98,5893616
102,2790.25,6481640
103,2434.28,5762577
104,2382.22,5622966
105,2456.72,5747248
106,2721.14,6152788
107,2647.16,6113445
108,2776.13,6177291
109,2516.33,5856321
110,2400.21,5556361
111,2655.35,6144665
112,2418.59,5695838
113,2730.01,6165132
114,2342.5,5565533
115,2443.93,5758618
116,2607.92,5914973
117,2615.1,5913965
118,2596.92,5939625
119,2735.72,6249597
120,2756.77,6246171
121,2723.14,6176803
122,2794.85,6316962
123,2637.34,6133046
124,2557.19,5988292
125,2430.46,5593301
126,2444.39,5696267
127,2605.39,6006640
128,2696.79,6163412
129,2276.84,5405312
130,3041.93,6843176
131,2488.45,5883349
132,2414.75,5690412
133,2183.25,5348190
134,2329.0,5450784
135,2252.86,5402489
136,2208.83,5317785
137,2146.28,5356653
138,2837.16,6425088
139,2175.86,5335727
140,2652.31,6079998
141,2452.91,5804882
142,2554.53,5941292
143,2240.33,5407461
144,3118.31,6735210
145,2841.89,6398567
146,2598.45,5671995
147,2356.35,5407992
148,2506.15,5809856
149,2573.28,5931627
150,2556.96,6053794
151,2140.86,5276742
152,2358.09,5560868
153,2685.33,6114942
154,2751.61,6109933
155,2715.95,6156016
156,2077.88,5136146
157,2653.21,6114050
158,2247.69,5267443
159,2352.46,5694398
160,2669.96,6210985
161,2229.56,5369158
162,2683.97,6002495
163,2349.12,5505925
164,2881.8,6393744
165,2290.53,5549297
166,2664.21,6057470
167,2677.81,6304838
168,2586.26,6045582
169,2189.42,5339589
170,2166.37,5357157
171,2383.24,5491498
172,2598.08,5934026
173,2574.11,5837059
174,2562.74,5940329
175,2956.78,6608828
176,2774.71,6196598
177,2464.98,5759357
178,2646.55,6011953
179,2873.03,6576589
180,2568.03,5843279
181,2485.16,5908072
182,2614.18,5876638
183,2424.05,5762460
184,2808.76,6278080
185,2688.95,6126179
186,2729.98,6387877
187,2306.97,5466832
188,2092.26,5154591
189,2364.37,5442206
190,2615.83,6165983
191,2638.85,6077650
192,2844.44,6407916
193,2179.24,5314983
194,2297.07,5625065
195,2992.65,6840709
196,2725.67,6259399
197,2219.97,5468661
198,3216.58,6992528
199,2288.61,5433046
200,2480.05,5948110
201,2772.78,6258062
202,2300.85,5434352
203,2000.89,4940824
204,2554.91,5897960
205,2339.04,5710359
206,2479.53,5789100
207,2805.43,6513293
208,2509.84,5961527
209,2108.55,5145528
210,2351.87,5587791
211,2157.41,5266214
212,3001.47,6745105
213,2279.8,5526057
214,3048.4,6715248
215,2388.91,5628723
216,2540.7,6113209
217,2529.51,5868368
218,2584.29,6094751
219,2601.65,5975241
220,2668.34,6285373
221,2532.89,5898489
222,2286.21,5495230
223,2859.29,6434995
224,2653.93,6228112
225,2099.55,5265180
226,2411.64,5679897
227,2236.2,5414839
228,2307.55,5724001
229,2370.71,5555848
230,2839.2,6323558
231,2277.74,5487725
232,2408.78,5701612
233,2592.32,5966140
234,2743.37,6336234
235,2842.01,6553077
236,2353.01,5443006
237,2367.81,5637554
238,2778.45,6303605
239,2962.23,6752958
240,2619.07,6067345
241,2421.59,5629403
242,2546.4,5837728
243,2335.89,5587213
244,2340.35,5569597
245,2549.23,6014516
246,2498.11,5884896
247,2672.94,6163130
248,2358.55,5793358
249,2570.8,6033856
250,2395.59,5701244
251,2334.46,5485037
252,2449.72,5909736
253,2620.06,6118448
254,2777.96,6299247
255,2802.2,6404559
256,2388.83,5640022
257,2512.27,5822652
258,2495.93,5773001
259,2647.53,5948681
260,2267.92,5318114
261,2044.77,5093922
262,2157.18,5184558
263,2065.39,5095270
264,2452.49,5654027
265,2542.66,5894027
266,2291.3,5501552
267,2532.47,5782737
268,2678.8,6084027
269,2252.89,5450634
270,2349.88,5473279
271,2397.1,5557499
272,2357.32,5667359
273,2496.43,5768510
274,2417.95,5573105
275,2543.08,5994857
276,2489.04,5779725
277,2255.73,5343060
278,2263.18,5333052
279,2570.78,6018417
280,2285.16,5392882
281,2150.54,5232919
282,2383.37,5603759
283,2392.17,5483751
284,2139.11,5207650
285,2286.24,5394480
286,2430.01,5622355
287,2218.29,5431373
288,2456.56,5783017
289,2502.73,5742227
290,2507.75,5897635
291,2418.17,5638882
292,2813.61,6095731
293,2445.83,5727978
294,2216.93,5340168
295,2374.27,5680298
296,2313.67,5380009
297,2480.21,5660640
298,2628.54,5820082
299,2454.38,5704808
300,2546.37,5811811
301,2190.29,5309799
302,2434.68,5480247
303,2925.0,6405114
304,2200.54,5391287
305,2227.55,5377345
306,2170.07,5318082
307,2657.39,6020550
308,2151.64,5389782
309,2365.48,5551553
310,2597.2,5821612
311,2173.63,5226232
312,2269.7,5346078
313,2754.97,6168685
314,2581.99,5903620
315,2879.7,6278236
316,2468.37,5642111
317,2317.96,5656911
318,2243.87,5371395
319,2431.69,5553212
320,2228.83,5322474
321,2111.59,5332577
322,2505.07,5824498
323,2637.0,6077711
324,2703.37,6206595
325,2376.05,5590817
326,3242.44,6962080
327,2532.86,5815959
328,2291.39,5573385
329,2398.07,5624371
330,2358.04,5642999
331,2610.5,6125526
332,2481.58,5907297
333,2692.06,6134648
334,2595.86,6063887
335,2191.15,5282479
336,2181.67,5349989
337,2561.59,5935302
338,2486.97,5796132
339,2589.08,5880724
340,2736.44,6141752
341,2359.4,5586531
342,2759.16,6172559
343,2167.45,5259783
344,2028.4,5028908
345,2786.33,6280303
346,2053.3,5088045
347,2524.76,5894344
348,2140.81,5298631
349,2676.62,6133749
350,2319.26,5571861
351,2502.57,5828303
352,2313.36,5480962
353,2661.46,6078804
354,2128.72,5145960
355,2316.64,5394853
356,2571.19,5979751
357,2498.95,5685391
358,2721.66,6347668
359,2539.44,5922510
360,2598.97,5815181
361,2278.99,5391537
362,2400.46,5681002
363,2629.27,6143516
364,2617.72,6194192
365,2396.36,5645344
366,2097.51,5076565
367,2763.2,6266054
368,2302.29,5559971
369,2687.8,5948851
370,2291.76,5571639
371,2703.21,6192659
372,2658.14,6199159
373,2713.67,6231595
374,2386.43,5672691
375,2501.26,5767387
376,2267.47,5581123
377,2417.39,5671138
378,2521.07,5719601
379,2453.81,5715024
380,2029.73,5147859
381,2277.03,5508629
382,2329.24,5600232
383,2564.36,5953692
384,2697.93,6141661
385,2364.32,5619673
386,2461.41,5832159
387,2870.0,6641389
388,2374.72,5436894
389,2162.71,5355494
390,1993.5,4975383
391,2166.53,5285342
392,2485.99,5712628
393,2209.05,5364305
394,1916.2,4751924
395,2925.7,6499978
396,2551.23,5955147
397,2156.11,5288094
398,2592.21,5961164
399,2547.67,5856583
400,2550.52,5957360
401,2790.64,6241791
402,2739.56,6274740
403,2238.09,5405820
404,2133.5,5201453
405,2470.24,5779624
406,2558.1,5962881
407,2022.38,5063448
408,2186.56,5255029
409,2592.3,6043629
410,2392.8,5675033
411,2084.72,5153046
412,2273.65,5482915
413,2408.46,5693967
414,2147.3,5163265
415,2345.41,5744217
416,2265.88,5435695
417,2670.21,6234596
418,2381.31,5541856
419,2710.92,6174868
420,2499.87,6046112
421,2141.57,5399855
422,2529.37,5994101
423,2433.62,5639715
424,2717.38,6387410
425,2197.8,5234318
426,2441.76,5839128
427,2266.53,5375947
428,2126.7,5286379
429,2914.31,6626807
430,2350.68,5598393
431,3055.99,6661935
432,2632.56,5930313
433,2333.63,5600087
434,2254.01,5355956
435,2628.33,5891654
436,2868.46,6509262
437,2415.52,5687811
438,2667.05,6168549
439,2374.89,5598168
440,2533.8,6036607
441,2690.53,6112635
442,2653.87,6153367
443,2371.38,5533933
444,2436.6,5646372
445,2326.88,5411932
446,2963.08,6506933
447,2814.45,6133043
448,2595.49,6011563
449,2046.15,5166584
450,2435.32,5925606
451,2151.49,5235415
452,2024.99,4995939
453,2383.39,5757480
454,2416.7,5678625
455,1952.21,5000496
