index,time,conflicts
0,0.17,3310
1,0.41,7936
2,0.42,8824
3,0.74,17591
4,0.51,10779
5,0.85,19041
6,0.89,20408
7,1.4,30433
8,0.49,9924
9,0.83,18600
10,0.93,20520
11,1.37,30257
12,0.94,20187
13,1.37,30315
14,1.42,29428
15,2.38,47533
16,0.45,8546
17,0.81,18497
18,0.92,19144
19,1.45,31159
20,0.93,20390
21,1.5,31266
22,1.5,31479
23,2.47,47057
24,0.83,17203
25,1.65,33974
26,1.47,29818
27,2.38,49003
28,1.52,30128
29,2.43,47306
30,2.45,47086
31,3.55,66496
32,0.47,9600
33,0.74,17216
34,0.78,17091
35,1.3,28612
36,0.89,20270
37,1.3,28829
38,1.28,28973
39,2.05,43845
40,0.86,19220
41,1.32,28866
42,1.39,30103
43,1.94,42388
44,1.45,29889
45,2.26,47399
46,2.39,48495
47,3.5,68423
48,0.8,17900
49,1.14,26146
50,1.21,25779
51,1.97,41271
52,1.4,30205
53,2.16,44128
54,2.48,49568
55,3.36,63358
56,1.15,23224
57,2.2,45517
58,2.11,42386
59,3.17,62870
60,2.33,44060
61,3.67,72837
62,3.51,66685
63,5.8,108131
64,0.33,6278
65,0.83,18298
66,0.86,19018
67,1.64,35368
68,0.81,18405
69,1.48,31236
70,1.38,30084
71,2.89,57044
72,0.89,17991
73,1.45,29114
74,1.62,31768
75,2.6,49598
76,1.49,28425
77,2.74,51051
78,2.74,49995
79,5.09,92436
80,0.91,18925
81,1.54,30177
82,1.39,28347
83,2.75,55485
84,1.78,34673
85,2.73,50678
86,2.99,55625
87,4.74,84940
88,1.26,24836
89,2.42,45832
90,2.26,42031
91,4.85,82596
92,2.33,42049
93,5.02,85241
94,4.97,81934
95,8.23,132275
96,0.78,15535
97,1.43,29335
98,1.45,29047
99,2.54,47432
100,1.55,33576
101,2.4,45255
102,2.86,53807
103,4.68,85958
104,1.33,27309
105,2.5,48949
106,2.4,43240
107,4.4,82103
108,2.57,48273
109,4.03,74998
110,4.69,78565
111,7.29,124035
112,1.39,28748
113,2.31,44665
114,2.35,43847
115,4.74,85801
116,2.72,50122
117,4.16,71204
118,4.3,74950
119,7.53,121068
120,2.17,38377
121,3.78,68854
122,3.76,66288
123,7.44,119440
124,3.34,60144
125,7.8,123182
126,7.99,126286
127,12.28,187104
128,0.39,7168
129,0.84,18447
130,0.79,16197
131,1.59,33913
132,0.97,18789
133,1.48,29861
134,1.41,29013
135,2.65,52115
136,0.94,18931
137,1.53,31101
138,1.43,29396
139,2.74,52823
140,1.55,30933
141,2.58,51126
142,2.61,50734
143,4.76,82162
144,0.87,17663
145,1.53,31239
146,1.41,29049
147,2.8,54908
148,1.36,27304
149,3.06,57862
150,2.71,52595
151,5.09,92175
152,1.46,28309
153,2.69,50836
154,2.44,45906
155,4.38,79309
156,2.61,47896
157,4.41,82571
158,4.22,73806
159,8.25,135134
160,0.76,15423
161,1.46,29446
162,1.46,29713
163,2.65,52099
164,1.55,33001
165,2.59,49546
166,2.44,47690
167,4.82,85009
168,1.56,30709
169,2.51,47450
170,2.25,42184
171,4.02,74058
172,2.59,48176
173,4.24,78461
174,4.25,72735
175,7.73,129430
176,1.22,25553
177,2.28,44384
178,1.83,34800
179,3.99,72106
180,2.45,43227
181,4.4,79627
182,4.79,84381
183,6.97,114320
184,2.07,38234
185,3.78,69036
186,3.84,67851
187,7.02,117831
188,4.12,70494
189,7.06,120081
190,6.88,109720
191,12.75,195260
192,0.66,13819
193,1.28,26912
194,1.27,27305
195,2.82,54630
196,1.64,31517
197,2.69,47163
198,2.51,46184
199,4.71,80467
200,1.36,26852
201,2.57,44741
202,2.46,42807
203,5.56,90759
204,2.66,46297
205,4.51,74953
206,4.17,69485
207,8.41,132032
208,1.27,26819
209,2.28,41084
210,2.5,45126
211,4.79,84091
212,2.69,47414
213,4.94,78522
214,4.62,78176
215,8.84,133129
216,2.22,40346
217,4.1,65099
218,4.26,71440
219,8.4,132352
220,4.39,68897
221,8.32,122056
222,7.95,117420
223,15.47,209563
224,1.28,26045
225,2.3,41446
226,2.26,40391
227,4.9,79473
228,2.55,45036
229,4.83,80179
230,4.58,76390
231,8.13,127401
232,2.58,47304
233,4.06,66398
234,4.09,68801
235,7.12,114892
236,4.17,67569
237,6.87,109931
238,7.06,109692
239,12.2,179223
240,2.04,36959
241,3.56,60790
242,3.06,52163
243,7.34,110223
244,4.66,73369
245,7.13,109233
246,6.56,96594
