index,time,conflicts
0,17.29,177207
1,16.98,173877
2,17.1,166723
3,17.29,166391
4,16.59,168050
5,17.3,172675
6,17.26,175134
7,19.19,197308
8,17.7,180158
9,18.27,183787
10,19.97,200161
11,18.79,189677
12,20.1,200822
13,17.51,170409
14,16.46,160727
15,16.3,161891
16,16.46,163444
17,16.45,163820
18,15.68,157482
19,17.56,172243
20,18.38,179369
21,16.8,168798
22,16.2,165531
23,17.53,176304
24,17.43,179010
25,17.54,176176
26,16.61,159229
27,17.93,187935
28,18.78,188837
29,16.54,168554
30,16.12,161209
31,17.77,175844
32,16.62,166327
33,19.62,196271
34,17.63,173148
35,16.94,162569
36,16.32,169212
37,17.85,182717
38,15.02,148066
39,19.44,199625
40,16.5,161872
41,17.35,172786
42,16.88,165139
43,16.39,160565
44,19.05,191318
45,16.63,167024
46,17.66,175246
47,17.36,174117
48,16.66,163234
49,17.98,180815
50,16.92,162710
51,17.82,168162
52,17.26,168612
53,18.26,175673
54,17.1,166667
55,16.93,163892
56,16.88,171888
57,16.29,154691
58,15.72,154752
59,16.38,158400
60,16.65,163866
61,16.85,172392
62,16.07,157595
63,16.21,158755
64,16.65,166252
65,17.11,167330
66,18.37,182297
67,18.36,180920
68,16.01,164840
69,17.45,171631
70,17.13,171838
71,17.57,174836
72,16.83,166065
73,16.76,168956
74,16.65,171165
75,18.01,174183
76,16.76,168128
77,15.66,155395
78,16.51,162419
79,16.94,166573
80,18.31,182185
81,17.82,174918
82,16.18,159352
83,18.49,183061
84,15.71,156774
85,17.15,176314
86,16.3,160282
87,15.48,158524
88,18.61,179102
89,16.53,160734
90,16.6,168297
91,18.05,181008
92,17.47,171220
93,17.32,179382
94,17.2,174243
95,15.21,150550
96,17.73,170512
97,16.53,161874
98,16.04,161476
99,16.7,162555
100,17.7,180029
101,16.54,167513
102,16.27,162938
103,16.89,168924
104,15.73,155201
105,17.67,173375
106,16.48,167257
107,16.07,161493
108,17.43,179113
109,16.91,172407
110,17.03,170855
111,16.56,159121
112,16.6,162370
113,17.0,166560
114,16.97,163681
115,16.73,166060
116,16.18,157016
117,17.41,165490
118,15.68,160590
119,17.29,173353
120,16.78,166472
121,16.13,158381
122,17.43,171178
123,15.33,146696
124,18.09,182145
125,16.73,169993
126,16.39,165926
127,17.16,172628
128,18.64,189357
129,19.06,182114
130,17.2,168936
131,18.37,180539
132,17.25,179059
133,16.66,167440
134,17.62,177420
135,15.51,155994
136,16.77,170370
137,16.83,166360
138,17.06,174256
139,18.25,180929
140,18.24,180332
141,18.19,177060
142,17.79,176890
143,17.16,173876
144,18.03,180769
145,15.62,154689
146,16.53,165618
147,14.81,149525
148,17.57,180253
149,17.18,166942
150,16.62,164975
151,17.01,169013
152,15.69,156298
153,17.18,163552
154,17.88,172548
155,15.8,158484
156,16.94,162841
157,16.94,168212
158,16.61,162376
159,17.88,178993
160,16.59,168660
161,18.45,184793
162,15.47,154173
163,16.79,162994
164,17.49,176595
165,16.65,172894
166,16.71,176091
167,15.35,153645
168,17.91,179625
169,16.62,170052
170,17.15,173354
171,17.82,172897
172,16.95,168749
173,16.51,166251
174,17.85,181327
175,16.62,171610
176,17.32,167578
177,17.75,172487
178,17.88,180039
179,17.64,171887
180,16.59,161704
181,14.76,148471
182,16.37,166662
183,16.16,167779
184,16.86,168004
185,16.33,165434
186,17.8,171655
187,16.77,172270
188,17.03,173329
189,17.06,167163
190,17.09,166229
191,16.84,165727
192,17.38,172199
193,17.08,174393
194,17.09,162954
195,18.55,176056
196,20.25,203714
197,17.08,171163
198,18.64,186458
199,15.05,146237
200,16.06,159531
201,16.35,168843
202,19.74,201022
203,16.87,169916
204,17.78,175296
205,15.52,150622
206,17.25,179214
207,18.73,183188
208,16.83,162958
209,16.42,162594
210,14.73,148836
211,15.58,153229
212,16.33,164983
213,16.11,158809
214,15.55,157957
215,16.9,169573
216,16.86,170658
217,16.98,163235
218,16.75,166790
219,17.53,166254
220,15.89,157936
221,15.02,151874
222,15.32,152534
223,15.71,161989
224,16.97,162893
225,18.8,188568
226,14.98,153435
227,15.4,154626
228,16.41,168515
229,16.27,166954
230,17.31,176920
231,16.6,172104
232,15.99,170259
233,16.45,159987
234,16.16,149846
235,17.05,165172
236,18.05,181182
237,17.61,179997
238,17.21,171941
239,15.21,151836
240,17.86,169299
241,17.23,172204
242,15.88,155366
243,15.35,156610
244,15.01,156721
245,15.36,153196
246,16.16,162548
247,15.42,161250
248,17.35,174694
249,15.34,152256
250,18.39,181251
251,15.63,157013
252,15.72,154810
253,15.45,160372
254,15.72,157037
255,15.65,155272
