index,time,conflicts
0,121.07,1439108
1,144.61,1584065
2,158.6,1796848
3,220.19,2388408
4,194.19,2071096
5,196.65,1981615
6,215.9,2124743
7,429.75,4065734
8,265.8,2694481
9,314.96,2907259
10,287.69,2781429
11,453.61,3947472
12,314.16,2907875
13,477.08,4241577
14,360.4,3333509
15,610.03,4757444
16,329.84,3047725
17,360.6,3184010
18,305.05,2685444
19,633.48,5335931
20,437.03,3996529
21,509.77,4231284
22,471.06,4015730
23,874.87,6880201
24,519.81,4446270
25,553.54,4752000
26,440.2,3645203
27,779.33,6278306
28,554.47,4529469
29,813.14,6176389
30,609.45,4889319
31,1099.33,7979157
32,315.32,2951324
33,507.32,4396173
34,401.58,3385448
35,641.68,5358308
36,658.55,5505988
37,653.38,5213406
38,645.73,4939112
39,947.17,6978347
40,504.2,4185088
41,689.36,5440892
42,617.31,4939309
43,1031.58,7331976
44,739.4,5671412
45,867.0,6358930
46,593.07,4455024
47,1243.44,8496131
48,537.16,4233890
49,642.79,4974307
50,577.21,4382718
51,927.24,6732183
52,725.18,5554664
53,886.6,6532324
54,799.89,5998407
55,1342.79,9208109
56,674.86,5393515
57,958.18,7271234
58,719.04,5382865
59,1303.85,9036422
60,1132.82,8160373
61,1158.63,8085392
62,868.06,6320939
63,1498.04,9832692
64,310.24,2718204
65,395.79,3431630
66,399.06,3622940
67,663.38,5335584
68,479.74,4121477
69,637.62,5161348
70,434.66,3575764
71,908.77,6776619
72,510.03,4308888
73,631.88,5009416
74,556.3,4482708
75,1027.16,7256225
76,733.06,5601760
77,915.27,6584738
78,641.98,4710167
79,1166.86,8012450
80,520.47,3896946
81,727.33,5497181
82,596.4,4552001
83,1002.71,6795295
84,817.06,5911083
85,881.95,6127998
86,751.07,5150602
87,1490.95,9557020
88,657.0,4975122
89,863.62,6127994
90,671.21,4785081
91,1308.04,8579861
92,974.9,6721250
93,982.16,6531183
94,801.28,5595046
95,1549.18,9589235
96,472.66,3659315
97,721.94,5233310
98,542.48,3777779
99,1146.98,7432480
100,803.03,5328236
101,913.41,6000935
102,767.71,5154894
103,1229.13,7603313
104,671.42,4653003
105,820.49,5580739
106,692.42,4682413
107,1136.9,7372121
108,908.88,6096176
109,1046.07,6729793
110,965.87,6195301
111,1425.28,8546565
112,621.12,4540493
113,722.96,4927835
114,682.7,4619383
115,1327.03,8416099
116,1112.41,7393408
117,950.97,6234884
118,851.29,5594572
119,1453.89,8625469
120,781.9,5588622
121,850.55,5837877
122,767.6,5244442
123,1406.96,8390027
124,1290.78,8380117
125,960.37,6006643
126,1104.43,6998252
127,1717.71,10066520
128,321.0,2981430
129,337.43,3138131
130,354.67,3222487
131,662.23,5648447
132,484.74,4345366
133,707.44,5904571
134,584.28,4842282
135,891.1,6796977
136,533.07,4488013
137,608.28,4974597
138,536.01,4273093
139,912.31,6636811
140,753.0,5788178
141,883.29,6629687
142,693.65,5215465
143,1312.48,8996711
144,655.22,5129715
145,771.3,5999472
146,578.21,4366327
147,1299.77,8822087
148,874.05,6602980
149,939.57,6775068
150,766.41,5532555
151,1557.15,10134818
152,760.29,5751730
153,849.01,6170807
154,772.77,5730454
155,1312.96,8664348
