index,time,conflicts
0,0.23,4810
1,0.39,7565
2,0.53,12075
3,0.83,17375
4,0.6,13802
5,0.9,19560
6,0.95,22161
7,1.32,29580
8,0.56,11967
9,0.81,17565
10,0.92,20713
11,1.45,31264
12,0.99,21408
13,1.42,29534
14,1.61,33751
15,2.14,42697
16,0.58,13483
17,0.96,20976
18,0.9,18235
19,1.42,28867
20,0.86,18836
21,1.39,30245
22,1.47,29909
23,2.3,47413
24,0.99,22350
25,1.23,27796
26,1.46,31165
27,2.29,47088
28,1.55,33397
29,2.13,41799
30,2.66,50855
31,3.52,66626
32,0.5,12101
33,0.92,21479
34,0.88,19252
35,1.4,29207
36,1.0,21915
37,1.43,30597
38,1.32,27942
39,1.85,39730
40,0.85,19171
41,1.39,30496
42,1.46,31341
43,2.03,42368
44,1.54,33258
45,2.04,42413
46,2.52,50678
47,3.49,68611
48,0.91,20539
49,1.42,31269
50,1.38,28915
51,2.09,43439
52,1.49,31755
53,2.13,43974
54,2.41,50045
55,3.45,67235
56,1.53,33910
57,2.24,45303
58,2.17,44855
59,3.13,62838
60,2.53,50100
61,3.53,65984
62,3.92,74308
63,5.42,97726
64,0.4,7740
65,0.92,20534
66,1.04,21739
67,1.65,36227
68,0.95,21303
69,1.87,37815
70,1.79,38570
71,2.73,51731
72,0.91,20218
73,1.71,37300
74,1.52,31794
75,2.69,51880
76,1.51,32728
77,2.93,56268
78,2.58,50995
79,4.12,80483
80,0.94,20419
81,1.74,36839
82,1.74,38384
83,2.64,51615
84,1.59,34153
85,2.82,51274
86,2.66,50876
87,4.33,79403
88,1.56,34396
89,2.84,53640
90,2.86,55114
91,4.39,81928
92,2.82,56340
93,5.0,91039
94,4.31,76398
95,6.33,110320
96,0.89,21582
97,1.51,33999
98,1.66,34466
99,2.87,54718
100,1.67,35572
101,2.89,52420
102,2.68,55233
103,4.12,75624
104,1.58,34941
105,2.59,53122
106,3.29,60044
107,4.17,77976
108,3.05,58349
109,4.73,85648
110,4.12,71935
111,6.64,111625
112,1.54,34581
113,2.86,57679
114,3.02,60919
115,4.54,82022
116,2.75,56680
117,4.94,91926
118,4.59,81546
119,6.82,111909
120,2.59,48978
121,4.68,87410
122,4.39,83536
123,7.93,130640
124,4.7,83958
125,7.64,129388
126,7.26,120251
127,11.11,172741
128,0.54,13012
129,0.92,21069
130,1.01,19999
131,1.63,34321
132,1.06,23557
133,1.57,32799
134,1.63,34117
135,2.72,52511
136,1.0,22147
137,1.7,37407
138,1.75,36026
139,2.91,57270
140,1.59,33933
141,2.6,53590
142,2.49,49575
143,4.24,76537
144,0.97,22001
145,1.47,31775
146,1.79,37684
147,2.58,51312
148,1.54,33334
149,2.57,49527
150,2.54,47811
151,3.96,74367
152,1.63,35910
153,2.59,51540
154,2.47,49001
155,4.13,73454
156,2.45,49320
157,3.78,72162
158,3.84,67252
159,6.54,113581
160,0.91,21737
161,1.56,33272
162,1.67,35092
163,2.45,46541
164,1.66,35686
165,2.77,54898
166,2.82,53605
167,3.69,69750
168,1.6,34998
169,2.73,55160
170,2.77,52927
171,4.24,79547
172,2.58,51683
173,4.27,79533
174,4.35,76813
175,5.94,108123
176,1.67,37236
177,2.35,48508
178,2.85,55462
179,4.2,76554
180,2.7,53836
181,4.09,73684
182,4.45,82788
183,7.35,131412
184,2.67,54220
185,4.39,80920
186,4.72,87668
187,6.96,121000
188,3.88,70892
189,6.37,109128
190,6.63,112401
191,10.12,166148
192,0.67,15757
193,1.54,32609
194,1.52,31764
195,2.89,56628
196,1.57,34792
197,2.77,52572
198,2.75,53412
199,4.35,78014
200,1.47,31561
201,3.01,60733
202,3.19,62044
203,4.49,81047
204,2.63,53037
205,4.69,86103
206,5.31,98247
207,7.56,121474
208,1.51,34335
209,2.88,54686
210,2.87,55862
211,4.53,85698
212,2.72,55153
213,4.5,79719
214,4.43,81498
215,6.81,112791
216,2.51,51260
217,4.65,82280
218,4.62,89523
219,8.48,141035
220,4.6,84072
221,7.55,129273
222,7.89,126991
223,11.71,185503
224,1.49,34653
225,3.17,59900
226,3.01,58311
227,4.77,85728
228,2.86,54152
229,5.18,91506
230,4.77,85958
231,7.57,128555
232,2.87,58883
233,5.2,91230
234,4.73,84876
235,7.48,121417
236,4.75,86022
237,7.86,128050
238,7.49,121501
239,12.09,184776
240,2.48,52190
241,4.89,87777
242,4.58,84967
243,7.27,119932
244,5.05,91790
