index,time,conflicts
0,15.18,158171
1,14.42,154258
2,16.03,181095
3,15.94,178332
4,14.52,158112
5,15.27,168567
6,13.83,144840
7,15.81,165594
8,14.75,162815
9,15.27,169778
10,14.84,168304
11,14.27,150843
12,15.48,160257
13,14.46,152089
14,14.13,157299
15,14.06,149773
16,15.56,170844
17,14.58,157391
18,12.47,134212
19,13.72,143894
20,13.31,145045
21,13.71,146046
22,13.09,140459
23,13.05,141159
24,12.57,141643
25,14.39,158359
26,14.37,158688
27,12.22,134399
28,13.68,146425
29,14.69,163830
30,14.55,153305
31,12.76,134636
32,13.75,153031
33,13.04,140698
34,15.37,170065
35,13.7,145608
36,14.75,156665
37,13.2,140989
38,14.09,147396
39,13.57,146324
40,15.13,158881
41,16.84,180998
42,14.54,159492
43,13.09,139675
44,15.88,168596
45,14.86,156673
46,15.56,163532
47,13.13,142289
48,14.23,154041
49,14.08,148642
50,12.75,137148
51,13.21,147617
52,14.53,155301
53,14.35,159723
54,13.2,144070
55,12.53,136865
56,14.89,164374
57,12.69,137182
58,13.76,148440
59,12.12,126039
60,13.18,138879
61,13.1,140346
62,13.02,138318
63,13.02,133437
64,13.83,152895
65,13.86,148492
66,13.36,144492
67,13.06,139912
68,13.82,145889
69,14.71,158358
70,13.27,142580
71,15.61,163755
72,15.54,174329
73,13.4,144310
74,14.32,156477
75,13.7,147552
76,15.3,161882
77,13.63,147348
78,14.42,151313
79,15.6,176362
80,14.99,154838
81,13.24,138998
82,13.76,146000
83,13.81,142953
84,13.58,143161
85,14.09,139329
86,15.54,161896
87,12.39,134984
88,13.05,138934
89,13.74,146686
90,12.97,142730
91,13.56,148616
92,13.34,145932
93,12.84,137923
94,13.0,138246
95,14.69,163827
96,14.85,162056
97,14.14,148807
98,13.98,145071
99,14.38,153797
100,13.88,148654
101,13.33,143258
102,15.28,165302
103,13.1,138603
104,14.51,155634
105,14.25,154102
106,13.81,149295
107,15.53,157907
108,15.03,155507
109,13.65,147814
110,14.52,159190
111,13.29,145788
112,15.01,162176
113,15.82,177947
114,14.1,151175
115,14.46,160416
116,14.37,155633
117,14.79,163812
118,12.58,135984
119,12.82,138487
120,13.38,141500
121,13.93,152874
122,14.76,154509
123,12.6,137639
124,13.6,145876
125,12.92,137498
126,13.74,143852
127,12.97,141171
128,14.18,154926
129,14.19,153605
130,13.43,146557
131,14.78,166202
132,15.13,169065
133,15.0,170357
134,15.98,169769
135,14.26,156541
136,13.97,147951
137,13.44,145252
138,13.25,143960
139,13.46,138445
140,14.7,157830
141,13.62,140467
142,12.92,136325
143,14.45,163294
144,15.15,162661
145,13.16,143108
146,14.02,149456
147,14.46,154587
148,13.75,146969
149,13.39,141276
150,14.02,155411
151,13.09,138338
152,14.51,160693
153,14.64,149533
154,13.11,146366
155,12.75,130196
156,14.07,152995
157,13.12,142091
158,14.32,150166
159,13.99,152189
160,16.31,179749
161,13.86,154202
162,14.32,154223
163,14.26,151599
164,13.68,146567
165,12.6,138415
166,14.87,151755
167,13.41,139295
168,14.99,154987
169,13.32,143355
170,13.97,150192
171,12.95,141441
172,13.87,150778
173,13.7,148252
174,13.7,146183
175,13.81,150747
176,13.76,150109
177,13.2,136286
178,12.5,132166
179,13.3,141256
180,16.78,187534
181,14.46,142944
182,13.83,152256
183,13.22,139434
184,14.27,157969
185,13.4,140380
186,12.32,132765
187,12.94,135528
188,15.38,161652
189,12.66,138254
190,13.32,135690
191,13.1,137719
192,14.02,150137
193,14.23,156806
194,12.86,136866
195,14.42,155321
196,15.11,158945
197,12.91,141364
198,13.99,150447
199,16.41,190094
200,12.87,140598
201,13.86,148206
202,15.67,163740
203,13.39,144967
204,13.72,146611
205,13.43,148539
206,13.06,146066
207,13.87,151247
208,13.26,144397
209,13.46,143805
210,13.35,142779
211,13.28,142152
212,16.55,177203
213,14.26,151665
214,13.12,137793
215,13.58,141914
216,16.02,179419
217,13.12,139386
218,13.66,150634
219,12.66,135082
220,12.67,142351
221,11.5,121775
222,12.45,136004
223,13.1,137425
224,14.56,157644
225,14.76,162895
226,14.42,150699
227,13.12,138269
228,14.03,149039
229,13.85,152849
230,13.7,147103
231,13.28,144837
232,16.23,180797
233,15.82,174428
234,16.54,179693
235,12.22,132968
236,14.17,145285
237,13.33,140949
238,15.23,166027
239,11.85,126834
240,13.36,138720
241,14.3,146889
242,15.33,154473
243,13.89,147272
244,14.46,150738
245,14.1,145741
246,12.93,132334
247,12.43,130663
248,13.07,141345
249,14.35,155933
250,13.63,146418
251,12.81,141797
252,13.13,143667
253,13.84,142712
254,13.54,144083
255,11.56,123282
