index,time,conflicts
0,256.58,3143820
1,335.35,3861385
2,359.22,4076942
3,694.13,7247036
4,499.32,5730995
5,457.78,5176359
6,464.51,5170209
7,753.26,7535518
8,374.85,4336273
9,470.64,5222848
10,491.3,5287938
11,931.85,9134667
12,627.26,6754118
13,565.51,5968228
14,489.22,5141058
15,1003.82,9549118
16,405.07,4820075
17,580.07,6255266
18,524.35,5422281
19,922.39,9414889
20,684.47,7338622
21,579.57,6063634
22,547.27,5819782
23,922.49,9138025
24,618.21,6777629
25,611.07,6407666
26,580.58,6023582
27,1176.18,11161709
28,916.93,9597526
29,657.07,6393933
30,601.95,6008740
31,1210.4,11398368
32,688.24,7097399
33,857.23,8261460
34,786.73,7372981
35,1460.91,12630042
36,1307.61,12382793
37,803.6,7380003
38,737.74,7049739
39,1436.13,12552676
40,1028.18,10093161
41,853.86,7974320
42,733.11,7105948
43,1335.32,11876276
44,1259.04,11988191
45,720.72,6449133
46,889.25,7866759
47,1430.48,12277990
48,943.89,9656467
49,890.84,8221077
50,791.11,7422871
51,1610.11,13322825
52,1420.58,12751330
53,832.06,7367001
54,882.54,8134944
55,1829.56,15081365
56,1238.62,11739997
57,881.29,7920671
58,865.12,7756547
59,1548.44,13087622
60,1414.89,13029540
61,867.39,7378597
62,858.31,7366101
63,1635.6,13373155
64,424.96,4762398
65,651.19,6572880
66,542.68,5738336
67,1061.95,9823151
68,803.27,8232382
69,728.8,6822848
70,675.71,6558453
71,1378.59,11850058
72,724.54,7733146
73,771.3,7302342
74,667.55,6590885
75,1286.2,11640163
76,1061.84,10468101
77,776.72,7084131
78,556.78,5470949
79,1357.72,11701590
80,679.58,6949523
81,745.57,7153950
82,684.41,6548719
83,1471.11,12258942
84,1159.5,11263370
85,709.87,6348649
86,708.54,6517356
87,1436.26,11772432
88,1005.15,9980917
89,723.9,6628333
90,740.34,6918840
91,1426.46,11653779
92,1200.51,11541284
93,696.72,6051461
94,736.45,6672794
95,1445.74,11389798
96,914.67,8415795
97,879.42,7574352
98,822.98,7553972
99,1518.28,11977631
100,1224.85,11011387
101,769.95,6363645
102,792.5,6783521
103,1647.95,12572343
104,1205.67,11117162
105,856.37,7131601
106,876.88,7180085
107,1533.06,11781565
108,1368.29,11611665
109,826.5,6469722
110,771.81,6351483
111,1472.04,11187240
112,1183.32,10693121
113,856.81,7114035
114,823.27,7145786
115,1527.31,11625675
116,1410.02,12562904
117,856.79,6718477
118,786.81,6421145
119,1622.03,11825954
120,1410.95,12511833
121,991.63,7872929
122,862.57,7232212
123,1623.16,12025038
124,1657.0,13551357
125,842.72,6372797
126,788.08,6210775
127,1759.29,12914268
128,476.8,5418046
129,516.58,5219983
130,526.01,5473954
131,806.93,7890139
132,666.38,6923720
133,591.86,6267357
134,594.08,6181881
135,979.87,9245584
136,621.17,6574645
137,650.37,6568712
138,604.25,6178993
139,1067.35,9682689
140,828.76,8622171
141,652.85,6198204
142,582.17,5883613
143,1119.49,10137233
144,615.69,6446702
145,766.61,7526245
146,703.86,7047183
147,1138.74,10232392
148,954.4,9718560
149,687.74,6465470
150,813.55,7753183
151,1421.27,12280785
152,866.19,8669352
153,708.98,6730448
154,715.39,6933475
155,1199.56,10540165
156,1062.83,10414623
157,737.29,6665490
158,726.22,6586318
159,1515.45,12357884
160,969.53,9454303
161,907.98,7901131
162,901.84,8092468
163,1531.62,11892946
164,1444.48,12650672
165,947.58,7775867
166,765.24,6550708
167,1439.77,10988651
168,1244.2,11428454
169,835.92,6920153
170,816.9,7070391
171,1685.87,12665144
172,1386.13,12137832
173,834.79,6607137
174,850.01,6931497
175,1566.19,11569343
176,1272.11,11753164
177,843.72,6972318
178,776.65,6896386
179,1822.9,13978500
180,1606.46,13946773
181,867.01,6871616
182,841.12,6906303
183,1517.93,11081342
184,1422.24,12564218
185,870.34,6858865
186,882.61,7243185
187,1664.16,12227122
188,1603.67,13353998
189,830.03,6296274
190,853.28,6592207
191,1543.41,11169796
192,426.21,4531147
193,638.67,6162640
194,692.32,6379066
195,1278.16,11034735
196,704.31,7002629
197,785.73,7225678
198,635.15,6098374
199,1231.41,10542442
200,900.46,8913693
201,826.17,7387862
202,639.44,6064873
203,1511.81,12494167
204,1045.85,10097903
205,723.85,6242400
206,676.41,6208186
207,1516.47,12228224
208,838.03,8596870
209,710.46,6551784
210,698.61,6650407
211,1556.19,12621757
212,1297.81,12127790
213,793.54,6695188
214,660.51,5980203
215,1434.32,11506260
216,1148.59,10924386
217,868.08,7404526
218,693.12,6227926
219,1598.86,12405829
220,1394.04,12675657
221,750.78,6231519
222,811.95,7122126
223,1851.72,14220129
224,931.62,8548732
225,837.28,6691043
226,782.98,6756314
227,1631.54,12348908
228,1320.34,11536710
229,920.55,7230972
230,877.4,7130414
231,1725.95,12416764
232,1237.82,11297625
233,896.44,7046609
234,826.99,6797072
235,1718.8,12263763
236,1504.71,12308822
237,862.51,6525170
238,941.93,7611005
239,1707.23,12095974
240,1280.49,11222279
241,867.91,6769927
242,828.9,7069571
243,1867.09,13491443
244,1486.1,12424964
245,891.42,6637288
246,886.45,7063753
247,1982.08,13890787
248,1348.44,11850628
249,916.56,7025121
250,864.09,6907902
251,1829.91,13126139
252,1520.4,12110645
253,862.19,6201420
254,1059.53,8234333
255,1742.21,11944755
256,433.53,5050584
257,477.78,4973657
258,443.26,4851027
259,825.79,7888480
260,728.43,7742353
261,578.06,5923689
262,532.35,5532587
263,973.51,9153021
264,475.24,5115758
265,598.68,6297601
266,566.88,5823988
267,1153.12,10383178
268,844.53,8775504
269,658.76,6358819
270,568.83,5597037
271,1253.79,10917822
272,835.3,8753725
273,614.14,6241233
274,635.09,6553887
275,1278.2,11540399
276,1081.59,10838232
277,659.75,6278218
278,780.15,7417411
279,1333.58,11608668
280,935.95,9062545
281,846.38,7856673
282,693.63,6877927
283,1156.88,10368682
284,1007.17,9505668
285,786.0,7053103
286,740.53,6860928
287,1250.58,10655372
288,990.18,9497035
289,878.49,7518740
290,919.74,8275848
291,1455.31,11945562
292,1303.66,11678549
293,881.67,7076756
294,823.47,6965395
295,1583.26,12115867
296,1211.79,10960473
297,774.89,6246888
298,785.74,6577029
299,1471.54,11190963
300,1436.14,12381877
301,808.84,6171875
302,830.08,6718474
303,1722.47,12447494
304,1298.02,11519391
305,756.9,6267570
306,940.39,8041395
307,1839.3,14251549
308,1460.11,12489835
309,841.73,6495853
310,852.82,6933338
311,1655.04,12138952
312,1460.94,12663914
313,810.2,6405655
314,799.84,6658696
315,1806.11,13029346
316,1517.23,12628358
317,928.51,6949239
318,842.06,6547684
319,1524.34,10687217
320,596.38,6423740
321,660.3,6266331
322,601.5,6031141
323,1270.52,10972184
324,996.52,9976367
325,674.29,6094520
326,693.52,6522156
327,1394.93,11645447
328,928.38,9014546
329,681.48,6074952
330,635.57,5875608
331,1543.31,12560904
332,1171.25,10771689
333,638.3,5468039
334,704.13,6179195
335,1313.44,10291669
336,1069.57,10335951
337,730.64,6478907
338,725.32,6571476
339,1438.42,11586583
340,1212.03,11355409
341,748.7,6141599
342,707.94,6037162
343,1612.27,12278545
344,1176.64,11060465
