index,time,conflicts
0,1.85,9723
1,2.48,14463
2,2.3,12988
3,3.31,22232
4,2.26,13833
5,2.92,20874
6,3.22,22338
7,4.15,26380
8,2.28,13312
9,3.1,21145
10,3.3,21067
11,4.02,25726
12,3.18,19918
13,4.35,29416
14,4.13,27064
15,5.84,41406
16,2.35,13750
17,3.13,20011
18,3.07,20146
19,4.09,28811
20,3.03,19695
21,4.46,29788
22,4.06,29534
23,5.92,41052
24,3.13,20770
25,3.91,25889
26,4.07,28177
27,5.36,38977
28,4.04,26988
29,5.69,39764
30,5.91,41840
31,8.03,58078
32,2.26,12941
33,3.11,21256
34,2.94,18238
35,4.49,29801
36,2.96,20230
37,4.12,28346
38,4.09,26454
39,6.02,45177
40,3.11,22764
41,4.14,28889
42,4.13,28528
43,5.5,38901
44,4.03,28106
45,5.56,40639
46,5.72,40972
47,8.5,58832
48,3.03,21603
49,4.09,27563
50,4.0,27363
51,6.18,42128
52,4.1,30493
53,5.88,42208
54,5.87,41279
55,8.03,58932
56,4.2,29293
57,5.69,40702
58,5.89,40273
59,9.06,64665
60,5.65,41239
61,8.52,61959
62,8.24,60609
63,12.17,88560
64,2.3,14501
65,2.97,18391
66,3.06,19894
67,4.24,27192
68,2.96,19826
69,4.28,27802
70,4.46,27768
71,6.29,40792
72,3.0,18967
73,4.22,25565
74,4.26,26939
75,6.39,40814
76,4.61,30984
77,6.2,37705
78,5.91,37395
79,9.32,61098
80,3.14,21271
81,4.41,30452
82,4.28,26425
83,6.15,39495
84,4.24,28216
85,6.03,38082
86,6.08,40450
87,9.07,59976
88,4.17,26117
89,6.02,39509
90,5.95,41035
91,8.74,57813
92,5.85,40436
93,9.04,61339
94,9.24,58185
95,13.33,88369
96,3.11,19243
97,4.32,27741
98,4.16,25972
99,6.08,42032
100,4.22,27129
101,5.87,41350
102,5.71,38318
103,9.06,60150
104,4.53,29075
105,5.99,39066
106,6.35,40818
107,9.42,62918
108,5.73,41028
109,9.41,62471
110,9.02,60468
111,13.14,87523
112,4.1,27838
113,6.22,40665
114,6.03,42114
115,9.07,63399
116,5.95,41134
117,9.49,61945
118,8.66,59031
119,13.57,87867
120,6.2,43399
121,9.34,63345
122,9.02,61868
123,13.69,89472
124,9.05,62749
125,13.61,87651
126,13.23,86501
127,20.4,131108
128,2.17,12924
129,3.24,20238
130,3.06,19058
