index,time,conflicts
0,3105.33,10807806
1,1744.46,5655470
2,1661.2,5595049
3,3026.83,10124429
4,2958.54,10100137
5,1743.72,5160366
6,1486.87,4941349
7,3046.78,9663339
8,3250.59,10174882
9,1485.8,4813201
10,1367.66,4457640
11,2994.67,9126078
12,2882.74,8885683
13,1665.36,5164710
14,1439.32,4633517
15,2861.31,8474813
16,2985.42,10106482
17,1521.63,4396360
18,1530.19,5000763
19,3140.55,9622366
20,2641.88,8392547
21,1773.03,5201171
22,1847.64,5714758
23,2957.51,9039913
24,3548.83,11042245
25,1832.11,5307733
26,1470.9,4546038
27,2748.66,7971013
28,3140.36,9634620
29,1924.62,5422850
30,1632.61,4933568
31,2963.17,8713031
32,2773.53,9137492
33,1509.44,4851944
34,1694.51,5225829
35,2847.18,8421690
36,3356.05,9912370
37,1550.63,4672982
38,1667.83,5198073
39,2843.67,8119972
40,3022.95,8982028
41,1622.56,4661292
42,1589.71,4705741
43,3216.35,8829683
44,2886.16,8320354
45,1655.76,4645601
46,1741.8,4977771
47,3077.31,8561756
48,2560.24,8120748
49,1520.26,4695478
50,1712.78,4989770
51,2870.12,7987916
52,3018.07,8612599
53,1667.47,4804228
54,1719.45,4819754
55,3152.79,8871717
56,3132.53,8720649
57,1580.08,4493632
58,1683.86,4891273
59,3000.52,8370858
60,3267.49,9130184
61,1721.51,4780268
62,1681.19,4761100
63,2998.6,8534015
64,2662.25,9027510
65,1493.95,4587611
66,1435.4,4425816
67,2816.38,8608944
68,2641.58,8194185
69,1620.74,4823426
70,1364.21,4263160
71,2968.98,8300766
72,2906.09,9040665
73,1474.76,4606094
74,1552.69,4732671
75,2808.96,8228410
76,2562.46,7688820
77,1464.33,4179543
78,1546.52,4574147
79,3031.38,8150382
80,2763.56,8211798
81,1492.97,4283335
82,1513.39,4623605
83,2815.82,8106589
84,2782.64,8261817
85,1766.21,4888983
86,1609.57,4787155
87,2919.43,8284527
88,2754.95,8012913
89,1613.39,4556885
90,1498.53,4346004
91,2932.98,8152830
92,3205.19,8876478
93,1641.53,4645635
94,1724.33,4925829
95,2997.61,8221364
96,2668.31,8331599
97,1563.34,4728052
98,1531.28,4722808
99,2745.67,7986781
100,3121.53,9175277
101,1536.01,4531451
102,1631.17,4735904
103,2709.17,7725915
104,3054.31,8727558
105,1638.54,4719801
106,1500.34,4467381
107,2991.67,8337710
108,2731.55,7849464
109,1496.19,4183508
110,1669.1,4624392
111,2866.12,8058765
112,2673.2,7804957
113,1537.46,4297623
114,1433.34,4273946
115,2905.17,7994201
116,2639.37,7522092
117,1513.61,4367559
118,1571.46,4562653
119,3034.3,8387283
120,2840.66,7978189
121,1521.99,4311827
122,1506.95,4130917
123,2770.18,7626951
124,2931.43,8014520
125,1692.29,4690237
126,1734.38,4583038
127,2999.22,8131572
128,2570.3,8528733
129,1498.34,4470742
130,1621.09,4901862
131,2567.06,7939745
132,2598.3,8094321
133,1371.88,4229862
134,1363.47,4309956
135,2617.21,7558343
136,2770.87,8290780
137,1600.44,4523167
138,1653.4,4686453
139,2942.31,8271132
140,2603.35,7660736
141,1482.63,4132279
142,1378.3,4203448
143,2792.11,7809098
144,2922.53,8048211
145,1741.83,4767867
146,1578.71,4484707
147,2611.8,7531771
148,2772.87,8221679
149,1586.41,4649782
150,1544.48,4507974
151,2763.89,7683012
152,2841.58,8236437
153,1492.16,4171286
154,1569.08,4218687
155,2991.41,8191926
156,2674.76,7467272
157,1487.4,4192126
158,1520.16,4394832
159,2856.35,7659155
160,2693.02,8627337
161,1476.76,4466827
162,1680.41,4784890
163,2912.23,7814103
164,2730.83,8030780
165,1677.8,4891062
166,1597.71,4698091
167,2903.09,7888642
168,2698.94,7772636
169,1563.92,4192295
170,1498.89,4345190
171,2801.37,7578411
172,2719.63,7498259
173,1604.37,4367972
174,1544.9,4200475
175,2983.25,7825464
176,2765.85,7986252
177,1546.25,4298872
178,1421.93,4076284
179,2855.86,7903001
180,2745.9,7620557
181,1657.4,4554697
182,1591.69,4523586
183,2599.16,7104840
184,2985.57,7894736
185,1627.45,4230973
186,1639.22,4572473
187,2758.48,7240243
188,2857.9,7682441
189,1532.85,4179826
190,1755.1,4661276
191,3085.04,7834960
192,3266.76,9113923
193,1459.9,4396864
194,1415.2,4384918
195,2673.57,7879311
196,2556.55,7677640
197,1418.13,4249033
198,1521.98,4563404
199,2616.55,7376656
200,2657.87,7923953
201,1722.55,4616861
202,1469.63,4296075
203,2972.92,8026104
204,2784.47,7961024
205,1585.26,4164825
206,1516.57,4279603
207,2753.52,7520248
208,2832.7,8204293
209,1530.47,4239302
210,1560.07,4390439
211,2813.9,7904370
212,2878.97,8104848
213,1569.51,4343517
214,1496.8,4475993
215,2980.48,8123680
216,2787.05,7818155
217,1584.52,4341913
218,1562.96,4354856
219,2708.6,7515831
220,2875.59,7620391
221,1473.89,4296129
222,1543.12,4466019
223,3088.65,8128794
224,2858.54,8408004
225,1371.53,4143917
226,1482.2,4382982
227,2884.95,7984239
228,2922.97,7976296
229,1473.27,4107687
230,1508.83,4191185
231,2769.78,7457497
232,3236.02,8397608
233,1569.18,4489479
234,1452.72,4177286
235,2587.51,7232132
236,2723.71,7425151
237,1513.92,4321308
238,1530.36,4278292
239,2912.41,7737711
240,2813.13,7780834
241,1590.93,4292738
242,1558.06,4273800
243,2695.54,7297496
244,2758.73,7590370
245,1650.3,4561352
246,1632.55,4473369
247,2803.16,7573039
248,2965.96,7793626
249,1623.46,4477274
250,1732.55,4382862
251,2881.87,7667070
252,3036.76,7926693
253,1685.87,4493551
254,1738.8,4614850
255,2897.46,7458896
256,3200.94,10127899
257,1541.32,4614707
258,1435.95,4364504
259,2620.04,7647284
260,2678.67,7707273
261,1321.04,4044861
262,1405.31,4273114
263,2778.37,8025773
264,2661.18,8133976
265,1344.59,4184737
266,1338.82,4095727
267,2937.46,8047855
268,2512.48,7338217
269,1557.16,4209735
270,1432.53,4276234
271,2673.67,7509828
272,2520.84,7447172
273,1559.7,4402963
274,1392.0,3999947
275,2658.51,7381501
276,2822.46,8022387
277,1509.39,4513913
278,1532.48,4403547
279,2801.73,7920649
280,2813.2,7969558
281,1486.11,4228160
282,1443.8,4142708
283,2656.91,7376208
284,2869.73,7624859
285,1564.49,4260370
286,1579.3,4310750
287,2655.07,7272271
288,2832.82,8104450
289,1411.15,4229182
290,1373.75,4109662
291,2609.78,7443172
292,2896.68,7846559
293,1419.6,4138402
294,1396.67,4164559
295,2544.11,7170089
296,2673.81,7783687
297,1435.03,4135856
298,1534.77,4427899
299,2642.8,6952889
300,2519.42,6947305
301,1364.51,3850567
302,1492.85,4027616
303,2719.41,7188947
304,2854.51,7701349
305,1327.2,3792383
306,1317.33,3873116
307,2781.36,7377877
308,2802.74,7403280
309,1465.7,4085733
310,1339.9,3971626
311,2753.16,7297249
312,3060.1,7620829
313,1608.76,4248578
314,1584.84,4294492
315,2600.9,6672716
316,2852.04,7651780
317,1524.64,4089683
318,1597.27,4402160
319,2773.83,7281529
320,2841.22,8870372
321,1499.02,4325593
322,1528.79,4430530
323,2882.3,7374820
324,2607.41,7508027
325,1528.13,4367005
326,1441.73,4264045
