index,time,conflicts
0,2684.45,6134258
1,2580.06,5900417
2,2049.67,5163020
3,2143.77,5220731
4,2273.28,5444784
5,2429.32,5687277
6,2194.84,5275027
7,2179.46,5196531
8,2504.45,5760261
9,2466.09,5652795
10,2751.29,6252159
11,2283.76,5440142
12,2267.19,5221681
13,2418.89,5469351
14,2286.11,5265594
15,2638.83,5977190
16,2233.76,5320690
17,2444.52,5741295
18,2275.15,5349758
19,2681.71,6177963
20,2298.03,5423357
21,2582.92,5839572
22,2307.58,5364612
23,2183.2,5176301
24,2824.64,6383094
25,2492.53,5734072
26,2816.04,6448950
27,2466.71,5617823
28,2426.88,5619116
29,2353.63,5472228
30,2470.62,5629220
31,2183.04,5166600
32,2435.15,5686967
33,2355.1,5564807
34,2579.76,5808928
35,2404.36,5601149
36,2427.82,5587458
37,2304.43,5419996
38,2708.03,6063322
39,2578.83,5847242
40,2610.57,5972343
41,2635.66,5833379
42,2407.75,5588454
43,2602.27,6052633
44,2280.57,5350807
45,2434.43,5479532
46,2741.96,6180192
47,2298.4,5398018
48,2831.77,6373623
49,2653.28,6055151
50,2339.91,5392261
51,2189.41,5233080
52,2441.93,5714665
53,2804.98,6334798
54,2408.11,5553822
55,2607.16,5914109
56,2586.34,5727971
57,2383.76,5504188
58,2525.6,5789354
59,2817.24,6296699
60,2522.38,5734940
61,2370.62,5537381
62,2368.61,5526879
63,2670.71,6025581
64,2647.15,5916246
65,2909.98,6492935
66,2484.5,5621605
67,2661.17,5958921
68,2502.34,5663807
69,2747.81,6188705
70,2445.44,5635381
71,2407.69,5429756
72,2895.61,6343061
73,2407.12,5547323
74,2118.18,5093527
75,2175.18,5096110
76,2408.82,5652085
77,2944.65,6577262
78,2613.44,5771674
79,2591.21,5865033
80,2443.91,5626931
81,2563.52,5794521
82,2718.73,5948706
83,2577.4,5921004
84,2258.09,5288787
85,2164.31,5202740
86,3076.66,6501180
87,2166.29,5137820
88,2367.88,5597389
89,2926.34,6427857
90,2314.36,5313612
91,2766.51,6029286
92,2362.26,5455875
93,2222.64,5258160
94,2495.31,5696137
95,2500.94,5685320
96,2375.91,5576222
97,2343.15,5380728
98,2578.35,5773590
99,2235.28,5222077
100,2584.66,5941077
101,2515.25,5781528
102,2318.5,5425770
103,2374.22,5563020
104,2384.97,5630653
105,2960.09,6396728
106,2383.99,5542440
107,2756.11,6023188
108,2779.67,6313325
109,2782.6,6088973
110,2437.61,5598872
111,2285.01,5372063
112,2118.31,5120627
113,2423.2,5491202
114,2361.04,5597737
115,2313.8,5282955
116,2535.14,5735451
117,2609.06,5843127
118,2532.64,5705777
119,2677.07,5839695
120,2252.78,5296588
121,2533.38,5736848
122,2446.25,5692484
123,2088.98,4977407
124,2396.97,5495814
125,2782.46,6094084
126,2674.76,6040500
127,2727.18,6059634
128,2246.56,5264445
129,2914.84,6472923
130,2522.64,5819952
131,2891.34,6515999
132,2345.32,5303553
133,2697.19,6113071
134,2498.55,5802142
135,2510.56,5836109
136,2287.03,5294908
137,2613.92,6046624
138,2454.18,5651543
139,2873.65,6328902
140,2440.46,5674013
141,2413.0,5635108
142,2125.0,5141112
143,2088.09,4953770
144,2455.5,5657121
145,2309.66,5396294
146,2655.32,5930571
147,2255.17,5473601
148,2323.57,5392431
149,2801.99,6088958
150,2468.63,5784348
151,2730.97,6160308
152,2423.39,5498450
153,2775.75,5893059
154,2585.38,5868096
155,2699.57,6051610
156,2694.83,6147963
157,2591.48,5981450
158,2582.35,5928302
159,2647.05,6011315
160,2593.91,5842261
161,2613.06,6064017
162,2660.03,5966996
163,2129.32,5171934
164,2821.08,6413007
165,2420.75,5666737
166,2506.52,5575876
167,2138.69,5177208
168,2620.43,5885140
169,2451.29,5727815
170,2644.82,5987922
171,2636.54,5982826
172,2701.97,6114933
173,2474.01,5656466
174,2659.77,6167465
175,2441.44,5616836
176,2334.3,5607004
177,2353.75,5305909
178,2155.23,5143886
179,2669.6,6248372
180,2308.69,5435879
181,2675.18,6009440
182,2504.44,5799859
183,2310.94,5510206
184,2290.84,5362421
185,2354.38,5523772
186,2625.71,5871910
187,2456.65,5618477
188,2530.11,5893590
189,2424.37,5594279
190,2382.64,5585087
191,2265.43,5340063
192,2113.04,5185679
193,2520.54,5899168
194,2389.48,5549789
195,2429.39,5588496
196,2878.21,6538549
197,2627.27,5898805
198,2717.64,6135866
199,2521.04,5731185
200,2840.38,6323406
201,2488.33,5731531
202,2617.7,5841699
203,2736.16,6020232
204,2348.43,5380275
205,2206.35,5219868
206,2555.74,5816421
207,2325.67,5461492
208,2544.56,5669564
209,2605.01,5959858
210,2776.4,6207213
211,2379.9,5643279
212,2694.78,6132725
213,2817.12,6131480
214,2874.26,6413719
215,2317.49,5465366
216,2613.83,5995403
217,2448.75,5472330
218,2362.01,5464156
219,3098.68,6867915
220,2216.59,5161091
221,2781.23,6209550
222,2802.16,6255113
223,2382.28,5570351
224,2323.77,5498402
225,2660.47,5979716
226,2258.23,5300982
227,2366.22,5464840
228,2668.18,5913391
229,2594.78,5948398
230,2554.7,5820105
231,2475.26,5775024
232,2454.24,5601571
233,2213.62,5275288
234,2422.18,5603637
235,2367.22,5334426
236,2390.33,5451769
237,2621.24,6013058
238,2601.7,5872760
239,2586.78,5965786
240,3047.12,6646381
241,2465.1,5696502
242,2767.54,6095027
243,2558.52,5801916
244,2540.05,5644870
245,2600.56,5981534
246,2197.21,5255744
247,2034.44,4991646
248,2679.7,6021676
249,2396.8,5486287
250,2644.3,5884923
251,2673.02,6008760
252,2554.78,5665351
253,3129.08,6682498
254,2424.4,5539793
255,2785.69,6261834
256,2416.21,5570380
257,2459.36,5647792
258,2509.95,5652472
