index,time,conflicts
0,0.19,3610
1,0.49,10063
2,0.53,11630
3,0.9,19474
4,0.56,12881
5,0.83,18776
6,1.05,21865
7,1.38,28658
8,0.63,14971
9,1.02,22125
10,0.98,21165
11,1.59,31841
12,1.01,22588
13,1.51,31803
14,1.52,30820
15,2.16,42140
16,0.58,13508
17,0.93,20391
18,1.01,21945
19,1.26,27811
20,0.99,20870
21,1.47,31492
22,1.44,31281
23,2.32,46848
24,1.03,21015
25,1.51,32255
26,1.52,33994
27,2.32,44626
28,1.53,33612
29,2.36,48367
30,2.65,53337
31,4.0,74983
32,0.56,13318
33,0.91,19684
34,0.96,20520
35,1.4,29600
36,1.11,23649
37,1.66,34798
38,1.58,34768
39,2.45,49312
40,0.94,21150
41,1.49,30633
42,1.61,33595
43,2.31,47162
44,1.63,34389
45,2.46,49317
46,2.38,47255
47,3.75,69133
48,0.9,20384
49,1.53,32468
50,1.7,35275
51,2.35,47210
52,1.45,32590
53,2.6,52546
54,2.43,49873
55,3.92,73628
56,1.65,35133
57,2.28,45751
58,2.49,50148
59,3.71,70952
60,2.37,48136
61,3.76,72705
62,4.5,86522
63,5.95,103304
64,0.44,10406
65,0.93,20752
66,0.96,22995
67,1.72,35637
68,1.02,23804
69,1.59,34084
70,1.58,33502
71,2.64,50165
72,0.94,21092
73,1.71,36569
74,1.58,34180
75,2.71,54030
76,1.86,40057
77,3.25,64315
78,2.91,55140
79,4.83,82834
80,0.88,20234
81,1.74,37675
82,1.71,36535
83,3.1,58111
84,1.8,39199
85,3.08,58904
86,2.77,54679
87,4.88,83857
88,1.63,36115
89,2.88,55626
90,2.89,58499
91,4.6,84698
92,2.89,55952
93,4.7,81668
94,4.88,82181
95,7.94,123211
96,0.93,21556
97,1.83,36590
98,1.54,34551
99,3.14,56876
100,1.57,33823
101,2.8,52713
102,2.72,52235
103,4.96,85408
104,1.6,35677
105,3.12,62507
106,3.0,58286
107,4.65,84178
108,3.06,60289
109,5.41,92317
110,5.32,95258
111,6.95,114987
112,1.75,38778
113,2.97,56252
114,2.59,52770
115,4.45,79126
116,3.31,62152
117,4.88,86815
118,4.5,80075
119,7.21,125099
120,2.77,57226
121,4.91,90821
122,4.45,83177
123,7.4,128026
124,4.94,89181
125,7.41,119153
126,7.75,124051
127,12.72,187073
128,0.45,9499
129,0.94,20486
130,1.03,21580
131,1.6,33721
132,1.01,22236
133,1.7,34579
134,1.74,38562
135,3.16,58247
136,1.06,23068
137,1.9,37676
138,1.78,37806
139,2.93,56013
140,1.85,37513
141,2.87,53380
142,3.24,62418
143,4.4,77182
144,0.94,21080
145,1.78,35773
146,1.94,41793
147,2.53,50669
148,1.64,35921
149,3.2,60199
150,2.91,52475
151,4.74,85589
152,1.66,36990
153,2.8,53726
154,2.93,58440
155,4.71,82093
156,2.91,53052
157,4.77,83786
158,5.03,86295
159,7.81,127733
160,0.95,21666
161,1.8,37143
162,1.82,37547
163,2.86,55074
164,2.05,42578
