index,time,conflicts
0,19.52,181457
1,19.9,189811
2,21.05,195241
3,20.45,186721
4,21.38,198036
5,20.22,189396
6,18.98,179637
7,17.9,168225
8,21.48,206497
9,19.56,179304
10,18.62,165615
11,20.15,188015
12,21.58,206368
13,17.84,168260
14,19.44,186632
15,20.63,202774
16,19.64,188537
17,19.37,172754
18,18.86,176303
19,18.6,168596
20,17.79,167431
21,19.22,183546
22,18.25,172501
23,18.55,172204
24,19.7,180845
25,19.44,179284
26,18.78,177323
27,17.86,166118
28,17.91,173396
29,19.09,188527
30,18.55,178040
31,17.85,161072
32,18.59,171946
33,17.93,167182
34,20.24,185257
35,17.86,159076
36,20.1,193562
37,18.45,168806
38,20.29,188152
39,18.91,177704
40,22.45,206163
41,19.8,178658
42,18.66,174620
43,20.33,188027
44,18.48,174253
45,20.56,198681
46,20.27,193840
47,20.47,196378
48,19.06,176694
49,17.25,162634
50,19.62,180322
51,21.05,190308
52,18.36,166034
53,17.4,157126
54,19.79,187374
55,18.71,167688
56,19.62,177609
57,18.04,168710
58,18.75,177034
59,18.88,175516
60,18.85,173054
61,19.32,180926
62,18.95,176665
63,18.52,171080
64,19.61,180624
65,21.61,201474
66,20.04,182550
67,20.18,186830
68,18.31,170388
69,19.73,192237
70,18.97,180934
71,19.41,175002
72,18.85,173130
73,20.95,186388
74,18.76,176484
75,20.03,184046
76,18.1,166713
77,18.36,172137
78,19.81,187108
79,20.47,195201
80,19.8,186468
81,18.31,171699
82,19.63,181636
83,18.05,164583
84,19.22,178478
85,18.9,174606
86,18.18,172066
87,18.44,172423
88,20.64,195253
89,18.56,170282
90,18.49,175888
91,19.16,178770
92,18.07,176518
93,16.48,151197
94,18.88,173562
95,19.4,180629
96,19.48,177398
97,20.67,192212
98,18.3,170199
99,18.73,176658
100,17.91,163935
101,21.65,204622
102,19.7,187590
103,20.43,188441
104,18.54,176443
105,20.93,191473
106,18.56,174561
107,19.75,183472
108,17.69,166411
109,19.84,180494
110,19.05,177900
111,17.68,162530
112,18.34,172628
113,19.21,179712
114,18.01,161774
115,17.97,164146
116,18.87,173099
117,18.53,174126
118,18.0,165761
119,18.46,161448
120,18.91,183321
121,17.64,160615
122,19.71,183473
123,19.98,181082
124,19.19,183175
125,18.4,165345
126,17.51,159538
127,16.46,148852
128,20.25,188947
129,18.95,172517
130,20.46,190046
131,18.47,172857
132,18.15,171913
133,17.71,166855
134,18.87,171584
135,19.69,186889
136,18.61,176425
137,18.62,177445
138,20.08,191202
139,19.26,174927
140,18.62,175194
141,19.61,182251
142,18.55,176333
143,19.97,180826
144,19.19,181848
145,17.23,153712
146,18.87,171356
147,18.32,169494
148,16.85,161504
149,17.63,158039
150,18.16,171939
151,18.36,171312
152,19.42,177639
153,19.79,180019
154,18.08,166771
155,17.96,167265
156,18.0,166749
157,18.64,173422
158,18.87,173090
159,19.24,187601
160,17.37,163853
161,18.79,179448
162,19.35,173771
163,19.5,180256
164,18.14,169312
165,19.68,183620
166,20.99,206378
167,17.82,168018
168,17.55,159649
169,20.27,187113
170,20.14,180151
171,17.79,168748
172,18.47,172139
173,18.71,174208
174,18.69,179675
175,20.62,183237
176,18.8,175288
177,17.69,161280
178,19.37,186055
179,18.27,164685
180,20.47,185229
181,17.4,162558
182,17.66,161928
183,18.71,175827
184,18.13,167596
185,18.08,164866
186,18.24,168569
187,16.37,154078
188,19.66,190104
189,18.27,173978
190,17.15,156121
191,17.04,151828
192,18.82,172241
193,18.56,169287
194,18.45,173050
195,19.56,189447
196,17.96,161344
197,18.22,173641
198,17.89,163488
199,19.97,192355
200,17.5,165060
201,19.42,178123
202,18.15,169601
203,18.04,169226
204,18.15,162556
205,17.59,173295
206,18.16,169583
207,17.71,164503
208,17.85,165784
209,17.05,156155
210,20.48,190769
211,18.92,174254
212,17.4,161008
213,16.44,154764
214,18.07,165425
215,17.57,161133
216,18.77,173203
217,17.06,158517
218,19.02,171754
219,17.93,158420
220,18.5,176120
221,17.88,160768
222,16.31,150634
223,16.57,151363
224,18.33,166446
225,18.47,169706
226,19.89,179907
227,18.05,162719
228,18.39,171608
229,18.91,177031
230,18.58,172767
231,16.19,153894
232,18.57,170776
233,17.89,163325
234,18.11,169178
235,17.96,160091
236,17.79,165220
237,17.86,168025
238,20.21,184225
239,17.84,168761
240,17.87,169470
241,17.46,158635
242,17.59,164004
243,17.61,157554
244,18.86,177946
245,17.38,160171
246,18.65,172243
247,17.08,150156
248,17.98,165969
249,17.55,155423
250,17.82,159065
251,18.58,171526
252,18.83,168243
253,18.02,164690
254,18.87,180265
255,17.25,161772
