index,time,conflicts
0,146.07,1505830
1,274.04,2589565
2,225.77,2146508
3,449.53,4114110
4,376.86,3420501
5,448.26,4123757
6,352.91,3306592
7,669.75,5723784
8,320.32,3292108
9,501.35,4476851
10,387.89,3639089
11,823.18,6906674
12,522.57,4889424
13,597.02,5104161
14,546.62,4790425
15,913.18,7390324
16,334.55,3191300
17,413.66,3632136
18,318.21,2874045
19,864.85,7067424
20,712.06,6416404
21,615.71,5311979
22,598.91,4997074
23,847.82,6985463
24,631.8,6057922
25,586.58,5055441
26,570.87,5131116
27,935.8,7819377
28,657.21,5708452
29,663.26,5343525
30,723.09,5802114
31,1034.93,7874958
32,409.68,4044669
33,540.31,4834132
34,614.06,5056531
35,1351.93,10468125
36,661.62,5743701
37,955.41,7814271
38,817.93,6827053
39,1682.05,12826156
40,661.99,6021673
41,1100.5,9307566
42,943.31,7696161
43,1679.43,13099782
44,1185.82,9904989
45,1021.28,8031543
46,972.02,7700224
47,1877.54,13958058
48,592.07,5520087
49,775.31,6552185
50,643.17,5552269
51,1510.02,11365012
52,1340.88,10815623
53,1163.49,9161712
54,926.89,7310793
55,1832.99,13736768
56,1116.02,9536350
57,1003.62,8019631
58,969.26,7646736
59,2005.91,14809379
60,1156.26,9189792
61,1134.2,8586844
62,1141.69,8575976
63,2031.67,14351922
64,329.72,3186748
65,445.4,3720853
66,382.87,3519703
67,892.0,7079871
68,669.8,5855642
69,760.57,5795466
70,561.08,4358906
71,1313.67,9430584
72,538.48,5025493
73,877.0,6989553
74,607.12,4789742
75,1537.08,10872429
76,947.88,7721985
77,1006.19,7623051
78,920.53,7148911
79,1471.45,10055515
80,645.57,5754749
81,811.5,6342954
82,821.57,6487367
83,1489.93,10780154
84,1274.45,10116898
85,1129.72,8256163
86,1022.0,7757939
87,1865.91,12757454
88,1001.29,8478438
89,1030.66,7837828
90,899.97,7045177
91,2007.74,13593227
92,1496.32,11074648
93,1136.68,7908943
94,1075.81,7714886
95,1795.69,11644586
96,483.73,4075719
97,981.91,7516892
98,720.53,5665329
99,2038.39,13613420
100,1496.47,11084037
101,1118.4,8041410
102,1133.43,8542573
103,2021.17,13107018
104,1146.82,9551793
105,1075.37,8254958
106,1061.82,7697350
107,2033.76,13359657
108,1693.3,11791067
109,1072.34,7364366
110,1061.26,7595462
111,2090.8,12979900
112,1176.76,9448001
