index,time,conflicts
0,1.73,9525
1,2.28,13388
2,2.33,14172
3,3.08,22242
4,2.23,13694
5,3.06,22500
6,2.98,20674
7,4.03,27452
8,2.31,15633
9,3.13,20680
10,3.26,21335
11,4.39,28914
12,3.14,20440
13,4.24,30448
14,4.26,29864
15,6.06,42157
16,2.46,14859
17,3.11,19332
18,3.16,19973
19,4.35,29113
20,3.06,21072
21,4.21,28488
22,4.14,27422
23,5.99,40958
24,3.04,20443
25,4.03,28176
26,3.99,29036
27,5.83,43321
28,4.26,30438
29,5.67,40231
30,5.9,42284
31,8.82,62683
32,2.32,14425
33,3.14,20421
34,3.29,22071
35,4.12,25645
36,3.12,19992
37,3.99,28021
38,4.03,29445
39,5.91,43654
40,3.11,21153
41,4.21,29440
42,4.11,27367
43,6.41,44697
44,4.07,27729
45,5.78,43304
46,5.79,41966
47,8.76,64714
48,3.02,20469
49,4.06,27347
50,4.06,27587
51,5.58,40586
52,4.15,27997
53,5.85,42147
54,5.5,40260
55,9.0,65410
56,4.27,30424
57,5.8,42507
58,5.76,41305
59,8.99,64061
60,5.53,40993
61,8.27,60978
62,8.09,60868
63,12.83,97339
64,2.37,14222
65,3.21,20886
66,3.05,19480
67,4.56,28809
68,3.07,19658
69,4.47,27850
70,4.24,27162
71,6.54,43886
72,3.11,19894
73,4.26,27807
74,4.6,31070
75,6.07,40886
76,4.2,29445
77,6.44,43310
78,6.33,42413
79,9.67,65658
80,3.24,20188
81,4.3,28319
82,4.2,26770
83,6.54,43833
84,4.23,27129
85,6.24,39629
86,5.85,40489
87,9.42,63865
88,4.43,30263
89,6.7,45116
90,6.3,40697
91,9.14,63906
92,6.22,41949
93,9.19,63121
94,9.18,60708
95,14.57,101354
96,3.0,19614
97,4.35,29090
98,4.13,27086
99,6.21,41687
100,4.28,27500
101,6.06,40667
102,6.01,41642
103,9.46,62673
104,4.53,29992
105,5.82,39697
106,6.38,41615
107,9.2,59826
108,5.98,38644
109,9.13,59351
110,8.99,59697
111,13.9,93217
112,4.65,30351
113,6.26,42382
114,6.16,41491
115,9.4,64944
116,6.06,40630
117,9.71,62137
118,9.32,63157
119,13.51,90015
120,6.1,45524
121,8.75,59418
122,9.25,61312
123,13.52,88352
124,9.17,62131
125,13.36,89195
126,14.02,95206
127,23.54,146932
128,2.38,14050
129,3.23,20200
130,3.05,19537
131,4.44,29539
132,3.17,19981
133,4.31,28169
134,4.24,27718
135,6.1,41222
136,3.18,21012
137,4.36,29528
138,4.26,27653
139,6.16,42877
140,4.33,28540
141,6.21,40744
142,6.65,43503
143,8.76,59797
144,3.06,19541
145,4.38,26313
146,4.53,30336
147,6.21,39868
148,4.27,27468
149,6.19,41500
150,5.94,38880
151,9.01,60871
152,4.53,30479
153,6.21,41909
154,6.45,42392
155,9.23,60237
156,6.34,41981
157,9.19,63817
158,9.14,61488
159,14.06,94594
160,3.18,21770
161,4.33,28051
162,4.29,28750
163,6.27,41115
164,4.44,29272
165,5.96,41107
166,6.36,43718
167,9.05,60669
168,4.23,27802
169,6.07,40245
170,6.05,40384
171,9.72,65261
172,6.38,42398
173,9.47,63508
174,9.67,66736
175,13.98,92185
176,4.33,28308
177,6.15,40943
178,6.04,41396
179,8.79,60481
180,6.19,42313
181,9.06,61686
182,9.15,63323
183,14.12,99301
184,6.1,42035
185,9.18,64836
186,9.22,61462
187,14.28,99035
188,8.93,62812
189,13.72,94915
190,13.52,86912
191,22.31,142987
192,3.11,20579
193,4.64,29073
194,4.43,28140
195,6.35,40459
196,4.47,29180
197,6.29,41073
198,6.16,40274
199,9.28,60207
200,4.18,27640
201,6.41,41860
202,6.34,41636
203,8.91,60125
204,6.3,40811
205,8.81,56550
206,9.27,56400
207,14.42,89517
208,4.42,29253
209,6.22,39214
210,6.58,42456
211,9.48,60550
212,6.24,40333
213,9.24,56645
214,9.74,63411
215,14.72,90997
216,6.21,41880
217,9.33,59017
218,8.87,61382
219,13.62,85346
220,9.69,60118
221,15.56,102681
222,13.98,86692
223,23.65,142940
224,4.27,27351
225,6.81,42641
226,5.97,37584
227,9.79,61835
228,6.16,40989
229,9.87,63349
230,9.43,61591
231,14.34,88327
232,6.3,41434
233,9.7,63430
234,9.36,62708
235,15.19,94800
236,10.16,69183
237,14.85,99605
238,14.16,92039
239,23.83,148420
240,6.02,39740
241,9.41,61438
242,9.19,58772
243,13.64,88692
244,10.26,65746
245,14.38,93516
246,14.37,96169
247,22.28,139033
248,9.56,64343
249,14.42,90594
250,14.45,90281
251,21.78,135991
252,15.58,106465
253,22.16,136623
254,22.57,134698
255,36.32,225105
256,2.34,14645
257,3.24,21223
258,3.07,19501
259,4.18,26770
260,3.16,21919
261,4.52,29923
262,4.47,29685
263,6.02,42375
264,3.15,21089
265,4.24,28500
266,4.55,32703
267,6.28,42775
268,4.43,27784
269,6.25,43986
270,6.2,44163
271,9.53,67878
272,3.15,20685
273,4.6,30534
274,4.28,28922
275,5.83,40445
276,4.35,30917
277,5.92,41823
278,6.37,42079
279,8.99,60618
280,4.51,29498
281,5.95,40991
282,6.49,43416
283,9.76,63614
284,6.04,39159
285,9.21,65155
286,9.04,60694
287,12.86,82930
288,3.11,19994
289,4.41,28683
290,4.12,26945
291,6.13,39644
292,4.12,27423
293,6.06,41489
294,5.88,41466
295,8.55,57520
296,4.42,28692
297,6.13,42853
298,6.26,42334
299,8.8,61631
300,5.83,40914
301,9.0,66133
302,9.08,65482
303,13.07,87374
304,4.17,27439
305,6.18,43005
306,6.11,41554
307,8.53,58553
308,6.1,43990
309,8.63,58868
310,8.7,60849
311,13.73,93854
312,5.75,40072
313,9.07,63485
314,9.41,63275
315,14.06,98245
316,9.17,61974
317,13.13,88648
318,13.95,98588
319,23.55,157518
320,3.01,20436
321,4.46,29846
322,4.17,27561
323,6.23,41470
324,4.19,28285
325,6.32,41297
326,6.41,43839
327,8.96,60540
328,4.5,28134
329,6.02,40599
330,6.71,44404
331,9.58,62353
332,6.24,42165
333,9.59,66570
334,9.64,65427
335,13.94,90158
336,4.31,29555
337,6.4,41704
338,6.53,43427
339,9.64,62352
340,6.12,42647
341,8.94,60087
342,9.59,61832
343,14.15,90337
344,6.28,42021
345,9.54,63927
346,9.47,63221
347,14.98,94628
348,9.53,64853
349,13.44,81298
350,14.19,87303
351,20.58,120495
352,4.46,28798
353,6.11,39453
354,6.47,42519
355,9.31,61745
356,6.35,41681
357,8.89,59601
358,9.22,61460
359,13.66,87897
360,6.13,42488
361,9.95,64717
362,9.79,66992
363,13.53,88846
364,9.91,68383
365,14.01,87157
366,14.65,94671
367,22.5,144649
368,6.37,42468
369,9.69,64004
370,8.86,59226
371,13.8,88385
372,9.4,60565
373,12.62,79013
374,13.83,89546
375,22.65,134834
376,9.83,65103
377,13.74,89732
378,13.5,88393
379,23.39,150498
380,12.87,79074
381,22.08,136879
382,20.27,128230
383,34.97,202768
384,3.05,18959
385,4.25,27993
386,4.29,27094
387,6.08,40305
388,4.06,27922
389,6.18,42348
390,6.05,39134
391,9.43,63610
392,4.67,29345
393,5.96,41196
394,6.08,37892
395,9.56,63417
396,6.54,43654
397,9.27,59545
398,9.91,65419
399,14.23,85749
400,4.31,28709
401,6.44,40995
402,6.29,41472
403,9.13,55148
404,6.89,42980
405,9.21,63546
406,9.07,59771
407,13.73,90556
408,6.42,44344
409,10.11,67048
410,9.67,61119
411,13.47,86284
412,9.0,57309
413,15.05,103715
414,14.34,96103
415,24.04,154521
416,4.15,27127
417,6.36,40662
418,6.24,42283
419,9.2,64737
420,6.11,43323
421,9.37,62505
422,8.87,59237
423,14.41,93955
424,6.12,43241
425,9.1,62214
426,9.47,62977
427,13.79,90188
428,8.31,52834
429,15.7,102083
430,13.43,90799
431,22.18,135347
432,6.33,41206
433,9.31,61617
434,9.4,58155
435,14.33,94421
436,9.25,59469
437,13.67,83779
438,14.17,94805
439,22.3,134315
440,9.62,65651
441,14.42,92616
442,13.7,85682
443,21.65,144814
444,12.9,79304
445,23.32,154161
446,21.73,130292
447,34.1,215988
448,4.1,27453
449,6.13,40929
450,6.19,38926
451,9.46,64637
452,6.17,43476
453,9.59,64083
454,9.56,65768
455,15.92,109186
456,5.89,40493
457,9.84,62565
458,9.05,59059
459,13.67,85689
460,9.15,61890
461,14.06,85787
462,15.22,91848
463,22.04,131496
464,6.32,44120
465,9.67,63817
466,8.57,54100
467,14.03,84808
468,9.11,60438
469,14.48,88118
470,15.46,100619
471,23.97,146082
472,9.54,67331
473,12.97,77196
474,14.31,94928
475,23.15,150203
476,14.0,95687
477,21.99,135647
478,22.87,131258
479,36.29,218681
480,6.19,41349
481,9.62,63411
482,9.52,64063
483,13.87,82764
484,8.75,54580
485,14.02,89767
486,14.51,96219
487,23.65,133736
488,9.76,68354
489,15.22,94778
490,14.97,92652
491,22.71,135011
492,14.58,96661
493,22.93,149696
494,22.31,140495
495,35.66,197600
496,9.25,63505
497,14.89,89478
498,14.23,93350
499,22.97,138737
500,14.36,88096
501,22.1,136660
502,23.35,150427
503,38.0,213037
504,13.55,88592
505,21.18,123140
506,24.02,142161
507,34.61,208528
508,21.83,125294
509,37.33,211013
510,34.74,209914
511,60.77,351947
512,2.33,14694
513,3.16,20464
514,3.13,19648
515,4.33,29177
516,2.93,19330
517,4.34,28761
518,4.47,30301
519,6.17,42480
520,3.25,20174
521,4.48,30042
522,4.25,27915
523,6.33,44965
524,4.35,29873
525,6.35,44574
526,6.41,44631
527,9.35,61985
528,3.41,22893
529,4.33,26071
530,4.54,29370
531,6.45,46615
532,4.46,30297
533,6.53,41959
534,6.32,43747
535,9.25,63648
536,4.32,28553
537,6.17,42565
538,6.46,43438
539,9.53,63598
540,6.29,45005
541,9.4,63234
542,9.7,62326
543,14.93,97628
544,3.4,21643
545,4.24,28050
546,4.34,29761
547,6.34,41759
548,4.62,32424
549,6.23,43014
550,6.21,44178
551,9.06,65106
552,4.5,30489
553,6.04,41562
554,6.3,41284
555,10.51,74208
556,6.1,42068
557,9.61,68972
558,9.05,65391
559,14.29,102418
560,4.25,29377
561,6.24,43307
562,5.91,41684
563,9.06,65608
564,6.93,49673
565,9.18,64051
566,9.07,62248
567,15.12,111905
568,6.15,41812
569,9.51,65988
570,8.81,60815
571,14.96,103943
572,9.47,62559
573,13.92,97129
574,12.73,88505
575,22.0,149928
576,2.98,19498
577,4.88,32749
578,4.22,26942
579,6.19,42274
580,4.38,29498
581,6.28,44466
582,6.06,41267
583,9.74,59139
584,4.34,29309
585,6.14,42452
586,6.53,42655
587,10.26,70216
588,6.37,42917
589,10.01,66952
590,9.7,62864
591,14.97,92719
592,4.27,29125
593,6.39,42899
594,6.41,43117
595,9.9,63456
596,6.6,45693
597,10.19,66663
598,9.84,66655
599,16.74,115434
600,6.24,46027
601,10.14,65782
602,9.58,59981
603,14.2,87918
604,9.94,63890
605,15.28,100853
606,15.01,96522
607,25.79,166162
608,4.44,28571
609,6.45,42380
610,6.52,41080
611,9.93,67187
612,6.15,41537
613,9.51,63003
614,9.9,62023
615,14.44,91665
616,6.51,44596
617,10.0,70824
618,9.21,60294
619,15.1,90538
620,10.2,62522
621,14.48,88226
622,15.3,98774
623,21.79,134907
624,6.21,41622
625,9.8,65945
626,9.6,64744
627,14.46,95425
628,10.82,69159
629,14.5,89097
630,15.31,95025
631,23.0,148941
632,9.92,63400
633,15.24,98448
634,15.69,99971
635,23.08,144010
636,16.36,106986
637,22.14,137102
638,23.2,143220
639,34.25,195140
640,3.09,19828
641,4.39,27086
642,4.19,27324
643,6.38,41587
644,4.5,31915
645,6.29,40995
646,6.35,42221
647,9.09,60721
648,4.29,28545
649,6.35,40745
650,6.49,45747
651,9.7,65906
652,6.26,40873
653,10.2,73178
654,9.1,59841
655,13.69,84104
656,4.5,29056
657,6.51,41310
658,6.2,41391
659,9.56,64433
660,6.49,46389
661,9.93,64543
662,9.72,61970
663,14.85,87327
664,6.52,44567
665,9.56,60867
666,9.91,64915
667,14.38,94069
668,10.04,69045
669,14.97,91815
670,14.27,88527
671,24.04,151633
672,4.34,28691
673,6.45,42723
674,6.4,41887
675,9.71,60490
676,6.41,46126
677,9.96,65568
678,10.03,65260
679,14.01,86634
680,6.35,41798
681,9.94,66004
682,9.49,60764
683,15.46,104087
684,9.04,57877
685,14.32,98532
686,15.48,103744
687,20.93,121983
688,6.58,44750
689,9.53,58669
690,9.32,62476
691,15.05,94034
692,9.63,64815
693,14.4,86750
694,13.96,86856
695,20.86,118988
696,10.45,70906
697,14.11,82024
698,14.63,99175
699,23.11,149646
700,15.12,95929
701,21.97,141462
702,21.03,123528
703,34.52,206600
704,4.49,31337
705,6.05,43308
706,6.09,42679
707,9.61,60812
708,5.91,42119
709,9.11,59418
710,9.26,62992
711,15.54,102784
712,6.23,45412
713,9.54,61069
714,9.78,63640
715,15.81,95574
716,9.21,64399
717,14.99,93886
718,15.13,98879
719,21.94,129693
720,6.21,43887
721,9.39,65593
722,9.22,61696
723,15.38,104564
724,9.28,60202
725,14.5,86992
726,14.98,102556
727,24.26,146034
728,11.1,74987
729,15.79,101024
730,15.43,100354
731,26.97,172509
732,14.93,92173
733,23.35,134622
734,23.46,147157
735,36.31,213739
736,6.02,42632
737,9.29,59287
738,9.67,66432
739,14.35,89816
740,10.13,70138
741,14.58,90454
742,15.31,103298
743,24.12,132066
744,9.49,65522
745,15.31,97629
746,15.46,105989
747,24.88,155468
748,16.19,109679
749,21.73,124636
750,23.13,136571
751,36.82,220738
752,9.68,66391
753,15.07,88872
754,14.98,93199
755,25.24,150601
756,14.76,100164
757,25.23,157656
758,24.31,149966
759,38.42,209491
760,14.27,95780
761,22.56,141177
762,23.78,147389
763,36.22,192929
764,23.07,133815
765,33.39,181343
766,39.81,227853
767,62.97,324717
768,3.12,21863
769,4.75,32912
770,4.66,30007
771,6.2,41688
772,4.27,27440
773,6.25,41150
774,6.09,42444
775,9.4,63036
776,4.66,32193
777,6.53,42241
778,6.38,42521
779,9.81,66343
780,6.19,42184
781,9.76,66962
782,10.09,62757
783,14.72,95092
784,4.32,27848
785,6.28,41591
786,6.36,42686
787,9.48,59139
788,6.32,41625
789,9.7,63828
790,10.52,70141
791,13.96,87650
792,6.3,39182
793,9.66,62451
794,9.76,68786
795,13.74,80673
796,9.25,63140
797,13.6,90790
798,14.47,94118
799,22.69,142844
800,4.33,29518
801,6.0,39605
802,6.18,39865
803,9.53,63211
804,6.25,43450
805,9.95,70716
806,9.26,63446
807,14.23,98870
808,6.16,40315
809,9.78,67014
810,9.94,66678
811,15.76,101625
812,9.07,61282
813,14.01,87700
814,14.33,89530
815,20.93,136080
816,6.64,41973
817,9.08,59682
818,9.43,63842
819,14.33,91678
820,9.93,64380
821,14.3,97309
822,13.7,83909
823,23.75,152322
824,10.06,67102
825,13.67,89215
826,14.46,94186
827,25.06,152421
828,15.74,103299
829,21.68,147525
830,20.7,120791
831,35.42,215596
832,3.94,27413
833,6.35,44180
834,5.96,39625
835,10.58,70145
836,5.82,42033
837,9.33,60382
838,9.27,66441
839,14.62,91245
840,5.87,40662
841,9.73,70321
842,9.22,59467
843,16.05,101146
844,9.66,64311
845,15.55,99171
846,14.33,90362
847,23.4,136058
848,6.14,41427
849,9.73,62808
850,9.94,63787
851,15.28,87596
852,9.34,64428
853,15.21,96597
854,14.85,94707
855,25.33,162817
856,9.72,65793
857,14.47,94019
858,15.28,98859
859,23.7,148953
860,14.82,97748
861,22.62,135816
862,23.47,134035
863,38.68,228897
864,6.28,42435
865,9.4,61775
866,9.04,60221
867,14.29,83413
868,9.64,64425
869,13.53,83285
870,14.93,103594
871,24.86,155387
872,9.36,61627
873,15.16,100214
874,15.89,100159
875,22.17,137353
876,15.64,102872
877,22.78,146000
878,21.46,130262
879,37.93,205616
880,9.39,62282
881,14.72,93433
882,15.46,102777
883,27.52,178909
884,14.57,95515
885,21.58,124925
886,21.07,129827
887,36.57,222696
888,15.5,102868
889,23.83,138578
890,22.9,135888
891,42.04,236789
892,23.09,142255
893,40.77,248187
894,37.21,225676
895,57.53,335080
896,4.35,29039
897,6.2,40906
898,6.09,42028
899,9.5,61508
900,7.36,52074
901,10.23,69154
902,9.73,65750
903,15.2,99041
904,6.21,41137
905,9.95,67610
906,8.96,58408
907,14.15,88046
908,9.64,64782
909,14.27,90790
910,13.87,82274
911,22.11,126622
912,6.4,41615
913,9.24,60466
914,9.23,62292
915,14.78,85789
916,9.78,63430
917,14.91,94616
918,14.11,88858
919,22.17,124575
920,9.43,61091
921,14.87,95169
922,15.74,97143
923,24.7,154649
924,14.78,90779
925,21.56,127167
926,22.93,141047
927,37.54,210159
928,6.1,40564
929,10.3,68197
930,10.87,72676
931,14.37,90727
932,9.6,67123
933,13.53,81150
934,13.95,89249
935,25.63,159783
936,9.76,62098
937,16.09,106743
938,14.98,96080
939,21.8,136187
940,13.78,89858
941,24.3,159276
942,21.81,129050
943,37.08,200573
944,9.78,61999
945,14.51,92896
946,15.28,101547
947,21.57,131459
948,15.46,107591
949,23.58,150201
950,22.67,150752
951,36.49,208971
952,16.85,111795
953,24.18,150422
954,21.93,134616
955,35.9,208365
956,23.05,134174
957,35.02,214362
958,38.17,202424
959,61.19,342290
960,5.69,39266
961,9.09,59399
962,9.45,62317
963,14.48,93806
964,8.64,59011
965,15.5,99889
966,14.71,98738
967,23.29,140939
968,9.37,61926
969,14.57,89059
970,15.38,100082
971,23.79,154249
972,13.55,88980
973,22.97,144564
974,23.04,144309
975,37.0,209604
976,9.26,62781
977,15.29,92214
978,13.61,83289
979,23.3,155765
980,15.4,104316
981,23.39,139154
982,24.63,155512
983,35.2,197423
984,14.68,92955
985,23.09,135806
986,20.66,114957
987,37.16,203796
988,21.86,122107
989,35.9,211157
990,37.16,202873
991,54.04,304010
992,8.93,64446
993,14.07,91337
994,14.22,90599
995,22.94,137475
996,15.05,101168
997,22.94,149483
998,21.49,134273
999,35.55,196315
1000,14.27,95377
1001,23.3,134859
1002,23.13,144934
1003,36.93,198211
1004,21.16,122769
1005,37.07,218043
1006,40.02,231650
1007,57.83,314961
1008,13.99,93717
1009,22.55,136563
1010,22.1,124135
1011,32.48,169217
1012,22.44,131344
1013,36.99,201384
1014,36.2,195135
1015,58.22,314706
1016,22.82,139893
1017,37.23,207990
1018,43.06,229709
1019,62.63,318214
1020,39.86,223918
1021,60.97,317370
1022,61.02,336371
1023,118.92,602036
1024,2.21,12847
1025,3.13,21450
1026,3.16,20141
1027,4.22,26856
1028,3.17,20458
1029,4.36,30022
1030,4.5,31787
1031,6.03,39783
1032,3.1,20984
1033,4.35,29295
1034,4.56,31219
1035,6.43,41683
1036,4.54,30196
1037,6.55,47089
1038,6.49,45408
1039,9.14,64031
1040,3.05,20727
1041,4.35,27555
1042,4.23,30825
1043,6.18,44354
1044,4.19,28187
1045,6.11,41535
1046,6.27,42413
1047,9.4,66353
1048,4.46,28177
1049,6.3,44070
1050,6.34,44266
1051,9.36,65256
1052,6.4,42650
1053,9.22,63107
1054,9.54,62557
1055,14.11,96373
1056,3.11,19601
1057,4.49,28234
1058,4.29,27745
1059,6.19,43257
1060,4.31,29297
1061,5.98,40416
1062,6.17,42267
1063,9.36,65863
1064,4.39,29566
1065,6.17,42622
1066,6.22,42984
1067,9.11,63005
1068,6.22,42608
1069,9.5,67040
1070,8.92,61918
1071,15.01,101938
1072,4.23,28113
1073,6.12,42279
1074,6.03,44250
1075,9.29,63117
1076,5.84,42316
1077,9.41,65006
1078,9.13,65740
1079,13.96,97878
1080,6.15,41343
1081,9.21,65280
1082,9.28,61090
1083,13.29,94584
1084,9.5,66618
1085,13.9,95538
1086,14.32,100248
1087,23.85,152425
1088,3.12,20785
1089,4.32,27415
1090,4.57,29390
1091,6.33,40181
1092,4.42,28246
1093,6.65,41835
1094,6.53,41774
1095,9.74,64915
1096,4.48,29263
1097,6.4,41591
1098,6.91,44197
1099,10.17,65549
1100,6.3,41242
1101,10.23,71679
1102,10.03,67663
1103,15.0,98041
1104,4.27,28676
1105,6.52,43734
1106,6.2,40699
1107,9.81,65242
1108,6.1,36453
1109,10.01,64872
1110,9.55,59389
1111,14.77,96966
1112,6.57,43131
1113,9.21,58933
1114,9.5,63786
1115,15.67,101097
1116,9.64,63715
1117,14.43,94760
1118,14.25,89827
1119,23.58,147522
1120,4.5,29078
1121,6.33,40301
1122,6.64,42478
1123,9.3,61946
1124,6.25,43561
1125,9.7,67187
1126,9.71,66113
1127,14.09,89436
1128,6.27,42030
1129,9.63,62272
1130,9.2,64231
1131,15.27,97773
1132,9.31,60630
1133,14.37,88758
1134,14.7,97089
1135,21.44,125463
1136,6.44,45492
1137,9.99,62671
1138,9.24,61276
1139,13.95,87813
1140,9.46,61246
1141,14.85,94189
1142,14.52,88048
1143,23.62,150700
1144,10.52,72092
1145,14.87,96304
1146,14.43,90433
1147,22.31,141290
1148,14.5,92512
1149,23.54,150221
1150,22.72,136286
1151,34.28,199877
1152,3.1,20391
1153,4.48,27906
1154,4.51,30341
1155,6.25,40419
1156,4.36,29849
1157,6.1,39499
1158,6.42,40082
1159,9.4,60329
1160,4.48,30000
1161,6.54,45863
1162,6.73,49201
1163,10.17,65507
1164,6.5,45228
1165,10.36,63958
1166,9.54,58377
1167,14.85,91858
1168,4.26,28012
1169,6.38,41961
1170,6.14,38242
1171,9.54,66197
1172,6.65,45919
1173,9.93,65895
1174,9.43,58127
1175,15.05,98002
1176,6.44,43958
1177,9.6,62339
1178,10.02,64715
1179,14.57,86122
1180,9.56,61909
1181,13.11,78440
1182,15.45,103431
1183,23.49,146434
1184,4.41,28226
1185,6.28,42408
1186,6.18,41806
1187,10.17,68228
1188,6.36,44506
1189,9.43,64194
1190,9.6,64323
1191,14.06,86812
1192,6.24,43825
1193,9.51,64016
1194,11.23,73353
1195,14.56,96442
1196,9.56,61439
1197,14.2,84432
1198,15.22,98769
1199,22.68,146008
1200,6.14,43632
1201,10.25,66803
1202,10.07,63462
1203,14.06,94337
1204,9.39,63623
1205,13.65,82405
1206,13.56,87276
1207,22.06,134153
1208,9.78,64916
1209,13.88,88229
1210,13.65,85770
1211,22.56,133224
1212,14.82,95402
1213,22.87,151997
1214,21.94,138136
1215,35.75,214674
1216,4.37,28691
1217,6.47,42985
1218,6.12,40376
1219,9.95,63502
1220,6.24,41892
1221,9.8,63569
1222,9.83,66670
1223,14.87,92769
1224,6.62,45711
1225,9.59,61654
1226,10.1,64763
1227,14.31,87510
1228,10.02,66798
1229,15.86,100374
1230,14.53,84608
1231,22.47,133727
1232,5.98,41767
1233,9.97,62746
1234,9.18,57914
1235,14.72,86327
1236,9.49,59997
1237,14.96,93592
1238,15.24,92715
1239,25.6,155952
1240,9.97,67224
1241,15.0,94896
1242,14.36,92110
1243,22.43,136434
1244,15.85,97347
1245,25.46,152189
1246,22.44,135118
1247,34.67,185461
1248,6.47,42955
1249,9.41,62315
1250,10.03,64999
1251,16.81,107035
1252,9.45,64040
1253,15.85,100102
1254,14.64,84912
1255,21.08,120947
1256,9.81,66201
1257,14.74,90686
1258,15.21,96131
1259,21.58,123744
1260,15.3,100460
1261,23.38,144445
1262,22.61,135045
1263,34.11,191703
1264,9.5,64890
1265,14.87,94325
1266,15.2,95549
1267,23.02,134302
1268,14.6,94065
1269,23.13,140533
1270,23.26,146802
1271,37.01,208365
1272,14.89,97177
1273,24.17,137415
1274,24.63,152290
1275,37.35,215658
1276,23.63,150292
1277,37.45,213284
1278,37.26,206996
1279,60.62,316804
1280,3.06,19801
1281,4.29,27607
1282,4.17,26115
1283,6.31,40160
1284,4.44,28664
1285,6.27,40870
1286,6.2,40314
1287,9.36,61812
1288,4.4,29640
1289,6.46,43514
1290,6.13,37408
1291,9.33,61813
1292,6.58,45578
1293,9.75,66572
1294,10.53,67749
1295,15.49,102212
1296,4.47,29764
1297,6.26,39697
1298,6.4,42516
1299,8.81,52719
1300,6.03,40488
1301,9.5,62180
1302,9.31,67594
1303,14.92,98255
1304,6.82,48463
1305,9.75,65369
1306,9.95,66088
1307,14.4,90341
1308,9.99,65895
1309,13.92,89128
1310,14.18,92787
1311,21.24,129389
1312,4.42,27837
1313,6.35,40294
1314,6.24,43301
1315,9.32,60580
1316,6.41,44352
1317,9.33,63078
1318,9.75,68741
1319,15.03,97069
1320,6.7,41374
1321,9.08,56274
1322,10.06,67962
1323,14.22,88541
1324,9.07,59006
1325,14.09,92985
1326,14.74,94282
1327,21.53,127561
1328,6.14,44220
1329,9.66,65087
1330,8.8,60593
1331,14.21,89151
1332,9.87,71710
1333,14.91,97952
1334,14.75,99585
1335,21.85,140989
1336,9.59,65032
1337,14.26,94991
1338,14.13,90684
1339,21.78,136755
1340,14.73,96463
1341,21.89,140624
1342,20.27,135218
1343,35.58,220374
1344,4.2,29198
1345,6.46,41120
1346,6.41,42959
1347,9.35,63657
1348,5.94,41672
1349,10.04,64974
1350,9.73,62415
1351,14.69,93280
1352,6.41,44188
1353,9.57,58226
1354,9.24,61343
1355,17.14,118176
1356,9.95,70087
1357,14.42,89997
1358,14.98,94526
1359,22.72,142385
1360,6.46,43130
1361,9.57,63106
1362,9.78,69035
1363,14.52,94740
1364,9.49,62646
1365,14.57,92535
1366,15.3,102541
1367,24.16,137407
1368,10.47,69374
1369,14.85,92442
1370,15.39,97307
1371,25.21,155166
1372,14.54,84663
1373,22.36,135368
1374,21.46,136659
1375,35.48,218830
1376,5.82,41991
1377,9.36,61511
1378,10.12,69762
1379,14.54,89261
1380,9.48,60784
1381,14.51,91723
1382,14.61,96536
1383,21.59,123733
1384,9.5,66678
1385,15.78,101792
1386,15.05,90486
1387,21.89,121110
1388,14.54,97278
1389,22.56,135407
1390,22.8,136152
1391,38.64,226307
1392,9.46,61369
1393,15.21,100181
1394,15.89,105140
1395,22.63,133332
1396,15.22,101676
1397,22.48,135903
1398,22.15,128859
1399,34.97,208829
1400,15.33,88036
1401,23.82,139283
1402,24.47,154864
1403,37.22,209035
1404,22.17,133403
1405,34.31,199354
1406,35.04,199526
1407,57.76,324879
1408,4.04,27532
1409,6.14,39329
1410,5.77,39079
1411,9.72,65931
1412,6.21,41078
1413,9.81,69585
1414,9.79,63386
1415,14.37,90204
1416,6.49,45488
1417,9.73,64731
1418,9.37,58510
1419,14.18,89769
1420,9.83,68667
1421,14.61,95477
1422,13.39,87517
1423,23.14,138066
1424,6.17,41984
1425,9.43,62541
1426,9.63,61382
1427,13.62,78933
1428,9.77,61199
1429,15.57,98262
1430,14.2,94630
1431,21.37,132679
1432,10.36,70771
1433,15.31,95294
1434,14.03,92073
1435,22.93,141976
1436,13.86,80336
1437,23.26,143798
1438,24.13,158052
1439,35.81,207331
1440,6.28,42073
1441,9.1,59827
1442,9.44,59713
1443,14.54,85306
1444,9.34,59914
1445,14.43,90586
1446,15.05,104962
1447,22.2,134966
1448,9.3,61684
1449,14.08,87295
1450,14.86,93456
1451,21.45,129703
1452,15.32,102546
1453,22.11,135441
1454,22.77,144494
1455,35.83,208801
1456,9.16,61138
1457,13.79,81008
1458,14.48,97302
1459,22.51,136950
1460,13.31,90096
1461,22.25,128916
1462,21.34,128016
1463,35.99,218335
1464,15.05,90734
1465,22.21,125946
1466,21.74,130429
1467,35.65,195178
1468,21.9,129567
1469,35.48,197218
1470,35.67,211642
1471,56.97,302491
1472,5.99,43595
1473,9.73,65158
1474,9.06,62330
1475,13.8,88413
1476,9.0,61134
1477,14.82,100449
1478,13.41,82536
1479,22.09,137603
1480,9.21,63656
1481,14.45,89089
1482,14.43,95535
1483,23.61,134668
1484,13.46,85997
1485,22.6,133558
1486,24.63,162708
1487,35.88,189316
1488,9.65,68031
1489,14.28,85936
1490,13.47,87406
1491,24.49,143786
