index,time,conflicts
0,35.6,133250
1,36.03,129432
2,37.65,143252
3,37.17,135978
4,38.76,139477
5,40.05,146338
6,37.36,140802
7,35.17,134259
8,37.91,141082
9,38.72,143959
10,37.07,137892
11,37.37,137541
12,37.89,141506
13,35.68,132525
14,36.21,134371
15,36.63,126600
16,36.03,126990
17,38.15,141362
18,38.2,143875
19,38.33,140402
20,39.05,148132
21,37.01,140140
22,37.63,139984
23,37.25,138431
24,36.01,131232
25,37.56,135813
26,35.8,131639
27,38.3,149158
28,39.12,139492
29,41.39,154395
30,38.63,142603
31,36.49,135883
32,38.18,136651
33,39.37,154582
34,37.35,134284
35,36.61,134718
36,37.61,144010
37,38.95,148688
38,38.9,145377
39,34.55,131922
40,38.34,141879
41,38.82,141676
42,38.95,138381
43,37.13,121566
44,38.98,149456
45,38.46,142224
46,37.41,139987
47,37.52,140904
48,37.87,143651
49,38.91,142686
50,37.24,139070
51,37.88,137390
52,39.12,147404
53,38.64,138479
54,39.31,155164
55,35.76,133244
56,36.74,126400
57,38.2,135423
58,38.4,137099
59,39.25,140199
60,38.95,145592
61,38.11,138336
62,37.56,141045
63,37.75,129495
64,36.1,135192
65,41.38,150317
66,36.79,135144
67,39.27,140973
68,37.47,135874
69,38.58,143952
70,37.06,138171
71,37.06,138183
72,39.91,152612
73,36.39,133241
74,37.14,137194
75,37.09,132251
76,37.2,133902
77,37.27,140973
78,37.49,143884
79,37.02,139722
80,38.17,141585
81,36.87,132048
82,37.89,146338
83,39.18,149641
84,36.12,124109
85,39.52,143387
86,35.8,130583
87,35.91,135161
88,37.7,140431
89,38.27,139416
90,38.07,134609
91,38.82,141907
92,37.83,135919
93,38.51,133819
94,37.09,138896
95,36.73,135848
96,37.75,142747
97,37.86,129827
98,37.11,135208
99,37.33,135769
100,38.41,145529
101,37.9,139425
102,39.39,145547
103,38.37,142548
104,36.05,137373
105,37.84,139874
106,37.7,136175
107,40.92,141531
108,40.33,150358
109,37.58,140583
110,36.99,137405
111,37.15,124687
112,37.59,136899
113,37.55,128775
114,38.37,143309
115,38.36,133486
116,35.03,124992
117,36.28,133664
118,37.56,134656
119,37.07,141889
120,39.36,151539
121,37.78,146953
122,38.68,148726
123,38.34,139304
124,37.76,135290
125,35.96,133026
126,37.11,136691
127,34.99,127198
128,36.35,139235
129,39.51,142457
130,36.46,137520
131,36.06,134007
132,40.83,160634
133,39.02,144875
134,39.31,155212
135,36.12,137071
136,39.92,154891
137,37.51,141060
138,39.39,145226
139,35.79,131358
140,38.94,143773
141,37.29,144477
142,39.46,148589
143,35.54,131268
144,36.89,138102
145,37.91,138253
146,37.16,136501
147,36.33,136455
148,37.78,137880
149,36.16,135541
150,35.65,133889
151,34.13,122346
152,40.0,148800
153,39.53,141669
154,36.29,129184
155,36.7,136634
156,40.88,158882
157,35.47,136433
158,37.36,140040
159,37.21,140310
160,37.52,139579
161,37.88,135532
162,35.48,128866
163,37.38,140497
164,38.08,145476
165,38.45,143437
166,36.26,130744
167,37.15,133857
168,38.06,143827
169,39.8,149538
170,36.94,135825
171,37.94,141889
172,39.18,142791
173,38.47,147408
174,36.65,130086
175,35.49,137416
176,36.1,133121
177,37.91,151583
178,36.91,134309
