index,time,conflicts
0,3162.33,10565112
1,1925.59,5859780
2,1819.03,5471556
3,3771.22,11039854
4,3198.69,10371103
5,1840.39,5957119
6,1753.53,5617818
7,4245.43,11934295
8,3497.07,10577212
9,1819.11,5643522
10,1994.73,5894320
11,4042.97,11530781
12,3465.94,10503188
13,1758.91,5744988
14,1924.17,6012714
15,3729.38,10469572
16,3395.43,10433187
17,1937.02,6099289
18,2081.49,6245692
19,3795.72,11882512
20,3356.02,10876097
21,1914.73,6210945
22,1658.78,5708728
23,3586.47,11400615
24,2962.37,9194598
25,1825.69,5889227
26,1829.93,6171586
27,3905.57,11620440
28,3692.8,11043641
29,1961.33,5823981
30,1859.96,5879653
31,4380.63,12469230
32,3475.26,10130318
33,2015.52,6073739
34,1911.24,5827866
35,3292.69,9941970
36,2994.42,9181664
37,2034.52,6150857
38,1739.04,5798372
39,3776.68,10490530
40,2929.98,9536595
41,1799.33,5732604
42,1717.82,5309366
43,3562.53,10162847
44,3376.42,10458020
45,1901.26,6079282
46,1744.43,5446953
47,3316.71,9573374
48,3102.97,9315791
49,1853.45,5592013
50,1878.72,5728495
51,3330.84,9910736
52,3171.14,9751564
53,1667.16,5504675
54,1831.95,5754189
55,3350.38,10302917
56,3361.21,9717839
57,1958.83,6149077
58,2051.25,5782699
59,3710.24,10296537
60,3217.23,9465365
61,1949.76,6004262
62,1977.55,5754785
63,3596.24,10159022
64,3453.84,10731773
65,1860.9,5181266
66,1617.68,4983961
67,3205.29,9238220
68,3173.76,8498894
69,1639.94,5131244
70,1692.66,5001881
71,3005.76,8567308
72,2785.14,8360993
73,1631.93,5002135
74,1587.35,5125753
75,3143.51,8973911
76,2988.49,8773527
77,1552.31,5031339
78,1585.38,4843384
79,3312.23,9280871
80,3204.29,8799681
81,1711.41,5225389
82,1828.09,5391438
83,3540.34,9763792
84,2931.95,8583962
85,1741.7,5205088
86,1834.58,5419932
87,3127.67,9012485
88,3532.81,9872446
89,1681.9,4870269
90,1622.52,5052193
91,3440.6,9074165
92,3273.94,9149260
93,1787.62,5404083
94,1624.74,5010599
95,3774.33,9959132
96,3184.92,9123402
97,1726.62,5232808
98,1859.42,5608232
99,3375.45,9469360
100,3160.43,9233247
101,1766.27,5493322
102,1654.49,5079396
103,3201.31,8706754
104,2946.77,8414830
105,1669.38,5008307
106,1937.66,5572530
107,3606.78,9563762
108,2792.7,8438276
109,1719.72,5015601
110,1748.34,4891726
111,3427.04,8959011
112,3236.75,8916951
113,1927.48,5128588
114,1955.2,5329113
115,3245.31,9226393
116,3025.73,8570122
117,1987.5,5757910
118,1553.22,4910455
119,3744.47,9774566
120,3233.34,8598568
121,1957.01,5406248
122,1773.71,5076492
123,3537.86,9702367
124,2981.93,8412628
125,1998.78,5811725
126,1811.47,5372631
127,3683.88,10161986
128,3190.22,9157195
129,1885.1,5715289
130,1756.16,5240513
131,3386.61,9765351
132,3022.73,9008685
133,1776.84,5268991
134,1617.85,4877190
135,3268.63,9244710
136,2930.77,8859234
137,1831.9,5439780
138,1661.72,5217758
139,2950.24,8513894
140,3107.34,8720246
141,1750.35,5107711
142,1906.31,5406794
143,3299.3,9240587
144,2993.79,9140735
145,1770.06,5010443
146,1699.77,5078135
147,3281.02,9000916
148,2927.72,8835289
149,1743.64,5192185
150,1598.25,5221418
151,3348.5,9227234
152,2962.72,8894296
153,1627.65,5014310
154,1478.67,4793914
155,3266.09,8709596
156,3219.05,9210318
157,1832.41,5337651
158,1653.61,4987863
159,3165.84,8851206
160,3337.53,8875143
161,1762.81,4996611
162,1774.58,5150398
163,2988.22,8274840
164,3329.79,9323551
165,1758.02,5307697
166,1815.58,5565085
167,3390.66,9018677
168,2877.02,8182281
169,1541.14,4794783
170,1670.64,5184525
171,3303.83,8678850
172,3089.5,8424455
173,1851.93,5144223
174,1717.37,4801542
175,3128.53,8453470
176,2834.46,8195873
177,1847.46,4843051
178,1901.71,5623527
179,2978.82,8210271
180,3211.67,8910465
181,1648.69,5049007
182,1736.7,5023195
183,2810.64,8127578
184,3157.79,8413987
185,1510.24,4451655
186,1542.26,4630471
187,3429.04,8930642
188,3030.35,8669056
189,1733.2,5017171
190,1703.5,5102827
191,3621.0,8799191
192,3249.31,9352092
193,1649.19,5052192
194,1683.63,5274137
195,2902.64,8430524
196,2904.29,8419192
197,1575.22,4671947
198,1535.89,4534681
199,3061.53,8182686
200,2993.9,8358816
201,1615.32,4856433
202,1614.5,4603491
203,3102.35,8652874
204,2727.09,7825182
205,1868.62,5187954
206,1624.23,4807027
207,3222.37,8729462
208,2985.88,8445258
209,1920.8,5319328
210,1695.53,5022351
211,3072.55,8668656
212,2912.0,8221203
213,1754.81,5069689
214,1765.35,4911347
215,3112.36,8637743
216,2730.36,7655482
217,1741.52,4830640
218,1710.98,4660354
219,3029.57,8322404
220,3154.9,8436701
221,1749.77,4780792
222,1794.86,5243994
223,3297.21,8677252
224,3336.76,9134993
225,1957.65,5452404
226,1871.73,5368513
227,3707.42,9650334
228,3433.47,8910480
229,2122.68,5539378
230,2022.78,5501656
231,3518.16,8685579
232,3064.93,8248866
233,1978.51,5418045
234,1834.32,4780924
235,3579.25,8988295
236,2862.35,7958547
237,1884.13,5237783
238,1717.42,4960106
239,3265.16,8280079
240,3171.6,8638444
241,2344.71,5780626
242,1768.24,5070491
