index,time,conflicts
0,428.89,4280717
1,240.8,2621601
2,338.52,3483051
3,224.57,2381007
4,360.17,3745438
5,274.71,2922793
6,325.16,3389231
7,168.95,1867132
8,303.78,3124064
9,226.8,2385898
10,251.91,2628876
11,161.14,1750842
12,281.11,2842009
13,209.24,2122401
14,203.52,2211178
15,121.21,1340870
16,261.52,2545551
17,200.2,2147618
18,230.51,2392823
19,185.1,1950286
20,301.75,3149774
21,214.73,2198434
22,252.54,2645318
23,198.43,2133612
24,231.96,2439535
25,191.63,1933146
26,227.79,2356508
27,151.89,1692451
28,233.82,2371362
29,187.73,1904157
30,167.98,1801446
31,132.66,1419905
32,328.05,3403168
33,264.0,2744531
34,334.14,3386444
35,208.49,2261536
36,362.92,3542887
37,251.94,2635766
38,263.24,2828130
39,194.06,2166543
40,285.79,2874893
41,266.74,2693483
42,287.25,2983960
43,167.83,1808000
44,247.33,2484522
45,191.75,2118824
46,206.49,2152890
47,141.1,1544953
48,203.29,2187828
49,230.17,2507847
50,271.68,2933728
51,169.17,1795608
52,225.38,2386765
53,188.52,1981851
54,205.61,2239321
55,164.35,1787667
56,182.41,1992940
57,155.39,1660520
58,235.97,2372481
59,164.25,1766163
60,193.82,2097526
61,161.78,1735672
62,182.09,1914575
63,147.12,1567000
64,419.79,4028272
65,246.71,2624260
66,331.98,3536224
67,223.59,2386026
68,522.31,5022744
69,315.96,3194355
70,309.3,3163353
71,209.46,2293828
72,327.18,3242221
73,222.42,2448142
74,278.66,2827197
75,191.19,2035617
76,308.17,3222153
77,215.72,2209977
78,217.54,2310862
79,144.32,1534016
80,332.29,3531983
81,273.32,2705418
82,293.0,3027624
83,237.84,2491916
84,392.33,4086244
85,282.78,2799810
86,297.64,3128934
87,224.65,2342964
88,245.04,2523404
89,228.76,2381977
90,248.29,2512140
91,166.7,1810308
92,293.59,2927728
93,220.36,2309857
94,219.37,2321099
95,175.87,1841296
96,290.99,2919826
97,257.74,2623477
98,266.34,2900129
99,205.47,2123762
100,365.46,3658436
101,248.74,2651007
102,266.91,2670448
103,201.14,2092853
104,274.41,2947779
105,194.31,2012935
106,209.42,2278914
107,153.15,1663929
108,215.56,2180829
109,198.65,2076498
110,205.37,2133787
111,144.63,1580035
112,186.18,2023185
113,193.76,1993981
114,235.01,2479326
115,159.68,1764013
116,238.95,2481726
117,201.63,2163301
118,254.11,2673272
119,195.72,2074510
120,173.37,1865190
121,175.65,1868506
122,205.36,2262558
123,164.04,1842866
124,191.07,1960132
125,181.68,1898983
126,183.59,1918782
127,153.29,1654769
128,340.23,3544870
129,234.91,2470006
130,314.92,2992763
131,197.46,2030674
132,353.72,3747828
133,262.25,2679491
134,267.37,2749040
135,158.28,1650053
136,284.7,2990948
137,215.38,2213872
138,259.01,2605859
139,164.31,1726463
140,257.05,2590923
141,196.43,1995010
142,189.63,2037205
143,134.76,1471112
144,239.93,2524498
145,219.97,2277935
146,249.84,2527504
147,187.3,1990943
148,256.24,2641442
149,201.73,2188548
150,213.96,2119358
151,176.0,1818327
152,231.75,2325100
153,223.72,2252679
154,246.48,2559043
155,175.19,1848796
156,230.09,2168963
157,176.41,1815157
158,183.59,1897473
159,138.36,1486747
160,290.62,3007505
161,247.1,2466815
162,268.25,2870449
163,203.32,2152684
164,306.47,3116197
165,265.85,2628903
166,260.86,2667188
167,191.36,1982305
168,296.73,3051285
169,219.49,2307630
170,246.56,2502430
171,177.22,1911498
172,259.01,2677091
173,204.41,2044328
174,237.98,2487516
175,152.67,1678616
176,172.63,1863912
177,199.49,2172529
178,237.14,2439308
179,177.67,1947594
180,254.1,2672778
181,179.98,1874004
182,181.89,1940346
183,207.69,2103787
184,173.34,1810824
185,199.48,2066749
186,214.31,2208076
187,170.73,1763791
188,201.08,2072242
189,179.63,1888467
190,189.62,2107327
191,173.76,1840129
192,234.68,2473055
193,246.97,2516020
194,266.05,2705548
195,183.4,1873846
196,305.46,3037262
197,244.4,2530636
198,297.84,2834718
199,161.3,1793175
200,234.54,2479211
