index,time,conflicts
0,1078.11,11315479
1,1301.49,12389031
2,1236.25,12439668
3,1382.38,14230785
4,1193.48,11894324
5,1408.83,14070038
6,1404.52,13997905
7,1384.22,14682635
8,1320.31,13123755
9,1635.01,16491958
10,1530.08,15151746
11,1754.36,16924810
12,1546.87,14810092
13,1532.55,15710395
14,1671.65,15859848
15,1509.02,15271803
16,1541.82,14859260
17,1799.05,17549383
18,1559.72,15935024
19,1859.52,18462832
20,1882.8,17936009
21,1633.62,15808949
22,2064.2,19902330
23,1861.97,18123582
24,1928.63,18503530
25,1683.16,16444739
26,1824.55,17776831
27,2037.75,19757950
28,1809.34,17733568
29,2272.83,20802873
30,1977.74,18853421
31,1839.78,18023815
32,1935.04,18820833
33,1902.34,19202085
34,1897.63,18482259
35,2248.84,20619516
36,2269.75,21558582
37,2321.27,22021451
38,2399.25,22323294
39,2279.22,21648266
40,2370.06,21546799
41,2564.98,23836865
42,2363.93,21629775
43,2395.51,22457895
44,2277.45,21535757
45,2145.2,20635885
46,2417.41,22486610
47,2302.49,22042484
48,2245.38,20389521
49,2474.38,21610692
50,2228.96,20408959
51,2523.35,23845697
52,2404.73,21527248
53,2481.96,23638286
54,2705.22,23735422
55,2281.98,21118795
56,2236.59,20475942
57,2514.06,23928619
58,2550.1,22998554
59,2426.41,22209722
60,2392.37,21808643
61,3052.97,26948408
62,2467.96,23720121
63,2492.76,23452269
64,2220.12,19972075
65,2471.33,23438768
66,2437.38,22824336
67,2595.79,24148543
68,2393.97,21681124
69,2422.55,21988894
70,2434.1,22561093
71,2549.23,23714369
72,2389.96,21472845
73,2524.05,23154052
74,2805.9,24864827
75,2926.73,27387537
76,2607.96,22509721
77,2650.41,23961999
78,2422.72,22925834
79,2951.94,27130568
80,2585.74,22726694
81,3004.37,26358638
82,2942.46,26119181
83,3110.55,27763351
84,2477.47,22168223
85,2625.08,23785385
86,3249.95,27760809
87,2948.24,27361499
88,2821.44,24562303
89,3201.35,27542074
90,3079.39,27215387
91,2994.15,27163425
92,3221.48,27879400
93,3194.73,28149369
94,2851.42,24450241
95,3086.98,27412012
96,2449.91,22507850
97,3348.47,29311922
98,3150.79,28221403
99,3095.84,28694763
100,2730.44,24514745
101,2879.28,25362243
102,2911.63,25550650
103,2873.81,25519963
104,2640.56,23926262
105,2963.01,26329904
106,3156.35,27477415
107,3316.09,29321914
108,2701.02,24993832
109,2975.72,25923639
110,3268.8,27653699
111,3047.82,27181706
112,3008.38,26071397
113,3058.97,27204461
114,2764.35,24471346
115,3048.6,26634696
116,2949.57,26083127
117,3146.4,27642139
118,3059.07,26539057
119,3163.68,27463014
120,3074.85,26263730
121,3054.19,27998523
122,2831.38,25005464
123,3029.76,27026959
124,2896.55,25411351
125,3076.26,27082592
126,3191.19,27464118
127,2421.31,23034484
128,2508.05,21362589
129,2547.57,23314956
130,2415.38,22579075
131,2662.04,24351706
132,2494.35,23321500
133,2758.8,23982128
134,2542.26,23197408
135,3017.74,26675995
136,2598.76,24170140
137,3002.23,26798454
138,2487.8,23121144
139,2706.1,23773548
140,2951.87,26157962
141,3136.17,27357982
142,2833.95,24977030
143,2381.23,22005088
144,2801.54,25321081
145,2712.71,24458517
146,3069.94,26436822
147,3429.2,28476010
148,3102.81,26922151
149,3041.44,26559901
150,2904.68,26586503
151,3306.6,28555926
152,3256.27,28104719
153,3047.27,26118096
154,3015.66,27017114
155,3145.98,27279827
156,2764.72,24771262
157,3149.27,28018357
158,3069.81,26583807
159,3271.49,28678771
160,2752.1,24061926
161,3173.37,27626485
162,2860.98,24458413
163,2956.79,26375237
164,2864.9,25275474
165,2933.5,25674579
166,3106.05,26719405
167,3463.06,30592875
168,2671.87,22673392
169,3047.35,27085651
170,3232.2,28526444
171,3281.75,27984306
172,3579.74,30019659
173,3437.04,29857653
174,3175.5,25673617
175,2973.16,26688650
176,2906.17,25994926
177,3591.89,29674007
178,3845.75,30796787
179,2868.65,26283074
180,3005.38,26737884
181,3482.31,30327942
182,2951.15,26090804
183,3465.12,29541785
184,3510.13,29340552
185,3249.38,27186793
186,3266.59,29103214
187,3369.83,30214664
188,2920.6,25119398
189,3256.56,28943918
190,3271.58,28253823
191,2592.3,23893440
192,3258.43,28243110
193,3136.62,27137133
194,2929.69,26285078
195,2764.3,24837702
196,3338.54,29400464
197,3317.33,27369587
198,3094.97,26472743
199,2942.15,25560393
200,2821.43,25308531
201,3375.71,28924669
202,3381.31,29997240
203,3039.44,27889453
204,3314.93,28201361
205,3052.49,27210124
206,3386.7,29335960
207,3022.02,26663072
208,3183.24,27613462
209,2887.48,24904746
210,3486.73,30823529
211,2909.02,26994214
212,3222.84,27242121
213,3178.1,28223207
214,2936.78,24777697
215,2855.84,25219399
216,3018.9,26147347
217,3801.56,31656062
218,3100.02,27421183
219,2929.52,25267113
220,3342.05,29445835
221,3155.82,27492594
222,3061.49,26952315
223,3288.69,29018983
224,2663.67,23777465
225,3368.83,28353008
226,3226.05,27930204
227,3351.91,27916909
228,4016.35,33500759
229,3301.8,27793933
230,3236.18,28062983
231,2778.35,24552616
232,3390.14,29736412
233,3161.54,27724016
234,3159.65,27572419
235,3112.34,27118195
236,3197.66,27878665
237,3242.94,27787168
238,3063.63,27207046
239,2923.24,27458954
240,2794.42,24961206
241,3182.92,26973470
242,3258.7,27534879
243,3224.39,29278085
244,2962.52,25767106
245,2753.31,25069838
246,2679.48,23951332
247,2727.24,25067354
248,3177.17,26476249
249,3002.21,26036874
250,2710.77,25046719
251,2994.5,26121229
252,3086.87,27111046
253,3068.29,28123703
254,2723.26,24533113
255,2429.38,22024026
256,2195.27,20973648
257,2948.52,26283789
258,2419.14,21888747
259,2752.51,25342243
260,2899.32,25742728
261,2816.98,25477241
262,2658.62,23895751
263,2981.61,26252086
264,2957.61,26104516
265,2975.57,25528418
266,2563.27,23761208
267,2883.22,24795087
268,3223.07,28547401
269,3146.28,28826784
270,3123.55,28625107
271,2982.05,26487689
272,2949.94,26750874
273,3047.86,26230454
274,3076.08,27954951
275,3099.12,27878975
276,3019.08,26049531
277,3640.48,30128416
278,3291.67,28047146
279,3312.24,28775539
280,3143.09,27058410
281,3164.67,26632179
282,3256.06,27958211
283,3323.94,29549083
284,2995.0,27091802
285,3378.3,28407709
286,2868.17,25897617
287,2597.38,23494682
288,2592.82,23483295
289,3462.85,28719546
290,3022.8,25774620
291,3414.35,30581889
292,3113.57,27409802
293,3224.75,27898174
294,3106.24,26678018
295,3023.06,26461121
296,3103.45,28068597
297,3366.97,29259423
298,3301.12,28311397
299,3530.45,29997609
300,3083.79,27056785
301,3398.59,30213653
302,2773.43,24882449
303,3032.54,27224648
304,3881.1,30743908
305,3563.25,30743687
306,3316.98,29191151
307,3147.82,27847034
308,3428.57,30191499
309,3166.67,28072629
310,3340.42,30006805
311,3196.37,27344554
312,3284.87,28813102
313,3527.24,31048736
314,3489.7,30782715
315,3546.01,30274619
316,2987.59,26108690
317,3329.25,27352830
318,3370.0,28427220
319,2901.19,26272497
320,3000.14,25898428
321,3474.0,29725806
322,3662.97,30246037
323,3498.15,29247309
324,3291.74,27621981
325,3414.68,28319707
326,3143.37,27031132
327,2934.32,26748511
328,3156.58,27344088
329,3232.7,28646228
330,3480.54,29177410
331,3365.43,28813017
332,3155.78,27240379
333,3096.43,27245470
334,3520.64,30050674
335,3083.51,26738595
336,2807.35,25016258
337,3065.43,26726408
338,3170.93,28499458
339,3227.33,27859605
340,3038.05,25975021
341,2993.08,27574177
342,3033.79,27167097
343,2993.36,27037722
344,3203.84,28198938
345,3325.07,28397767
346,3185.92,28120793
347,3234.07,28140710
348,3182.29,26921732
349,3245.23,27099469
350,3488.07,29503451
351,3077.68,27259214
352,3250.89,27546454
353,3445.68,29633277
354,3302.38,29013570
355,3145.15,27130211
356,3454.09,30332914
357,3460.56,30205006
358,3011.02,27762271
359,3037.09,27279325
360,3148.83,27680892
361,3177.62,27875152
362,3486.27,30949215
363,3445.13,29734649
364,3031.1,27248311
365,2962.75,26689418
366,2925.63,26372782
367,2939.56,26252360
368,3143.75,28391087
369,3052.26,27208342
370,3161.55,27810765
371,2851.78,26234293
372,2928.82,27179630
373,2702.24,25789545
374,3187.63,28882453
375,2415.01,22538239
376,2800.46,26154810
377,2717.89,24995219
378,2669.48,25150363
379,2604.45,24860069
380,2679.36,25119814
381,2839.45,24785156
382,2535.26,23582516
383,2243.11,21425536
384,2944.99,24664464
385,3451.38,29986135
386,3310.16,28695268
387,3114.34,27069577
388,3309.19,30396726
389,3218.61,28345446
390,2958.46,26409942
391,2925.08,27087802
392,3027.66,26188225
393,3137.34,28082462
394,3632.06,32275003
395,3309.33,30143277
396,3500.0,30039200
397,2742.8,24649617
398,2961.97,26300775
399,3085.99,27704078
400,2810.58,26448739
401,3139.2,27429898
402,3115.09,26606455
403,2907.49,27213832
404,3084.03,26829768
405,3193.42,28617759
406,3537.15,30118910
407,2742.42,24768375
408,2871.91,25698940
409,3316.92,29726128
410,3507.96,29121564
411,2871.91,26772683
412,3204.62,28299798
413,2995.58,28076483
414,3012.8,28024678
415,2958.32,26626526
416,2998.71,26203034
417,2980.11,26580233
418,2907.61,27341985
419,2716.1,24036537
420,3169.49,26984006
421,3049.32,28019175
422,3477.89,31245481
423,2718.06,24893605
424,3115.36,27904615
425,2852.67,26570110
426,3156.12,27048068
427,3234.94,29205255
428,3160.68,27665996
429,2836.12,25665136
430,2735.5,24603374
431,2466.38,22793117
432,2507.2,23143490
433,2585.85,24159728
434,3181.62,27819695
435,2904.28,26814292
436,2966.73,26655789
437,2499.01,22828976
438,2866.55,25578005
439,2464.83,22556839
440,2771.68,25774978
441,2440.95,23461561
442,2803.28,25591663
443,2478.32,22675098
444,2539.98,23432068
445,2439.51,23115997
446,2653.55,25471561
447,2079.73,18906013
448,2730.16,24766370
449,2412.68,22967513
450,2711.24,26125048
451,2392.32,23188363
452,2756.07,24724656
453,2589.13,23922254
454,2973.12,26343184
455,2618.68,23868949
456,2932.28,24910521
457,2772.56,25189193
458,2561.96,24479893
459,2325.24,23076694
460,2419.73,23255578
461,2656.28,25470354
462,2304.14,22085441
463,2188.99,20484915
464,2478.99,22551286
465,2778.13,26125682
466,2522.38,23757662
467,2538.89,23987062
468,2503.02,22743245
469,2491.81,23460516
470,3016.56,26101417
471,2115.64,20363374
472,2171.78,20770526
473,2404.24,22582341
474,2411.3,22987255
475,2129.5,20585081
476,2374.87,22921347
477,2181.1,21097590
478,2169.45,21043869
479,2125.79,20448793
480,2121.57,19925863
481,2205.45,21375424
482,2023.35,19561422
483,2311.13,21987618
484,2063.32,21281038
485,1938.13,19347377
486,2396.59,22857313
487,1807.08,17374024
488,2298.52,21767136
489,1965.73,19103584
490,2251.56,22095226
491,2059.39,19690484
492,2076.6,19994028
493,1951.18,19218863
494,1939.54,18949164
495,1545.24,15464536
496,1745.46,17472163
497,1777.38,17978718
498,1758.4,18012877
499,1515.45,15255408
500,1678.47,16686880
501,1540.74,15957508
502,1862.66,17354630
503,1407.66,13747615
504,1667.86,15810226
505,1515.09,15783841
506,1499.52,15235576
507,1471.0,14650812
508,1478.63,14216862
509,1437.76,13879315
510,1331.13,13775679
511,879.75,9615458
