index,time,conflicts
0,1519.13,10523337
1,827.64,6138239
2,1096.24,8230640
3,530.51,4171945
4,1455.04,9713364
5,807.3,6130425
6,904.87,6825898
7,390.2,3273087
8,1185.3,8926635
9,721.05,5621236
10,741.75,5905435
11,370.47,3285304
12,849.08,6374115
13,478.47,3887866
14,650.02,5317162
15,283.31,2454561
16,1000.0,7737871
17,545.61,4696294
18,694.08,5437526
19,327.77,2986881
20,732.55,5840108
21,453.78,3980481
22,539.63,4597422
23,290.19,2670142
24,729.85,5652701
25,407.89,3580036
26,503.11,4354283
27,293.46,2731756
28,549.31,4667145
29,360.09,3225057
30,399.26,3467034
31,235.23,2289137
32,1163.95,8685705
33,667.1,5307906
34,945.45,7257561
35,477.5,4006482
36,1080.55,8207048
37,597.4,4915895
38,685.19,5730535
39,391.78,3471066
40,784.98,6489628
41,541.32,4534816
42,684.93,5371603
43,380.96,3488306
44,715.75,5688544
45,431.75,3667708
46,526.11,4367807
47,288.08,2604786
48,557.91,4544746
49,389.63,3443224
50,468.58,3843907
51,333.67,3065052
52,516.31,4353112
53,402.91,3591987
54,486.63,4168036
55,287.83,2723356
56,576.49,4798025
57,368.51,3217080
58,486.91,4366428
59,318.7,2927499
60,471.17,4029766
61,312.58,2765822
62,345.93,3159856
63,260.55,2450069
64,1447.31,10212063
65,825.72,6376821
66,1107.23,8349686
67,493.38,4148618
68,1462.38,10562691
69,748.79,5766306
70,1014.2,7497014
71,402.2,3413143
72,1014.95,7892925
73,565.77,4733028
74,782.92,5881537
75,369.32,3425613
76,828.31,6453074
77,489.52,4180250
78,596.78,4877617
79,297.31,2651117
80,889.18,6793493
81,558.05,4733501
82,672.28,5225770
83,392.7,3441908
84,760.22,6208136
85,578.42,4760740
86,638.72,5335544
87,392.48,3559651
88,694.22,5647454
89,454.44,4039721
90,550.08,4544872
91,361.14,3057166
92,657.64,5020141
93,432.85,3685952
94,484.62,4289868
95,357.03,3065596
96,1106.07,8173280
97,709.59,5716842
98,688.03,5659003
99,428.55,3856326
100,768.2,6091096
101,517.16,4405525
102,600.4,5066393
103,366.92,3311718
104,700.48,5771928
105,457.33,3855100
106,575.36,4590966
107,337.77,3156647
108,665.43,5396399
109,387.6,3373605
110,466.38,3953535
111,257.17,2332939
112,484.07,3895058
113,358.94,3221318
114,567.19,4711947
115,289.61,2888895
116,552.99,4501825
117,435.61,3695972
118,481.62,4253260
119,339.11,3271624
120,464.5,4030098
121,366.06,3272367
122,390.39,3406922
123,300.46,2763157
124,389.51,3465649
125,340.8,3072510
126,326.8,2923496
127,291.24,2791064
128,1236.68,8843506
129,684.02,5433475
130,950.54,7568448
131,464.22,3898571
132,1166.79,8674074
133,522.82,4577820
134,711.05,5636826
135,305.47,2813841
136,861.54,6851907
137,523.87,4581355
138,741.37,5510929
139,342.3,2959082
140,705.73,5328842
141,435.51,3552836
142,466.4,3791975
143,272.2,2492471
144,679.63,5299072
145,470.79,3938374
146,564.22,4495948
147,328.44,3022915
148,698.71,5306153
149,405.46,3494173
150,427.16,3943252
151,271.91,2603620
152,620.08,5279016
153,383.38,3429264
154,533.61,4174787
155,368.28,3232884
156,492.5,4056665
157,415.49,3530712
158,415.22,3561323
159,239.53,2235208
160,926.3,6556046
161,528.48,4656256
162,741.0,5962151
163,435.52,3719251
164,825.12,6374594
165,542.21,4327981
166,649.9,5080724
167,335.38,3245666
168,899.84,7103217
169,532.5,4356305
170,666.14,5246643
171,370.7,3341150
172,712.15,5899499
173,371.36,3217270
174,554.58,4533799
175,282.4,2545210
176,480.92,4329605
177,443.28,3823234
178,455.92,3896000
179,298.55,2883860
180,451.18,3905587
181,384.12,3342497
182,448.86,3856434
183,280.92,2638100
184,431.65,3650771
185,369.5,3216023
186,487.21,3975313
187,393.27,3354989
188,385.62,3200403
189,340.85,2996489
190,365.48,3453220
191,288.23,2747107
192,965.26,7060396
193,596.21,4619413
194,747.14,5604819
195,458.49,3668731
196,908.79,7164537
197,522.16,3983708
198,673.69,5430715
199,315.73,2883917
200,766.06,5824108
201,450.74,3788237
202,644.19,5303206
203,333.96,2907256
204,614.23,4830655
205,392.0,3432494
206,424.13,3594793
207,291.72,2650673
208,568.3,4553206
209,435.99,3636789
210,486.66,3958062
211,354.76,3360714
212,559.89,4693219
213,442.14,3745361
214,488.38,3930395
215,326.68,2853486
216,550.93,4713925
217,431.99,3554936
218,484.48,3956966
219,406.56,3440493
220,453.66,3736686
221,405.4,3457380
222,405.72,3459476
223,302.66,3018305
224,685.05,5257023
225,440.3,3921980
226,586.1,4817849
227,330.83,3100992
228,669.55,5478936
229,448.98,3826238
230,523.76,4299390
231,309.47,2809938
232,540.81,4474136
233,409.3,3393984
234,566.33,4608618
235,377.43,3407406
236,434.83,3701298
