index,time,conflicts
0,5888.75,32473543
1,6457.72,36599195
2,5030.19,28005124
3,6031.14,33459291
4,5651.23,31027178
5,6291.2,33503075
6,5410.57,30432515
7,6564.29,36601105
8,6128.73,33317223
9,5776.28,31566321
10,6215.68,33850246
11,5355.59,29131392
12,6534.57,35498082
13,6496.98,35447108
14,5578.38,30209684
15,6304.95,35540463
16,5142.23,29162524
17,5991.94,32952712
18,6872.77,35336737
19,5708.51,31075832
20,6038.21,33462272
21,7005.36,36167085
22,6307.47,34831157
23,6356.81,33491713
24,5257.56,29542161
25,6465.24,34302769
26,6355.39,33966242
27,6232.42,34469501
28,6148.2,33568672
29,6181.12,33732419
30,5661.35,31208537
31,6062.69,32500764
32,5705.57,31548298
33,5803.76,32509297
34,6257.93,32829708
35,7046.54,37668338
36,5138.24,29258085
37,6175.27,31938047
38,6202.36,32572258
39,6461.35,34346001
40,6268.17,33094920
41,6396.79,34223404
42,6319.25,33236456
43,6305.19,34494243
44,6643.52,35074517
45,7223.71,37951219
46,6487.67,34665615
47,5707.22,31801056
48,5748.12,31722931
49,6464.61,34396984
50,5690.34,32409430
51,5889.85,32416811
52,5213.41,30331043
53,6421.29,34533432
54,6095.01,33968819
55,6361.02,33874473
56,6597.17,35364250
57,5354.3,30673031
58,5195.84,28663911
59,6148.81,34069883
60,5100.29,29286585
61,6342.8,34204317
62,6820.19,35523868
63,5963.29,32660361
64,5761.74,31429885
65,6689.81,36193904
66,5640.94,31523575
67,6116.51,32551326
68,5504.03,29584371
69,5938.01,32919177
70,5678.91,30563547
71,5798.7,30695705
72,5628.72,30317029
73,6081.23,33158752
74,6167.97,32609591
75,6238.4,33702788
76,5652.42,30464768
77,6433.81,35247966
78,6383.03,33583697
79,5861.0,32530289
80,5956.02,31315753
81,6096.22,33040847
82,5456.7,31137003
83,5762.32,32047156
84,5674.86,30494525
85,7035.39,36956442
86,6724.25,35842624
87,6965.94,37295548
88,6849.53,36699069
89,6194.54,32927243
90,6225.34,33615816
91,5989.8,31443312
92,6038.52,31193462
93,6238.77,33702192
94,5603.98,30764373
95,5852.24,32065652
96,6515.03,35177341
97,6343.18,33693745
98,6065.62,32585219
99,6798.39,36264443
100,5951.22,31108771
101,6982.12,37451639
102,6236.52,34071674
103,6524.28,35734264
104,5818.43,32124457
105,6106.81,34371905
106,6860.53,35398615
107,6306.6,33770006
108,6128.29,32955393
109,6062.63,34394148
110,5849.18,32085319
111,5760.72,32414655
112,5838.8,32255921
113,5804.91,32290092
114,5948.52,32307025
115,5195.27,29389373
