index,time,conflicts
0,341.57,3140945
1,112.02,1253294
2,137.12,1493127
3,47.7,594588
4,195.65,1973401
5,73.02,853520
6,106.73,1195958
7,35.11,452719
8,182.32,1824794
9,56.29,686471
10,110.08,1255863
11,37.18,479536
12,136.34,1410357
13,45.13,524576
14,64.75,771202
15,24.61,321941
16,106.32,1174411
17,43.53,561519
18,67.68,838363
19,28.58,399965
20,73.68,873977
21,35.2,460137
22,48.22,608467
23,27.39,381045
24,69.02,829944
25,38.44,509644
26,48.93,608399
27,23.21,312525
28,60.43,744744
29,33.19,415509
30,34.47,448491
31,19.21,265283
32,159.54,1596479
33,53.72,636865
34,92.63,1031778
35,40.54,530517
36,128.74,1364861
37,48.26,585883
38,69.07,813634
39,28.13,375571
40,117.88,1224228
41,45.17,552104
42,73.81,866185
43,31.72,407325
44,86.67,936484
45,39.7,477638
46,47.87,609461
47,22.65,294199
48,66.23,782303
49,33.57,440037
50,40.18,485175
51,25.38,340058
52,55.56,680815
53,32.77,409460
54,39.45,500424
55,24.99,338882
56,50.46,604999
57,32.8,422864
58,43.29,539684
59,25.31,333253
60,42.99,540746
61,32.32,407276
62,33.38,430283
63,19.62,266971
64,244.05,2220629
65,90.45,1060927
66,121.48,1381805
67,54.6,662088
68,166.32,1678125
69,64.18,784300
70,91.13,1040911
71,34.12,443297
72,176.32,1763539
73,59.76,735767
74,94.29,1043444
75,32.69,416933
76,130.33,1357502
77,46.98,585344
78,60.18,719620
79,26.65,364456
80,100.56,1119752
81,46.21,548748
82,64.27,750864
83,32.83,419869
84,85.42,983814
85,47.92,607483
86,49.96,606124
87,29.79,395565
88,73.61,851054
89,42.21,520645
90,52.11,632211
91,29.48,368631
92,67.58,762733
93,40.4,494223
94,37.45,487609
95,20.35,266222
96,138.64,1464684
97,58.55,705180
98,88.53,1010645
99,40.17,502826
100,104.61,1134529
101,42.6,537051
102,69.9,801003
103,30.4,401602
104,96.77,1079327
105,44.68,556246
106,66.86,761714
107,36.39,465232
108,68.08,793308
109,39.43,483346
110,37.67,486883
111,24.48,326638
112,54.19,661181
113,31.06,412945
114,43.08,541017
115,25.91,337155
116,49.99,606544
117,33.81,421441
118,35.47,460907
119,23.96,326195
120,44.0,530402
121,33.16,419525
122,40.1,507538
123,28.41,360886
124,37.31,501399
125,27.44,353598
126,32.63,441826
127,23.33,318714
128,261.42,2483590
129,79.5,937938
130,121.88,1303304
131,48.7,607493
132,194.23,1981665
133,56.06,684654
134,91.98,1065450
135,33.47,441275
136,166.32,1709600
137,61.08,741384
138,107.76,1212216
139,38.75,496312
140,117.58,1277382
141,47.9,593368
142,64.62,781306
143,25.73,347369
144,89.17,1027873
145,39.48,491569
146,61.23,747083
147,32.91,441183
148,68.42,827129
149,43.57,537627
150,52.07,667570
151,27.51,370335
152,83.0,1017568
153,42.11,545627
154,65.31,754340
155,32.79,415569
156,65.94,770229
157,37.7,464730
158,38.4,506219
159,26.78,357941
160,128.0,1301631
161,64.0,743480
162,93.74,1055017
163,39.86,503079
164,116.92,1280289
165,49.97,578239
166,73.01,826595
167,33.01,417949
168,108.11,1178379
169,55.77,675266
170,86.55,963509
171,34.34,424528
172,83.87,973596
173,45.32,552250
174,49.69,592350
175,27.12,346121
176,62.45,736087
177,38.07,468470
178,49.39,571586
179,28.68,371768
180,52.79,630116
181,41.59,513867
182,41.33,519127
183,26.94,349661
184,52.42,602071
185,34.54,435546
186,47.58,584145
187,33.12,432959
188,45.63,553754
189,39.22,485875
190,36.55,473334
191,25.76,336264
192,199.85,1962868
193,70.88,821796
194,95.72,1064834
195,41.4,532680
196,156.26,1599174
197,59.62,737880
198,76.43,889588
199,32.3,405165
200,152.32,1607869
201,56.39,691007
202,101.65,1087120
203,37.73,480566
204,107.04,1151854
205,43.03,515105
206,54.06,644073
207,23.87,325029
208,73.53,848203
209,46.66,581451
210,61.96,705558
211,31.16,397847
212,73.01,853023
213,45.41,561604
214,57.0,721415
215,29.39,376080
216,73.87,866254
217,44.87,571135
218,56.46,666248
219,33.41,429040
220,60.69,706623
221,40.18,484226
222,37.28,471378
223,27.76,366743
224,97.34,1047204
225,47.82,589809
226,65.79,758417
227,33.69,429384
228,76.03,867418
229,43.33,522542
230,59.81,696858
231,29.59,383065
232,92.92,1108847
233,44.27,560602
234,65.06,739638
235,31.64,421651
236,71.19,815528
237,39.48,495918
238,36.41,466552
239,25.47,333127
240,41.44,520845
241,31.13,397259
242,43.08,524439
243,22.71,321491
244,44.11,558549
245,38.43,471132
246,37.92,494899
247,26.28,350328
248,45.52,572131
249,33.67,422769
250,39.7,504771
251,34.52,444725
252,41.86,525703
253,34.51,434631
254,32.38,420196
255,26.79,342416
256,168.09,1638119
257,77.69,888563
258,102.28,1156301
259,46.23,579527
260,143.45,1457017
261,56.78,673331
262,82.78,962354
