index,time,conflicts
0,777.15,6485139
1,797.9,6901364
2,914.97,8210612
3,837.54,7412607
4,842.21,7650458
5,893.53,7561019
6,890.84,7883856
7,866.24,7919494
8,839.63,7421621
9,896.57,7843820
10,832.0,7395920
11,769.66,6689205
12,737.37,6173530
13,838.51,7676790
14,720.28,6668028
15,769.21,7008357
16,837.13,7536217
17,982.3,8115067
18,839.03,7111365
19,852.37,7604793
20,803.98,7423531
21,955.91,7864093
22,829.61,7337317
23,912.46,7572627
24,749.55,6355841
25,855.0,7154614
26,738.03,6184105
27,815.26,6812915
28,768.19,7184123
29,946.85,8252127
30,819.62,6879528
31,902.18,7981904
32,951.02,8259765
33,836.46,7403799
34,872.95,7659585
35,782.76,6647918
36,887.91,7763201
37,764.22,6612855
38,906.3,7511382
39,937.28,7803003
40,821.1,7083414
41,855.36,7504376
42,892.3,7954123
43,854.56,7291764
44,850.7,7036484
45,699.84,6292643
46,800.17,6923646
47,845.96,7743006
48,788.07,7297810
49,912.5,7487908
50,865.02,7928590
51,850.11,7703062
52,795.11,7367654
53,973.91,8290391
54,771.82,6658626
55,898.49,8068602
56,705.54,6480135
57,872.53,7825773
58,801.7,7278007
59,890.81,7973279
60,784.68,7279159
61,825.83,7210161
62,713.47,6167883
63,814.61,7032690
64,810.4,6602324
65,924.81,8004215
66,796.4,7052242
67,804.23,7112069
68,839.45,7425156
69,881.6,8137664
70,806.64,6801550
71,861.11,7666837
72,858.86,7406840
73,804.9,7456583
74,952.54,8225575
75,825.26,7430524
76,834.53,7343620
77,841.07,7809348
78,826.68,6957745
79,841.39,7799608
80,811.13,7026219
81,929.43,7959063
82,765.05,6437815
83,897.3,7742750
84,804.88,7058705
85,873.49,7626775
86,807.72,7099780
87,819.24,6971261
88,777.14,7130291
89,955.28,8045111
90,950.63,8306293
91,1026.43,9035221
92,672.93,6045597
93,923.18,8120808
94,814.43,7351882
95,873.34,7190665
96,805.95,6743811
97,967.56,8355580
98,918.95,7990234
99,934.12,8030413
100,860.25,7381343
101,857.96,6947518
102,906.18,7726235
103,805.35,6758422
104,958.75,8273786
105,928.8,8132642
106,960.35,8469791
107,1029.4,8740928
108,958.59,8322414
109,908.68,7625552
110,828.88,6724733
111,892.46,7966379
112,710.5,6184525
113,894.07,7066531
114,803.43,7290851
115,859.5,7403234
116,856.51,7564586
117,873.66,7765339
118,743.48,6866493
119,961.94,8530179
120,750.82,6564379
121,870.62,7587955
122,866.79,7511289
123,750.9,6259314
124,791.88,7254670
125,855.5,6993171
126,761.0,6800919
127,879.47,7993491
128,917.9,8269632
129,860.27,7357799
130,866.02,7707010
131,902.43,7890506
132,877.36,7895274
133,982.71,8878810
134,877.03,7450056
135,935.63,8424567
136,900.58,7661666
137,905.85,7966083
138,974.64,8453574
139,889.9,8043478
140,873.64,8188567
141,873.64,7547908
142,837.24,7304942
143,850.72,7146230
144,922.6,8113415
145,1047.06,9273805
146,791.14,7004289
147,936.06,7866832
148,767.95,7019879
149,981.97,8639815
150,672.36,5868791
151,951.07,8424072
152,957.81,8497527
153,929.17,8009844
154,809.59,7247490
155,771.14,6814875
156,766.2,6985766
157,856.74,7792342
158,813.07,7517484
159,901.34,8030469
160,828.87,7416862
161,903.67,8105815
162,852.27,7440748
163,867.61,7277498
164,834.88,7188458
165,800.67,6681989
166,860.15,7431121
167,930.8,8045516
168,897.66,7853317
169,845.79,7109107
170,847.96,7474946
171,853.33,7553841
172,857.16,7565152
173,899.67,8016520
174,821.59,7284597
175,846.08,7548155
176,760.13,6288455
177,927.23,8218068
178,797.36,6647383
179,818.89,7192228
180,791.04,7206577
181,973.65,8391431
182,869.79,7924074
183,844.51,7215854
184,714.47,6533721
185,880.87,7917031
186,889.05,8028407
187,776.36,6813321
188,776.39,7351534
189,856.9,7335661
190,733.73,6678451
191,867.71,7813372
192,919.41,8206745
193,890.58,7770501
194,984.6,8516874
195,890.5,7916302
196,820.55,7085603
197,893.29,7985106
198,866.78,7751855
199,800.35,7265796
200,934.67,8267477
201,766.29,7184226
202,763.44,6680014
203,803.02,6913097
204,880.05,7863861
205,811.67,7445661
206,806.42,7107766
207,881.01,7811607
208,818.73,7360340
209,962.28,8226770
210,903.31,8071465
211,884.92,8006261
212,789.06,7465817
213,953.14,8105145
214,821.63,7283697
215,912.22,7790881
216,803.9,6813250
217,836.73,7317164
218,866.2,7888625
219,863.97,7764381
220,807.29,7278856
221,961.8,7675060
222,870.8,7770673
223,867.32,7149786
224,821.73,6897440
225,1001.36,8743738
226,881.93,7930875
227,956.63,8539628
228,957.15,8458186
229,872.07,7827786
230,800.37,7071762
231,873.79,7327598
232,918.87,7695732
233,878.38,7838377
234,930.11,8064687
235,875.01,8050741
236,871.05,7642022
237,887.41,8033797
238,820.8,7423780
239,853.04,7777192
240,777.96,7164528
241,886.81,7639001
242,768.58,7119860
243,860.89,7196130
244,810.72,7633884
245,931.41,7951090
246,941.53,8382947
247,871.79,7803113
248,741.87,6671369
249,843.61,7380219
250,902.15,7860471
251,893.16,8228131
252,843.34,7612648
253,831.03,7290931
254,844.58,7496615
255,892.86,8096250
256,722.61,6884688
257,750.17,6098226
258,896.45,8079084
259,809.12,7379237
260,775.01,6946035
261,812.25,7070246
262,748.1,6981991
263,807.92,6969923
264,805.95,7304612
265,796.58,6776929
266,838.77,7684044
267,839.48,7677389
268,786.4,7419436
269,837.41,7625907
270,761.2,6998232
271,814.43,6977191
272,776.22,7318148
273,1023.52,8207696
274,854.14,7594942
275,947.22,7708095
276,855.87,7311780
277,946.78,7625332
278,779.97,7096683
279,953.02,7310642
280,830.76,7687161
281,826.6,7042553
282,803.08,7236974
283,1006.3,8705430
284,787.43,6847484
285,1084.38,9009663
286,757.3,6992126
