index,time,conflicts
0,2.95,16428
1,13.8,93324
2,8.19,55218
3,8.56,54889
4,7.76,56839
5,8.24,51624
6,7.78,53287
7,8.08,50119
8,7.0,53499
9,7.48,50734
10,8.11,54280
11,8.21,52719
12,7.79,53374
13,8.36,54047
14,8.87,55307
15,8.76,52427
16,7.95,59479
17,8.08,54786
18,8.72,57797
19,9.06,53335
20,8.34,51697
21,8.3,51134
22,8.47,54103
23,8.92,51230
24,8.16,56943
25,8.36,57598
26,7.94,50766
27,8.54,50540
28,8.11,54076
29,7.58,45340
30,8.4,51100
31,8.66,56124
32,7.86,57544
33,7.71,59702
34,7.71,52580
35,7.35,52519
36,7.47,53636
37,7.57,53659
38,7.8,52071
39,8.53,59253
40,6.91,51046
41,7.53,50186
42,8.49,50571
43,8.73,52812
44,8.58,55768
45,8.23,50110
46,8.29,53636
47,8.26,52281
48,8.2,53340
49,9.05,57190
50,7.84,51907
51,8.79,54143
52,8.01,53915
53,8.66,52850
54,8.61,52806
55,8.35,49375
56,8.09,50589
57,8.57,49708
58,8.34,52193
59,8.66,49230
60,7.91,49446
61,8.41,50486
62,9.05,56637
63,8.63,50173
64,6.86,47041
65,9.68,63946
66,8.12,54587
67,8.47,55171
68,8.19,53257
69,8.86,57521
70,3.5,19003
71,13.61,88977
72,7.65,52575
73,7.89,51708
74,8.03,52743
75,8.55,54657
76,8.27,57087
77,8.85,54644
78,8.0,50131
79,8.7,51841
80,8.2,53005
81,8.26,52634
82,8.07,51079
83,8.87,52844
84,9.24,59855
85,9.18,57264
86,8.42,51366
87,9.04,54841
88,3.67,20082
89,14.45,94638
90,7.84,50667
91,8.16,50013
92,8.1,56583
93,8.51,48736
94,8.18,51532
95,8.34,51400
96,6.72,57068
97,8.14,56860
98,6.98,56184
99,7.44,51867
100,7.75,55700
101,7.93,56790
102,8.22,53679
103,7.8,51137
104,7.85,53669
105,7.71,50832
106,7.43,51603
107,8.46,53187
108,8.2,49170
109,8.3,49581
110,8.53,50280
111,8.93,54578
112,8.41,53416
113,8.79,54749
114,7.67,46309
115,8.87,52985
116,8.37,51515
117,8.94,56419
118,8.5,49587
119,8.99,51272
120,8.12,51423
121,7.73,49223
122,8.51,58382
123,8.55,51382
124,8.5,51412
125,8.74,51731
126,8.05,48582
127,8.62,49787
128,11.22,124801
129,11.7,116484
130,11.59,101411
131,12.27,88602
132,12.52,92859
133,14.81,108740
134,13.5,89134
135,13.28,92266
136,13.65,97027
137,14.62,100870
138,13.9,94870
139,14.46,96188
140,13.7,93249
141,15.49,106898
142,14.38,98442
143,13.26,90067
144,13.68,95751
145,14.13,95882
146,14.24,96418
147,14.04,87692
148,14.43,97722
149,14.0,91624
150,15.08,100183
151,14.13,91706
152,14.82,103024
153,13.84,100758
154,13.94,93104
155,15.05,94636
156,14.96,97147
157,15.11,97316
158,16.07,102225
159,15.15,97044
160,16.19,110632
161,16.76,108600
162,14.77,99670
163,16.59,118280
164,14.36,95953
165,14.8,94530
166,15.59,102647
167,14.82,92902
168,14.1,98503
169,14.66,103173
170,14.9,101601
171,16.02,97861
172,15.62,95056
173,16.15,98660
174,16.82,102300
175,16.53,101330
176,14.49,106315
177,14.12,93949
178,13.91,94471
179,15.52,98063
180,15.12,93129
181,16.0,103299
182,16.25,102901
183,15.13,95054
184,16.13,101406
185,16.52,108234
186,15.59,92586
187,16.04,98775
188,16.93,105002
189,15.12,96689
190,14.73,96123
191,16.69,103730
192,13.65,109315
193,14.18,106060
194,14.45,109204
195,14.43,101866
196,28.49,204928
197,133.19,1018288
198,33.4,238810
199,31.09,208323
200,32.68,213705
201,34.89,218157
202,33.39,224015
203,32.62,216144
204,35.5,230331
205,33.92,219868
206,32.71,219563
207,32.33,216105
208,33.26,228908
209,35.47,224985
210,32.29,218500
211,32.89,211795
212,35.14,236962
213,34.46,215259
214,31.12,211564
215,30.33,206898
216,34.97,232952
217,35.61,227345
218,31.35,202497
219,33.73,208395
220,34.96,218025
221,35.64,219186
222,31.8,207675
223,33.31,204421
224,32.16,231364
225,31.5,207575
226,30.86,202767
227,31.16,197551
228,30.8,211264
229,30.89,192990
230,29.64,185025
231,31.68,193648
232,32.55,208286
233,33.54,205656
234,31.22,194857
235,31.61,195011
236,30.74,200264
237,29.68,178447
238,32.31,191661
239,35.69,204859
240,30.97,201787
241,31.36,194049
242,33.03,207496
243,32.72,199822
244,30.95,195386
245,30.71,188506
246,31.88,195267
247,32.53,198237
248,30.05,216482
249,30.76,192952
250,33.24,208803
251,34.4,198827
252,31.88,200723
253,33.04,201349
254,33.34,195116
255,34.04,207370
