index,time,conflicts
0,0.02,69
1,0.04,265
2,0.03,140
3,0.01,38
4,0.06,314
5,0.02,106
6,0.06,272
7,0.02,68
8,0.02,100
9,0.03,118
10,0.03,144
11,0.03,144
12,0.03,152
13,0.01,45
14,0.03,144
15,0.04,235
16,0.01,59
17,0.02,117
18,0.03,103
19,0.03,134
20,0.03,153
21,0.03,156
22,0.23,1454
23,0.13,724
24,0.13,638
25,0.12,675
26,0.14,728
27,0.08,492
28,0.07,327
29,0.07,350
30,0.07,305
31,0.14,644
32,0.07,390
33,0.07,328
34,0.02,111
35,0.06,290
36,0.04,156
37,0.04,139
38,0.02,88
39,0.02,108
40,0.04,204
41,0.01,52
42,0.03,120
43,0.02,63
44,0.03,130
45,0.04,241
46,0.04,227
47,0.04,209
48,0.04,187
49,0.03,155
50,0.04,204
51,0.05,293
52,0.02,93
53,0.02,95
54,0.06,291
55,0.03,178
56,0.03,167
57,0.04,203
58,0.03,184
59,0.05,279
60,0.03,202
61,0.04,174
62,0.1,489
63,0.06,250
64,0.08,430
65,0.04,152
66,0.05,257
67,0.02,103
68,0.03,163
69,0.02,109
70,0.05,213
71,0.03,136
72,0.04,166
73,0.04,194
74,0.1,508
75,0.03,182
76,0.1,500
77,0.06,324
78,0.07,345
79,0.07,313
80,0.03,183
81,0.04,178
82,0.06,307
83,0.04,154
84,0.04,225
85,0.02,87
86,0.02,88
87,0.05,250
88,0.02,119
89,0.02,93
90,0.04,185
91,0.04,152
92,0.04,188
93,0.02,106
94,0.02,81
95,0.04,193
96,0.04,210
97,0.04,190
98,0.04,193
99,0.05,213
100,0.47,2662
101,0.22,1158
102,0.24,1310
103,1.83,16748
104,0.5,3179
105,0.2,1203
106,0.23,1255
107,0.84,5205
108,0.52,3083
109,0.29,1510
110,0.23,1039
111,0.21,1178
112,0.12,654
113,0.13,653
114,0.25,1215
115,0.25,1389
116,0.73,4530
117,0.24,1339
118,0.26,1276
119,0.43,2281
120,0.19,1155
121,0.24,1274
122,0.24,1152
123,0.12,494
124,0.14,742
125,0.43,2275
126,0.2,1270
127,0.23,1058
128,0.21,1129
129,0.07,415
130,0.07,427
131,0.06,301
132,0.07,327
