index,time,conflicts
0,71.52,425660
1,32.56,209114
2,17.54,113872
3,16.45,106337
4,33.51,204735
5,16.86,103064
6,8.48,54103
7,8.86,51230
8,15.7,104442
9,7.93,50766
10,8.54,50540
11,15.24,93941
12,8.41,51100
13,4.72,25984
14,4.84,27434
15,65.26,420622
16,31.91,208622
17,16.31,104053
18,16.89,108188
19,15.85,105689
20,15.79,98781
21,16.03,104148
22,8.57,52806
23,5.13,28942
24,5.29,28414
25,8.09,50589
26,5.12,27959
27,4.87,27766
28,8.36,52193
29,4.95,28138
30,3.2,14948
31,3.56,18476
32,7.95,49446
33,8.38,50486
34,9.09,56637
35,5.17,26620
36,3.45,16315
37,3.47,16111
38,34.59,206526
39,16.82,112821
40,3.47,19003
41,13.64,88977
42,16.02,100757
43,14.8,97936
44,8.28,57087
45,5.0,28775
46,4.94,29980
47,7.96,50131
48,4.98,28269
49,5.02,29183
50,16.68,109126
51,7.99,51079
52,4.93,28918
53,5.13,29690
54,9.24,59855
55,4.96,28787
56,5.3,30603
57,4.6,26991
58,4.86,28590
59,5.01,29986
60,2.15,8724
61,4.21,21665
62,3.67,20082
63,14.43,94638
64,7.85,50667
65,4.71,28126
66,5.06,27025
67,4.07,28360
68,4.99,28994
69,5.08,27686
70,2.3,8529
71,3.97,22376
72,5.09,28898
73,5.03,29689
74,3.37,17117
75,3.42,14226
76,3.45,17835
77,2.56,10409
78,2.14,7986
79,28.17,215767
80,14.13,103350
81,8.24,53679
82,7.79,51137
83,14.37,97052
84,7.42,51603
85,8.47,53187
86,8.12,49170
87,5.04,28036
88,4.76,26272
89,8.54,50280
90,5.47,33916
91,3.14,16507
92,3.32,16358
93,15.65,96682
94,7.76,46309
95,8.9,52985
96,8.31,51515
97,4.94,26705
98,5.12,26482
99,8.54,49587
100,4.9,26773
101,3.47,18168
102,2.47,9836
103,2.38,8365
104,14.98,95824
105,8.51,58382
106,4.88,28834
107,2.94,14896
108,3.66,18617
109,8.53,51412
110,4.89,26692
111,3.14,15755
112,3.15,14996
113,5.01,30286
114,4.85,29452
115,5.15,28351
116,3.26,14773
117,2.33,8729
118,2.2,8543
119,146.51,1055205
120,63.08,426913
121,63.4,421618
122,66.35,412568
123,28.98,188663
124,15.0,100183
125,14.12,91706
126,31.89,213910
127,30.34,189495
128,15.0,97147
129,15.17,97316
130,16.12,102225
131,8.43,50321
132,8.71,55951
133,66.29,406384
134,31.45,196485
135,32.14,202986
136,30.35,206691
137,14.76,101601
138,15.88,97861
139,15.59,95056
140,15.98,98660
141,8.15,51289
142,8.23,49913
143,4.81,26758
144,4.94,25564
145,5.3,31715
146,3.21,14547
147,3.3,15396
148,32.56,217662
149,13.81,94471
150,15.5,98063
151,15.09,93129
152,16.01,103299
153,16.22,102901
154,8.32,51551
155,8.42,50098
156,16.21,101406
157,7.63,46329
158,8.16,50951
159,7.84,49418
160,5.01,29025
161,5.24,28452
162,7.94,48643
163,5.06,27944
164,3.01,15598
165,3.15,15635
166,16.76,105002
167,8.33,51363
168,4.86,26797
169,5.34,31582
170,8.06,49720
171,5.1,29489
172,3.39,16429
173,3.13,15895
174,8.22,49836
175,4.92,29021
176,3.29,14227
177,3.28,16290
178,418.31,2672666
179,79.76,499703
180,70.9,428963
181,69.54,451297
182,32.49,219563
183,32.38,216105
184,76.41,480701
185,74.73,471196
186,75.57,462976
187,31.33,211564
188,30.38,206898
189,34.91,232952
190,17.14,113244
191,16.98,108932
192,31.4,202497
193,16.47,103975
194,8.97,55163
195,8.43,51570
196,16.27,107943
197,17.41,107772
198,16.38,105482
199,8.56,52825
200,8.37,51857
201,31.8,207675
202,16.36,103402
203,8.91,52056
204,9.06,55843
205,74.87,490181
206,31.04,202767
207,30.98,197551
208,30.97,211264
209,30.79,192990
210,29.47,185025
211,15.56,105388
212,8.55,49737
213,8.43,50784
214,66.38,407866
215,31.31,194857
216,15.36,93725
217,16.01,98606
218,30.89,200264
219,15.09,94739
220,15.97,96414
221,15.21,96475
222,8.83,54973
223,9.48,56207
224,7.82,50971
225,8.27,52888
226,4.85,27677
227,5.04,26841
228,4.88,28370
229,3.35,15650
230,3.53,16150
231,71.53,431841
232,33.26,207496
233,16.18,110158
234,8.31,51762
235,8.94,53452
236,30.7,195386
237,17.69,110321
238,8.49,52918
239,4.46,26112
240,5.08,27277
241,15.93,102959
242,8.0,50861
243,8.33,51310
244,16.37,103461
245,8.11,53524
246,4.67,26129
247,3.25,16851
248,3.15,15457
249,69.12,441146
250,32.89,208803
251,15.66,101720
252,14.55,91665
253,17.23,110232
254,16.16,104209
255,16.1,101245
256,8.19,49703
257,4.95,26903
258,4.98,26483
259,8.53,52921
260,5.02,28529
261,5.21,27219
262,7.88,48883
263,4.84,27005
264,2.12,7780
265,4.11,21566
266,8.4,52995
267,8.61,51550
268,8.56,53307
269,3.15,15068
270,3.55,15369
271,3.34,14800
272,3.53,16910
