index,time,conflicts
0,0.74,16198
1,1.11,19587
2,1.28,23499
3,1.4,21769
4,1.21,21042
5,1.41,20621
6,1.59,21316
7,1.53,21389
8,1.38,24060
9,1.45,20610
10,1.56,17597
11,1.57,18740
12,1.65,22758
13,1.68,20195
14,1.63,19564
15,1.58,19222
16,1.39,23834
17,1.4,18892
18,1.65,20453
19,1.56,20981
20,1.53,21476
21,1.73,18608
22,1.7,20222
23,1.74,18037
24,1.46,18214
25,1.82,21431
26,1.74,20358
27,1.77,20866
28,1.77,19661
29,1.79,19819
30,1.78,18598
31,1.74,20995
32,1.34,24429
33,1.73,22985
34,1.57,19920
35,1.79,20772
36,1.48,17038
37,1.52,14569
38,1.76,21852
39,1.76,19823
40,1.7,21909
41,1.7,18741
42,1.77,21031
43,1.72,16044
44,1.93,22412
45,1.89,19133
46,1.74,18485
47,1.84,17619
48,1.63,21161
49,1.74,18026
50,1.72,18653
51,1.81,16932
52,1.85,20978
53,1.98,20846
54,1.79,20852
55,1.88,19117
56,1.71,20172
57,1.73,17445
58,1.94,22748
59,1.83,20932
60,1.83,19728
61,2.01,20654
62,1.88,19458
63,1.94,20427
64,1.22,21096
65,1.45,21199
66,1.6,21330
67,1.58,20199
68,1.61,21071
69,1.74,18032
70,1.77,20296
71,1.69,18363
72,1.67,19941
73,1.57,17149
74,1.8,19916
75,1.84,21127
76,1.66,16546
77,1.87,20280
78,1.82,19503
79,1.76,18080
80,1.86,23320
81,1.71,18459
82,1.84,21095
83,1.75,19108
84,1.8,19868
85,1.88,18921
86,1.72,17771
87,2.01,22924
88,1.91,19444
89,1.93,19817
90,1.96,21409
91,1.73,16866
92,1.87,20485
93,1.79,16852
94,2.0,19285
95,1.88,16948
96,1.7,20613
97,1.74,21020
98,1.87,19943
99,1.89,18670
100,1.88,21201
101,1.81,16886
102,2.01,20726
103,2.03,19589
104,1.86,20655
105,1.91,18201
106,2.05,20400
107,2.15,19142
108,1.84,20056
109,1.98,17621
110,1.98,21456
111,1.9,19929
112,1.74,19028
113,2.06,23274
114,1.9,19919
115,2.0,20143
116,1.85,18523
117,1.91,16630
118,1.93,19761
119,2.11,22003
120,1.91,21950
121,1.88,19892
122,2.13,19779
123,2.2,20776
124,1.87,20679
125,1.97,20379
126,2.01,18477
127,1.92,19432
128,0.81,17728
129,1.04,18682
130,1.22,21338
131,1.38,22129
132,1.26,22832
133,1.46,21084
134,1.45,20485
135,1.58,21043
136,1.37,23736
137,1.44,20023
138,1.59,19722
139,1.8,23977
140,1.36,18018
141,1.62,19102
142,1.57,18533
143,1.54,19072
144,1.5,24491
145,1.39,18783
146,1.52,19996
147,1.6,18786
148,1.63,22117
149,1.6,17109
150,1.66,17139
151,1.8,19845
152,1.51,21143
153,1.62,19373
154,1.73,20801
155,1.63,18443
156,1.7,21328
157,1.9,20326
158,1.77,20905
159,1.68,18425
160,1.2,20481
161,1.47,22636
162,1.56,18011
163,1.57,17443
164,1.51,19451
165,1.55,17903
166,1.71,16711
167,1.76,22132
168,1.66,21604
169,1.78,20281
170,1.69,16705
171,1.84,18811
172,1.86,20834
173,1.94,20258
174,1.78,18853
175,1.85,20060
176,1.7,22912
177,1.88,21263
178,1.68,19031
179,1.77,21743
180,1.74,18847
181,1.75,19010
182,1.84,19907
183,2.01,20666
184,1.72,19565
185,1.71,17238
186,1.74,18642
187,2.05,22265
188,1.96,21898
189,1.72,17613
190,1.7,16365
191,1.83,19589
192,1.76,35145
193,2.46,40844
194,2.77,43843
195,2.57,38759
196,2.57,38224
197,3.27,47522
198,2.81,39669
199,2.61,36811
200,2.62,36612
201,2.96,40360
202,3.11,43225
203,3.01,42918
204,3.27,43843
205,3.37,44192
206,2.91,39393
207,3.14,40467
208,3.03,41883
209,3.68,49175
210,3.25,43729
211,3.33,43523
212,3.05,44362
213,3.26,42694
214,3.38,44543
215,3.05,38755
216,3.39,43689
217,3.27,40257
218,3.48,42949
219,3.44,42612
220,3.08,39351
221,3.57,44936
222,3.3,40953
223,3.35,39227
224,2.36,40378
225,2.59,35369
226,2.54,34326
227,2.81,36225
228,3.07,38289
229,2.85,33862
230,3.16,37261
231,2.76,31048
232,5.2,91262
233,6.3,95250
234,7.02,99340
235,7.96,110880
236,6.55,91003
237,6.69,83865
238,6.76,88498
239,7.09,95372
240,2.54,42664
241,2.69,37963
242,2.99,39721
243,2.96,37347
244,12.27,167862
245,15.69,191657
246,15.95,186625
247,17.21,194005
248,5.76,86630
249,6.52,83715
250,14.24,173586
251,22.57,285336
252,9.75,131021
253,37.83,410562
254,40.52,489934
255,4065.08,26920226
