index,time,conflicts
0,4585.65,25134100
1,1069.05,7640021
2,500.47,3635502
3,201.15,1618953
4,206.96,1702370
5,460.73,3510513
6,193.02,1571029
7,97.24,845519
8,72.0,631023
9,179.9,1546810
10,103.04,878647
11,81.78,682232
12,183.38,1505810
13,90.11,759256
14,32.6,305502
15,43.48,434435
16,1163.49,8527163
17,158.53,1478278
18,238.94,1826238
19,212.16,1624946
20,89.6,708475
21,33.89,311005
22,25.37,236049
23,173.9,1513749
24,192.12,1515640
25,79.18,661146
26,29.39,260302
27,33.05,283894
28,100.77,778413
29,31.34,279688
30,13.22,127608
31,14.21,125240
32,203.92,1538520
33,80.05,641363
34,32.47,268423
35,15.22,152002
36,7.11,63053
37,6.35,60105
38,99.59,785487
39,35.37,305069
40,16.65,156985
41,6.52,63357
42,7.84,74481
43,30.99,277261
44,14.6,133267
45,6.65,64873
46,7.15,71188
47,13.17,132134
48,6.57,67762
49,7.85,68538
50,14.76,136897
51,6.65,60857
52,3.57,43476
53,3.73,33999
54,162.35,1280009
55,261.44,1947159
56,211.3,1765699
57,80.92,734425
58,37.58,346899
59,31.47,304531
60,178.75,1473124
61,33.66,305457
62,33.62,289145
63,33.97,289832
64,16.12,152764
65,7.21,72813
66,7.32,68125
67,83.55,699545
68,34.88,307004
69,15.31,146011
70,6.62,62729
71,7.07,64316
72,34.2,312386
73,14.38,131399
74,7.01,64389
75,7.09,65412
76,15.17,139484
77,7.43,68910
78,6.93,63743
79,6.95,69867
80,7.35,63678
81,6.75,62288
82,3.69,31248
83,3.5,36347
84,209.65,1656791
85,87.83,769723
86,31.8,291621
87,15.0,146345
88,14.3,145566
89,88.1,697544
90,33.54,279411
91,13.59,121753
92,15.59,144366
93,35.39,311469
94,16.12,157143
95,6.69,62412
96,6.95,66405
97,15.44,155677
98,7.33,69600
99,6.87,67061
100,6.84,61543
101,7.11,69500
102,6.49,63007
103,3.84,38256
104,3.72,35411
105,76.79,711173
106,30.32,260824
107,15.75,150802
108,16.1,150548
109,30.12,266814
110,13.43,120918
111,7.03,70657
112,6.97,58873
113,13.62,133542
114,6.95,63885
115,7.97,81496
116,7.4,72963
117,6.88,64847
118,7.08,63571
119,3.79,34565
120,3.84,37679
121,31.91,302145
122,14.68,138740
123,13.68,126019
124,13.87,125959
125,7.6,79365
126,7.4,64649
127,6.36,62553
128,7.0,66562
129,7.02,69451
130,7.52,67427
131,34.04,316644
132,15.68,157006
133,6.4,57842
134,6.56,59005
135,14.32,147620
136,15.42,157266
137,14.83,150846
138,7.29,71643
139,6.54,67818
140,350.83,3432393
141,501.77,3774995
142,155.7,1384231
143,89.52,775810
144,65.9,596707
145,81.22,696952
146,32.59,296875
147,27.85,231035
148,27.69,269895
149,30.9,266872
150,28.95,263053
151,14.27,149413
152,6.36,57368
153,6.65,68061
154,168.78,1420120
155,78.51,685962
156,32.65,290382
157,31.39,275356
158,79.4,660875
159,34.46,286752
160,13.62,125609
161,13.57,130079
162,33.93,293101
163,13.27,116962
164,6.88,66943
165,6.19,54520
166,14.91,132778
167,6.84,68293
168,7.13,67635
169,14.31,131844
170,7.74,76467
171,3.88,32579
172,3.31,28646
173,84.63,699947
174,36.26,319240
175,13.97,150431
176,13.92,136681
177,32.45,286921
178,14.82,145609
179,6.98,64884
180,6.76,60236
181,15.11,143906
182,6.85,64551
183,6.71,61422
184,6.77,61563
185,6.87,67281
186,7.42,65769
187,3.85,33740
188,3.51,33272
189,40.32,369374
190,28.52,245686
191,14.48,133921
192,6.67,68680
193,6.6,57847
194,6.81,64327
195,7.22,64668
196,6.3,58511
197,4.14,33933
198,3.5,32331
199,40.85,361639
200,7.59,72483
201,6.7,64431
202,7.53,70350
203,3.76,32169
204,3.73,31334
205,13.69,124127
206,6.36,57304
207,3.81,33923
208,3.64,33982
209,14.32,135292
210,6.36,60719
211,7.19,67739
212,160.57,1398022
213,71.93,606387
214,34.2,310410
215,32.29,290904
216,87.76,728371
217,33.03,277772
218,14.3,126670
219,13.67,118404
220,37.69,333743
221,13.83,121283
222,6.63,64036
223,6.35,55702
224,14.64,138341
225,6.67,59365
226,6.31,53656
227,6.9,67502
228,6.9,62919
229,7.19,62995
230,3.88,32373
231,3.79,35262
232,77.04,647541
233,37.24,326470
234,14.03,125950
235,15.68,133762
236,32.27,267738
237,13.8,121518
238,7.58,69403
239,8.06,74479
240,14.97,143476
241,7.11,62457
242,7.77,72884
243,7.58,69121
244,7.39,72818
245,6.98,58629
246,8.14,72114
247,34.92,304086
248,15.67,155490
249,7.59,72914
250,7.17,66734
251,14.82,141759
