index,time,conflicts
0,79.34,1274898
1,47.78,697258
2,21.04,300286
3,9.56,140145
4,4.76,64547
5,4.59,61159
6,18.84,279660
7,9.3,141628
8,8.53,129054
9,23.68,302575
10,9.61,128392
11,4.85,61883
12,2.49,32540
13,1.61,16969
14,1.77,22491
15,21.7,288558
16,10.0,148931
17,4.36,66816
18,4.27,55412
19,4.5,56573
20,4.46,56731
21,4.49,57069
22,2.55,32210
23,1.52,15521
24,1.08,10018
25,1.12,10257
26,4.14,54268
27,2.4,32471
28,1.51,14708
29,1.76,18155
30,2.38,32034
31,1.76,20243
32,1.69,17038
33,1.55,19532
34,1.52,18248
35,1.77,22599
36,1.16,12552
37,1.23,11385
38,20.39,310519
39,9.15,134561
40,4.31,57989
41,5.1,69972
42,20.53,278558
43,10.17,139836
44,4.69,63580
45,2.83,34427
46,1.58,17985
47,1.91,22039
48,10.07,135228
49,11.5,139477
50,11.53,147892
51,4.46,58478
52,2.62,33527
53,2.72,35796
54,4.91,68540
55,4.92,57406
56,5.08,68830
57,2.46,30140
58,1.75,18375
59,1.2,9518
60,1.28,11954
61,4.98,64346
62,2.5,30046
63,1.77,17781
64,1.12,8698
65,1.18,7730
66,2.47,32837
67,1.64,18079
68,1.08,9051
69,1.2,10539
70,1.46,17049
71,1.07,10844
72,1.2,10189
73,1.1,8939
74,1.2,9622
75,1.15,10551
76,0.6,4574
77,0.82,6550
78,10.04,130180
79,10.09,124459
80,9.85,138232
81,4.5,54407
82,2.53,31948
83,2.87,34718
84,10.4,148573
85,9.09,130972
86,4.47,63217
87,2.66,33027
88,2.58,32340
89,5.02,69064
90,2.72,35490
91,1.68,18672
92,1.69,19499
93,4.57,63782
94,2.57,31618
95,2.78,31200
96,4.89,63145
97,2.97,36091
98,1.7,18584
99,1.8,17149
100,4.93,62218
101,2.54,30788
102,1.61,17283
103,1.15,10289
104,1.19,9867
105,2.88,34950
106,1.75,17794
107,1.11,9366
108,1.2,9907
109,1.63,17577
110,1.14,9783
111,1.25,11707
112,1.75,18335
113,1.16,9510
114,0.62,4721
115,0.61,4342
116,4.93,69033
117,2.88,38624
118,1.44,14260
119,1.71,15466
120,2.51,30775
121,1.55,17893
122,1.14,10139
123,1.22,10328
124,1.59,16496
125,1.25,11548
126,1.12,9063
127,1.61,17263
128,1.14,10075
129,0.57,4226
130,0.62,4373
131,5.1,66783
132,2.46,31647
133,1.75,20609
134,1.73,19475
135,2.69,32713
136,1.79,20563
137,1.24,10052
138,0.68,5529
139,0.63,4709
140,1.62,18304
141,1.15,10759
142,1.27,12511
143,1.08,9741
144,1.1,8976
145,1.28,11762
146,1.13,10384
147,150.64,2391142
148,86.69,1432986
149,42.44,713890
150,25.28,418005
151,8.37,134325
152,5.13,84532
153,5.13,77824
154,97.17,1423131
155,48.76,752735
156,19.08,321047
157,11.28,160176
158,4.75,70264
159,4.94,63809
160,41.96,591213
161,19.37,280278
162,9.57,143106
163,4.93,59572
164,2.6,35978
165,2.36,26502
166,19.05,280029
167,8.38,119344
168,7.77,101915
169,10.05,132135
170,4.42,58930
171,2.65,32469
172,2.67,28933
173,8.71,119595
174,2.64,30607
175,2.7,30686
176,2.54,29432
177,1.69,18765
178,1.67,16658
179,10.41,145192
180,4.75,68332
181,2.53,28850
182,1.64,16149
183,1.82,19103
184,6.99,103331
185,2.43,26123
186,2.75,31454
187,2.61,35342
188,1.77,17544
189,1.68,15032
190,1.6,18850
191,1.8,18006
192,1.71,16447
193,1.18,9266
194,0.71,4689
195,0.66,4254
196,73.09,1221345
197,18.2,285364
198,8.59,128923
199,9.78,135906
200,10.05,164700
201,4.11,61648
202,4.56,65061
203,9.17,138239
204,4.56,63214
205,2.75,40158
206,1.54,18001
207,1.58,19470
208,19.95,309915
209,21.08,303995
210,20.95,282465
211,11.64,162566
212,4.75,64163
213,2.41,32190
214,1.67,19560
215,1.56,20107
216,19.78,307593
217,10.18,137448
218,4.42,62162
219,4.47,65996
220,4.88,70895
221,4.67,63992
222,4.61,57267
223,2.43,30685
224,1.68,17513
225,1.67,19190
226,4.47,61941
227,2.38,32341
228,1.68,20390
229,1.56,15568
230,2.64,35962
231,2.6,35139
232,2.57,34660
233,1.61,20040
234,1.05,9958
235,1.19,13287
236,212.49,2848869
237,105.6,1483968
238,21.03,324804
239,46.82,702527
240,73.53,1170495
241,50.99,746001
242,21.46,312280
243,9.07,137308
244,4.09,62149
245,2.61,34251
246,1.56,18784
247,1.67,21361
248,245.3,3339680
249,262.87,3894630
