index,time,conflicts
0,0.01,30
1,0.06,1175
2,0.07,1421
3,0.18,3412
4,0.1,1966
5,0.27,5175
6,0.14,2724
7,0.29,5040
8,0.11,2167
9,0.32,5835
10,0.24,4713
11,0.6,10108
12,0.36,6113
13,0.41,7209
14,0.34,5604
15,0.52,8099
16,0.18,3904
17,0.75,16991
18,0.4,7286
19,0.87,17291
20,0.46,8194
21,0.6,10659
22,0.56,8432
23,1.02,18517
24,0.36,6615
25,0.73,11771
26,0.39,6725
27,0.9,13744
28,0.46,7082
29,0.8,13907
30,0.62,9453
31,0.84,12987
32,0.21,4571
33,0.75,18104
34,0.56,12327
35,1.49,26889
36,0.73,16479
37,1.11,18449
38,0.98,19922
39,1.18,17425
40,0.45,8212
41,0.88,17813
42,0.92,17947
43,1.09,17245
44,0.82,13233
45,1.0,15917
46,0.91,15917
47,1.21,19321
48,0.5,8922
49,0.81,12848
50,0.65,11268
51,1.15,17858
52,0.55,8456
53,1.05,16609
54,0.76,11732
55,1.19,19528
56,0.61,10857
57,1.07,19212
58,0.81,11726
59,1.32,22013
60,0.67,8272
61,1.18,18201
62,1.02,18148
63,1.08,17133
64,0.26,5653
65,0.9,20675
66,0.76,17387
67,1.23,23504
68,0.62,13247
69,1.29,23404
70,1.18,25322
71,1.36,21984
72,0.67,14477
73,1.06,18432
74,1.08,21593
75,1.29,22481
76,1.01,17427
77,1.44,25558
78,1.18,21166
79,1.44,23700
80,0.85,19274
81,1.39,28981
82,0.94,18525
83,1.31,21661
84,0.91,14868
85,2.06,36381
86,1.06,18053
87,1.57,26940
88,1.23,22501
89,1.42,25743
90,0.94,16874
91,2.24,38874
92,1.68,30765
93,1.28,20835
94,1.93,33859
95,3.34,52175
96,0.97,22315
97,1.02,15399
98,1.01,18592
99,2.14,34981
100,0.91,14404
101,1.48,21322
102,1.14,20230
103,1.44,21824
104,0.91,16979
105,2.02,35275
106,1.1,20156
107,1.54,23344
108,1.12,17619
109,2.72,44737
110,1.08,17604
111,1.69,28945
112,1.04,20883
113,1.19,20523
114,1.16,21072
115,1.51,23203
116,1.57,27073
117,2.34,38728
118,1.05,17096
119,1.55,27171
120,1.23,21793
121,1.31,20442
122,1.85,31316
123,1.36,19889
124,1.22,22464
125,1.53,24105
126,1.93,35688
127,2.1,36245
128,0.27,5914
129,0.94,21985
130,0.9,21097
131,1.93,37683
132,0.77,18061
133,2.21,44785
134,1.09,24150
135,1.71,29729
136,1.03,24215
137,1.98,38284
138,1.67,34461
139,1.68,26540
140,1.14,22984
141,2.5,42245
142,1.98,36296
143,2.56,41058
144,1.25,31118
145,1.42,28011
146,1.23,25563
147,1.83,26448
