index,time,conflicts
0,2.96,14699
1,4.53,29174
2,4.4,28132
3,6.52,44106
4,4.19,21024
5,8.1,49809
6,12.14,78134
7,27.06,169395
8,8.12,59507
9,9.41,67514
10,9.17,61261
11,9.16,57823
12,5.0,28788
13,12.75,80875
14,9.72,61606
15,8.79,49542
16,7.35,57491
17,8.52,60835
18,8.58,57158
19,9.0,56568
20,5.17,26509
21,12.74,80135
22,8.79,58314
23,9.17,55224
24,0.17,638
25,3.26,17131
26,4.27,22189
27,11.47,70367
28,9.2,59266
29,8.95,49540
30,10.72,72197
31,22.8,135164
32,7.69,57960
33,7.77,58712
34,7.89,51707
35,8.38,57364
36,7.78,55739
37,8.49,60284
38,8.51,53936
39,8.0,53056
40,8.21,50559
41,8.26,55342
42,8.42,52183
43,8.91,57583
44,8.95,57721
45,9.12,53519
46,8.25,52417
47,8.69,54989
48,9.02,59138
49,8.37,48316
50,8.36,51361
51,8.84,51779
52,8.49,53015
53,9.04,51301
54,8.88,54675
55,8.94,50384
56,9.15,53710
57,8.73,54131
58,8.78,54613
59,9.18,51592
60,8.93,51977
61,8.71,53763
62,9.46,54971
63,9.89,57792
64,8.01,62572
65,8.65,62949
66,8.38,57230
67,8.13,56977
68,8.56,60617
69,8.6,59402
70,8.73,57338
71,8.52,54138
72,8.26,52326
73,8.87,54679
74,9.24,57929
75,9.77,61698
76,9.04,61033
77,9.15,53211
78,9.24,57915
79,9.14,55961
80,9.46,63157
81,9.12,53594
82,8.2,51070
83,9.79,61381
84,9.07,57006
85,8.83,52168
86,9.26,53329
87,9.57,55177
88,8.69,53705
89,9.03,53384
90,8.86,53340
91,8.6,49775
92,8.85,53112
93,9.16,54496
94,8.82,52485
95,8.38,48781
96,6.91,42725
97,4.54,25879
98,4.1,21335
99,4.08,23386
100,10.46,66546
101,13.23,85069
102,12.69,83390
103,14.34,86850
104,7.79,52964
105,8.16,50317
106,8.3,53879
107,8.72,54992
108,8.83,57274
109,9.26,56145
110,8.36,51631
111,9.14,54838
112,4.91,26829
113,12.96,83228
114,9.32,57034
115,9.14,55213
116,3.26,19961
117,15.0,93848
118,4.8,24643
119,13.4,86208
120,3.4,18104
121,14.83,91825
122,5.13,26035
123,14.29,84164
124,4.93,26388
125,13.33,84597
126,6.96,37198
127,11.28,64925
128,8.06,63716
129,7.03,52745
130,31.01,276843
131,14.51,114420
132,15.74,121333
133,16.99,123459
134,15.41,114201
135,15.2,99949
136,14.94,106938
137,15.87,112180
138,15.74,103958
139,15.18,95753
140,15.52,106346
141,15.88,108127
142,16.44,102021
143,15.62,98770
144,15.27,108220
145,15.7,105572
146,16.67,107828
147,16.27,99037
148,16.08,103466
149,18.2,114612
150,16.34,101447
151,16.06,93686
152,15.75,112889
153,15.39,103224
154,16.75,107653
155,15.9,100428
156,16.27,102160
157,15.3,93420
158,17.45,109542
159,16.4,102433
160,16.68,112217
161,16.23,103584
162,16.79,115203
163,18.05,112147
164,15.5,105048
165,16.16,97724
166,16.52,100633
167,18.56,110590
168,16.62,114776
169,16.48,105036
170,15.33,95875
171,16.05,104727
172,16.96,101502
173,16.79,96097
174,15.86,98147
175,17.76,100992
176,8.3,57153
177,25.34,165078
178,15.3,92811
179,15.87,93515
180,8.51,48933
181,26.36,156213
182,16.65,103411
183,16.02,93892
184,15.26,94448
185,16.6,105251
186,16.3,99912
187,17.84,106892
188,16.08,95724
189,17.64,101205
190,16.4,102253
191,16.66,96379
192,33.41,250309
193,14.73,102772
194,62.17,510549
195,65.03,434418
196,25.63,181806
197,25.1,161675
198,15.62,100767
199,31.62,209285
200,32.9,216946
201,33.73,211985
202,37.08,234292
203,34.78,224440
204,33.0,212475
205,35.5,219168
206,34.51,220668
207,33.38,210543
208,33.99,234451
209,35.55,224420
210,34.09,211077
211,34.62,217113
212,35.4,251181
213,33.89,212182
214,34.9,215058
215,36.81,217281
216,36.43,222689
217,36.82,222065
218,37.0,223058
219,35.11,201240
220,31.09,213073
221,35.09,217525
222,36.33,223626
223,36.33,211490
224,32.33,240865
225,33.12,213367
226,33.0,211172
227,32.62,209170
228,32.36,210820
229,33.4,202662
230,31.93,194638
231,33.22,200189
232,15.77,98880
233,55.83,334444
234,34.11,206693
235,33.84,200922
236,31.67,199312
237,32.3,196579
238,34.43,197953
239,32.7,186064
240,15.86,99390
241,57.49,337612
242,32.82,203263
243,33.76,195465
244,17.6,107141
245,52.03,299155
246,16.74,100487
247,55.92,316298
248,30.91,213238
249,33.05,216870
250,33.53,208647
251,31.79,189422
252,34.05,195097
253,32.72,188235
254,35.13,201183
255,35.0,203142
