index,time,conflicts
0,16.14,105051
1,58.48,337396
2,32.16,190270
3,18.12,112448
4,9.76,61606
5,8.78,49542
6,35.17,216412
7,17.47,109361
8,8.75,58314
9,9.18,55224
10,4.01,21952
11,4.3,22189
12,11.57,70367
13,9.17,59266
14,8.86,49540
15,10.64,72197
16,23.02,135164
17,78.1,476464
18,16.1,100078
19,16.77,104364
20,16.98,102542
21,8.22,52417
22,8.74,54989
23,15.78,99912
24,8.28,51361
25,8.84,51779
26,8.49,53015
27,9.07,51301
28,8.9,54675
29,5.29,28749
30,5.23,26706
31,9.16,53710
32,8.76,54131
33,8.74,54613
34,5.42,31270
35,2.39,9792
36,3.98,20281
37,8.97,51977
38,8.75,53763
39,5.13,31785
40,5.48,29931
41,4.95,26058
42,2.2,8777
43,4.73,24764
44,34.77,223982
45,34.55,214293
46,18.31,110133
47,9.25,57929
48,9.77,61698
49,9.06,61033
50,9.18,53211
51,9.24,57915
52,5.19,29005
53,5.59,32349
54,18.14,110496
55,8.13,51070
56,9.79,61381
57,9.06,57006
58,8.8,52168
59,9.19,53329
60,5.13,26432
61,5.35,28085
62,8.61,53705
63,9.02,53384
64,8.89,53340
65,5.26,30307
66,3.43,15565
67,3.38,16303
68,8.85,53112
69,5.14,27871
70,5.53,28081
71,4.9,30707
72,5.2,30050
73,5.27,28050
74,2.06,7132
75,4.07,21320
76,10.82,63047
77,6.9,41867
78,24.62,147086
79,12.86,83390
80,14.37,86850
81,15.68,103186
82,18.53,118656
83,8.87,57274
84,9.33,56145
85,5.09,29344
86,4.99,26558
87,3.24,15622
88,3.79,21388
89,4.3,22047
90,17.59,111352
91,9.26,57034
92,4.96,28941
93,5.23,29463
94,3.27,19961
95,14.87,93848
96,4.8,24643
97,6.63,41284
98,7.13,41925
99,3.39,18104
100,14.85,91825
101,5.11,26035
102,6.8,42136
103,7.18,41759
104,4.93,26388
105,7.08,41520
106,3.96,19508
107,4.48,24053
108,3.13,15064
109,5.43,25845
110,6.73,39041
111,3.57,18386
112,3.66,18895
113,463.09,2732154
114,72.73,441799
115,34.04,206285
116,35.03,208391
117,78.35,460022
118,36.55,215093
119,17.58,109542
120,16.42,102433
121,79.95,444958
122,36.27,211480
123,32.81,193450
124,34.49,219009
125,15.29,95875
126,16.02,104727
127,16.8,101502
128,8.19,48983
129,8.88,52696
130,16.01,98147
131,8.54,52002
132,5.94,31014
133,5.31,29261
134,33.41,214923
135,33.49,200178
136,35.11,205541
137,16.44,103411
138,16.01,93892
139,15.28,94448
140,16.73,105251
141,7.98,50602
142,8.7,51725
143,8.51,50882
144,4.7,25850
145,4.96,26550
146,8.45,57431
147,5.06,26935
148,5.11,27882
149,8.59,52461
150,5.26,30324
151,5.43,29200
152,8.4,51377
153,4.61,26570
154,5.11,27918
155,8.81,53503
156,5.49,28597
157,2.15,7878
158,4.37,24137
159,271.19,1738807
160,134.53,781568
161,76.54,471398
162,37.02,234292
163,34.73,224440
164,80.59,480934
165,34.37,220668
166,15.61,102097
167,17.73,110115
168,82.98,494850
169,72.36,416350
170,79.48,481551
171,34.8,215058
172,17.92,113202
173,16.95,106750
174,75.61,449183
175,37.03,223058
176,15.99,98815
177,16.02,95527
178,31.03,213073
179,16.31,108778
180,18.1,109975
181,16.99,107466
182,17.88,108466
183,16.84,100179
184,17.34,108322
185,184.5,1079341
186,77.28,457343
187,31.86,194638
188,17.96,113433
189,8.48,50806
190,8.84,51810
191,81.86,476344
192,34.1,206693
193,34.03,200922
194,31.6,199312
195,18.02,112394
196,15.53,91681
197,16.7,102318
198,8.35,49398
199,5.0,28266
200,5.17,28995
201,9.17,56934
202,8.64,53700
203,4.86,24554
204,5.55,30774
205,5.23,28206
206,3.32,17551
207,3.78,17270
208,77.73,442743
209,32.96,203263
210,8.67,51844
211,24.05,144335
212,8.42,52372
213,8.76,51807
214,15.29,98357
215,34.89,208850
216,3.39,17172
217,14.12,88351
218,14.88,96099
219,32.06,191691
220,71.78,439704
221,15.4,96514
222,16.99,103729
223,17.17,104650
224,8.17,48336
225,8.64,52068
226,16.78,106032
227,16.39,100221
228,8.94,60301
229,8.95,51602
230,8.52,51698
231,4.99,28104
232,5.4,27898
233,8.16,50678
234,8.82,49515
235,9.16,55061
236,5.19,28936
237,3.47,16647
238,3.85,20231
239,8.93,56990
240,5.06,27987
241,5.2,27555
242,8.44,51318
243,4.9,27904
244,3.33,16618
245,4.05,21157
