index,time,conflicts
0,117.43,1402744
1,75.48,850957
2,32.97,414051
3,12.67,158116
4,6.45,74610
5,3.27,36814
6,1.9,17442
7,1.94,19742
8,30.74,383616
9,12.6,153351
10,13.27,146453
11,29.62,333866
12,13.92,162509
13,5.69,65821
14,2.93,31998
15,1.83,16623
16,1.96,19286
17,31.45,325578
18,6.51,91543
19,6.19,70554
20,5.96,65294
21,3.17,33703
22,1.99,19460
23,2.18,18667
24,15.22,187097
25,6.08,70824
26,3.19,32520
27,1.93,19620
28,2.17,20456
29,6.68,79172
30,2.87,28902
31,1.79,18273
32,1.98,19725
33,3.33,40732
34,2.09,21418
35,1.86,15677
36,2.01,20277
37,1.99,15951
38,2.17,19513
39,1.28,9685
40,1.31,9067
41,69.66,836361
42,33.19,384681
43,11.14,126517
44,5.19,59710
45,2.94,30639
46,2.95,30571
47,30.58,356290
48,12.95,148825
49,5.57,68959
50,2.81,29378
51,1.87,18628
52,1.4,11847
53,1.55,11715
54,13.14,150927
55,5.92,67474
56,3.18,34601
57,1.98,20772
58,2.12,20088
59,5.73,58435
60,3.05,31828
61,1.98,18475
62,2.07,21069
63,2.96,32307
64,1.87,18798
65,2.14,21065
66,1.96,20607
67,1.26,10719
68,1.39,10507
69,2.15,22685
70,1.39,10370
71,1.36,11768
72,14.19,169225
73,5.43,66659
74,3.25,34645
75,3.09,31818
76,13.16,157829
77,5.92,67973
78,3.02,31930
79,1.9,17247
80,2.04,18973
81,5.8,71135
82,3.29,35047
83,2.81,31555
84,6.1,75305
85,3.11,32841
86,1.88,16911
87,1.31,10192
88,1.38,11009
89,5.78,60279
90,3.13,31587
91,1.87,17197
92,2.02,18141
93,3.14,31780
94,2.02,22458
95,1.98,20065
96,1.92,18757
97,2.12,20305
98,2.01,18521
99,1.33,9851
100,1.29,9192
101,13.26,164170
102,5.9,69812
103,2.94,33069
104,1.84,17455
105,1.97,18651
106,6.15,69794
107,3.18,31192
108,1.99,18864
109,1.37,10900
110,1.5,11416
111,2.94,30720
112,1.85,19065
113,2.12,18540
114,1.98,22188
115,2.09,20289
116,2.05,19195
117,1.33,8236
118,1.28,7994
119,5.91,68063
120,3.02,32255
121,1.9,17917
122,2.32,19815
123,3.17,37813
124,2.04,18339
125,1.98,17369
126,3.07,30892
127,2.01,18565
128,1.45,10763
129,1.41,9629
130,6.36,76084
131,3.06,31132
132,2.15,19607
133,1.36,10637
134,1.41,8656
135,3.31,34445
136,2.05,17894
137,1.26,7572
138,0.82,5038
139,0.63,3928
140,2.03,18228
141,1.42,11015
142,1.38,9062
143,1.25,9612
144,1.46,10859
145,1.44,9174
146,0.64,4146
147,0.71,4653
148,95.54,1189184
149,60.75,767312
150,31.13,362727
151,44.2,460011
152,49.65,624240
153,31.32,390014
154,15.53,187531
155,13.9,160076
156,33.51,382012
157,39.79,412163
158,13.2,171143
159,13.0,152305
160,6.18,77762
161,5.39,58508
162,3.19,40895
163,3.15,37363
164,3.42,42260
165,1.86,18996
166,1.3,10555
167,1.27,11249
168,74.15,843320
169,32.06,378153
170,14.48,183643
171,13.66,157168
172,32.08,394296
173,14.3,176031
174,6.27,81307
175,5.98,70858
176,11.77,160514
177,5.83,71756
178,6.05,66814
179,6.12,77751
180,2.85,32441
181,2.99,32444
182,2.95,35132
183,2.97,34130
184,2.89,33972
185,1.84,19752
186,1.97,17757
187,32.19,408926
188,32.64,366950
189,13.89,163502
190,6.08,81697
191,2.94,36634
192,2.87,33077
193,5.12,68915
194,6.26,76042
195,5.69,62632
196,2.98,32630
197,1.85,19569
198,2.16,23089
199,30.1,321932
200,5.69,71310
201,5.86,64235
202,2.99,36219
203,3.39,38708
204,3.06,32792
205,1.8,17052
206,1.22,9806
207,1.33,11416
208,15.34,171470
209,3.13,36027
210,3.44,36029
211,3.17,35570
212,1.98,21612
213,1.37,10108
214,1.28,10717
215,5.63,64385
216,3.05,35751
217,1.83,17757
218,2.03,21221
219,3.06,36153
220,1.86,18408
221,1.29,10646
222,1.34,10967
223,2.24,24636
224,2.09,20634
225,2.07,20698
226,1.23,10316
227,1.43,11077
228,27.83,309808
229,12.89,145940
230,5.89,66499
231,3.5,40196
232,3.27,33829
233,12.46,149853
234,6.16,68663
235,2.76,30366
236,2.01,19229
237,1.94,17683
238,6.46,73948
239,3.0,30090
240,3.24,32895
241,3.13,36799
242,3.57,36100
243,3.3,34522
244,1.9,18176
245,1.99,19075
246,11.99,137649
247,5.72,65118
248,3.29,39029
249,1.92,20413
250,1.94,19840
251,14.01,176357
252,15.49,187392
253,15.13,188693
254,7.22,98674
255,3.7,51616
256,3.26,43622
257,6.46,76467
258,6.43,84606
259,6.35,75143
260,17.72,208891
261,13.82,194072
262,16.45,193917
263,8.91,105987
264,22.58,259002
265,10.7,133990
266,24.34,288104
267,7.95,104860
268,18.44,223549
269,3.17,39924
270,13.15,168052
271,2.88,36948
272,10.85,158164
273,13.46,198909
274,135.44,1560648
275,32.81,404439
276,33.77,370920
277,38.33,416669
278,16.15,200425
279,8.07,99992
280,7.35,88187
281,98.44,1075685
282,9.52,132492
283,30.34,404110
284,36.4,404485
285,374.09,4017376
286,290.57,3151049
287,222.81,2562589
288,131.73,1640256
289,76.77,877368
290,32.36,411783
291,17.54,207963
292,16.78,192601
