index,time,conflicts
0,0.01,121
1,0.01,237
2,0.1,2170
3,0.02,403
4,0.19,4522
5,0.11,2653
6,0.25,5305
7,0.04,640
8,0.18,4102
9,0.21,4624
10,0.57,12067
11,0.21,5157
12,0.6,13572
13,0.36,7103
14,0.65,13014
15,0.03,738
16,0.29,6985
17,0.32,7080
18,0.73,16284
19,0.25,6122
20,0.85,19913
21,0.8,18295
22,1.09,22447
23,0.33,7131
24,0.89,18967
25,0.95,20913
26,1.37,30216
27,1.09,24250
28,1.23,23253
29,0.09,1040
30,3.15,59816
31,0.06,1113
32,0.86,22054
33,0.34,6967
34,0.96,20247
35,0.74,19620
36,0.91,20435
37,1.89,42137
38,1.93,37008
39,0.35,7954
40,1.71,36441
41,1.84,40798
42,2.32,40118
43,1.47,34320
44,2.54,46508
45,0.09,781
46,5.22,82770
47,0.26,6210
48,1.13,27020
49,1.5,32368
50,2.58,50649
51,2.24,46584
52,3.86,63659
53,3.91,63193
54,4.03,60756
55,1.09,23296
56,2.38,43231
57,0.09,647
58,9.3,143921
59,0.09,729
60,0.09,826
61,9.37,152432
62,8.11,112819
63,0.05,1042
64,1.33,35230
65,0.72,18592
66,2.27,47877
67,0.72,19912
68,2.17,42427
69,2.43,48125
70,3.88,66793
71,0.37,8512
72,2.15,50133
73,2.8,55483
74,3.92,64213
75,1.96,40048
76,3.42,54348
77,3.65,57828
78,4.04,59899
79,0.28,6624
80,1.63,41466
81,2.59,57692
82,2.73,50589
83,2.57,53962
84,4.0,68050
85,4.21,67784
86,4.37,61676
87,2.73,56429
88,4.42,70916
89,4.69,68651
90,5.18,69642
91,4.53,68763
92,4.28,60512
93,5.44,71682
94,5.25,67806
95,0.36,7715
96,1.13,23076
97,2.73,55713
98,3.31,58982
99,1.89,41606
100,3.14,52434
101,0.17,1383
102,6.28,97881
103,2.46,51803
104,3.52,63773
105,4.41,63214
106,3.88,54933
107,0.2,1505
108,0.2,1559
109,9.62,138627
110,8.62,112911
111,2.21,49750
112,3.92,65886
113,4.85,73007
114,4.29,58858
115,4.54,76361
116,4.77,63233
117,0.46,3759
118,10.84,132006
119,0.18,1521
120,0.22,1579
121,0.22,1744
122,0.2,1469
123,10.58,163344
124,13.03,161950
125,9.73,119383
126,10.52,132088
127,0.07,1333
128,1.27,32412
129,0.82,19178
130,1.82,38349
131,1.13,31033
132,2.36,43857
133,2.32,45190
134,3.59,61864
135,1.71,43023
136,3.94,73391
137,2.77,54506
138,4.67,70699
139,2.74,51833
140,4.31,66452
141,4.75,70691
142,4.24,63615
143,0.57,16146
144,2.33,48029
145,3.28,62870
146,4.14,69359
147,3.93,69877
148,4.31,63906
149,4.61,66433
150,4.93,65341
151,2.64,53984
152,3.6,57118
153,4.55,65174
154,4.57,67090
155,4.45,67358
156,4.8,64942
157,5.23,74195
158,5.01,62167
159,0.64,17867
160,1.81,44433
161,4.02,78721
162,4.15,66572
163,3.69,69076
164,4.74,79103
165,4.15,68193
166,4.12,57222
167,3.91,75837
168,4.4,62894
169,4.55,63423
170,5.1,66175
171,4.5,69097
172,4.74,59703
173,4.94,64016
174,5.43,66163
175,2.17,46807
176,4.01,65949
177,4.98,72839
178,5.11,65280
179,4.84,71364
180,4.65,58993
181,4.92,63347
182,4.84,59828
183,4.64,71264
184,4.92,65262
185,4.61,59172
186,5.13,56998
187,4.16,56149
