index,time,conflicts
0,0.98,2631
1,1.01,2760
2,1.12,3284
3,0.99,2854
4,1.01,2688
5,0.99,2464
6,1.25,3528
7,1.38,3749
8,1.07,2919
9,1.02,2738
10,1.81,4770
11,3.17,7986
12,5.17,14363
13,5.69,16761
14,5.97,21011
15,5.97,20110
16,0.98,2309
17,1.1,2760
18,1.74,4259
19,3.38,8216
20,2.97,8194
21,3.52,9743
22,3.34,8650
23,3.4,8593
24,4.33,11382
25,6.38,21099
26,4.68,13694
27,6.92,25137
28,1.64,4228
29,6.22,22596
30,1.67,4192
31,6.05,18611
32,1.04,2823
33,0.99,2617
34,1.0,2452
35,1.09,2508
36,3.48,8906
37,3.51,8317
38,5.27,15486
39,4.68,13399
40,1.76,4459
41,1.76,4113
42,3.32,8876
43,3.44,9125
44,5.0,16435
45,5.03,15794
46,3.74,9240
47,5.26,16049
48,3.15,7946
49,3.55,8318
50,3.59,8773
51,3.45,8743
52,3.58,9192
53,3.39,8264
54,3.53,8597
55,3.88,9373
56,3.39,8064
57,3.8,9726
58,3.69,9008
59,3.78,9206
60,4.06,11468
61,3.35,8031
62,3.53,8708
63,4.46,10029
64,3.23,8657
65,3.78,10289
66,4.86,15024
67,7.5,31162
68,4.35,16079
69,5.41,18932
70,5.06,16534
71,5.28,16476
72,3.28,8895
73,3.38,8605
74,4.96,15346
75,7.91,29820
76,3.27,8246
77,6.77,23507
78,3.15,8396
79,6.79,26525
80,3.55,9822
81,6.39,24065
82,5.18,16305
83,5.79,17309
84,3.33,8907
85,5.48,16808
86,4.49,13326
87,7.53,25390
88,3.92,10094
89,7.16,25871
90,5.34,16307
91,5.25,15519
92,5.19,15989
93,5.24,17359
94,5.26,16434
95,5.37,16407
96,5.18,18445
97,10.41,45899
98,4.67,17567
99,5.46,18999
100,13.48,69368
101,13.66,62214
102,7.95,31397
103,13.17,60249
104,3.05,9162
105,3.35,9427
106,4.25,14631
107,3.17,8342
108,8.51,29382
109,15.27,64214
110,4.22,11189
111,11.16,45474
112,3.17,8966
113,3.18,9119
114,3.08,8438
115,3.28,7978
116,9.13,37695
117,10.22,44788
118,5.25,16078
119,13.48,53710
120,4.98,16752
121,10.09,43394
122,5.57,19772
123,5.24,18649
124,10.04,43939
125,19.31,84803
126,4.64,14814
127,14.95,62619
128,1.7,4689
129,1.76,4357
130,1.57,4335
131,1.86,4643
132,3.54,9371
133,3.31,8787
134,4.85,16389
135,5.06,17242
136,1.68,4748
137,1.75,5241
138,1.85,5186
139,1.73,4194
140,4.26,12974
141,4.4,13055
142,4.23,11937
143,4.61,13480
144,1.73,4732
145,1.74,4035
146,5.76,19184
147,3.44,8640
148,1.79,3939
149,1.82,4416
150,3.69,8876
151,5.58,20095
152,3.4,8731
153,3.36,8858
154,1.75,4854
155,4.95,14296
156,1.86,4735
157,4.43,13793
158,1.86,4489
159,4.98,13706
160,1.74,4762
161,1.59,4201
162,1.61,4595
163,1.86,4597
164,1.81,4830
165,1.89,4898
166,1.76,4073
167,1.74,4347
168,2.02,5451
169,1.7,4155
170,1.88,5255
171,1.88,4341
172,0.48,1323
173,2.32,5974
174,1.47,3666
175,3.01,7970
176,4.24,14577
177,4.28,13647
178,4.38,12048
179,4.33,12242
180,4.57,14077
181,4.43,12073
182,4.7,13505
183,4.69,12104
184,1.57,3758
185,6.23,21524
186,3.81,9204
187,6.89,22773
188,4.65,14597
189,4.41,12558
190,4.63,13298
191,5.0,13365
192,3.32,8789
193,6.5,25074
194,6.2,22443
195,6.49,22564
196,5.62,19979
197,5.45,18050
198,5.85,21514
199,5.56,19183
200,3.53,8702
201,7.55,26564
202,3.45,8938
203,7.06,25355
204,5.39,16989
205,5.71,20265
206,5.82,17482
207,5.71,16740
208,2.75,7124
209,4.0,10159
210,1.96,6082
211,4.44,13496
212,3.29,9251
213,3.21,8640
214,3.59,9563
215,3.32,7966
216,6.34,24029
217,6.73,23552
218,6.46,21582
219,7.6,26821
220,6.2,25673
221,6.75,24497
222,7.78,30083
223,7.07,23092
224,4.63,18517
225,5.34,20472
226,5.24,17978
227,4.91,16419
228,12.14,57231
229,11.78,52386
230,6.76,29903
231,7.39,29706
232,5.0,16251
233,5.22,15575
234,5.24,18655
235,5.63,19767
236,12.7,56505
237,13.46,56344
238,8.16,32705
239,8.21,29666
240,5.07,15909
241,5.08,16622
242,7.47,30275
243,13.38,59629
244,4.75,17235
245,5.8,22673
246,10.91,44135
247,10.96,43501
248,7.97,31169
249,8.02,32418
250,7.68,28843
251,8.5,33503
252,5.56,20033
253,6.19,20349
254,10.77,38952
255,10.87,44471
256,1.72,4219
257,2.01,5735
258,3.46,8787
259,3.45,7880
260,5.48,14933
261,5.07,14116
262,4.88,16107
263,5.32,14572
264,1.41,3412
265,2.1,5246
266,2.39,5858
267,4.07,11020
268,0.71,1780
269,3.47,9153
270,2.2,5908
271,4.75,13623
272,1.78,4705
273,1.78,4293
274,6.09,20538
275,6.07,23605
276,3.48,8872
277,5.2,16107
278,7.49,26531
279,7.99,29668
280,5.18,18567
281,7.55,31010
