index,time,conflicts
0,6.26,23416
1,17.3,70635
2,11.02,41630
3,22.84,92133
4,11.57,48258
5,7.06,25042
6,12.77,49345
7,8.03,30907
8,8.06,28067
9,9.18,36610
10,5.48,16250
11,5.41,15331
12,26.9,113800
13,13.21,52193
14,13.83,54209
15,16.12,74506
16,13.72,54826
17,14.35,58031
18,8.25,28165
19,9.48,35865
20,73.02,321027
21,40.85,174341
22,8.18,31957
23,35.0,148817
24,20.22,91818
25,50.67,223208
26,14.04,57188
27,14.32,58903
28,15.76,67088
29,8.45,31641
30,8.23,27378
31,14.76,55711
32,11.18,46069
33,10.89,41757
34,6.3,19797
35,8.51,31770
36,7.61,27269
37,4.66,13298
38,5.06,13365
39,27.96,122006
40,15.72,65143
41,17.97,76913
42,13.68,55955
43,21.8,95397
44,11.12,45493
45,11.66,44833
46,53.09,237845
47,13.51,54520
48,38.1,164810
49,24.98,107309
50,26.41,109518
51,14.0,57568
52,14.47,58382
53,8.01,29907
54,10.81,38952
55,10.94,44471
56,17.39,68107
57,11.08,43329
58,30.06,119457
59,56.36,231165
60,32.53,134217
61,11.6,50611
62,10.87,44171
63,17.98,84176
64,11.16,45184
65,3.63,8471
66,10.9,38863
67,7.48,24325
68,12.29,50953
69,28.42,118073
70,8.05,28652
71,11.17,44687
72,11.46,43774
73,16.66,64811
74,6.61,23710
75,12.52,43877
76,11.55,46529
77,10.97,42485
78,17.39,74752
79,18.19,72834
80,5.05,16543
81,17.41,69227
82,11.81,43275
83,7.55,28596
84,12.8,52936
85,7.4,22477
86,12.87,54563
87,3.95,9218
88,5.63,16012
89,4.88,13628
90,5.24,14797
91,28.52,119111
92,15.48,63736
93,14.64,58861
94,13.57,54370
95,21.62,87642
96,22.17,90797
97,14.56,59137
98,15.06,62611
99,20.95,92436
100,8.74,30432
101,15.02,59695
102,10.93,44506
103,15.42,62071
104,16.13,67867
105,14.89,66703
106,14.15,57319
107,15.66,61422
108,8.44,32715
109,8.71,35241
110,13.79,54673
111,11.25,43148
112,6.91,23341
113,7.28,24079
114,11.16,45217
115,7.0,23237
116,6.97,21950
117,15.47,63006
118,8.58,33547
119,8.67,32031
120,9.17,36353
121,8.85,31129
122,8.17,30376
123,6.48,16598
124,5.86,20455
125,9.38,34843
126,8.88,31765
127,11.51,45952
128,7.42,25950
129,7.29,25354
130,6.01,19214
131,8.41,28577
132,6.77,22425
133,4.93,11804
134,2.47,5991
135,2.77,6604
136,22.68,96022
137,11.45,46222
138,24.56,104004
139,11.09,42518
140,23.07,97382
141,12.58,51361
142,3.71,8650
143,10.53,38783
144,54.71,244434
145,29.61,127569
146,14.5,63877
147,13.68,58217
148,116.79,503234
149,54.83,245199
150,28.94,124655
151,30.36,123789
152,27.02,113331
153,13.59,57362
154,8.59,30419
155,8.41,31313
156,13.24,53399
157,5.36,17483
158,11.11,46174
159,8.8,32398
160,9.08,38373
161,8.91,33392
162,9.01,33272
163,28.29,122380
164,29.23,119411
165,27.24,125268
166,13.66,56168
167,15.43,65302
168,54.72,244255
169,56.12,230275
170,26.22,112808
171,29.43,137477
172,29.33,129240
173,8.2,29792
174,11.07,42564
175,10.82,40549
176,28.85,130479
177,15.29,64593
178,15.12,60135
179,13.43,55909
180,13.88,50506
181,8.13,30598
182,8.04,28404
183,5.54,19300
184,6.9,25914
185,7.04,25503
186,29.18,126250
187,29.1,122137
188,14.06,58166
189,22.71,93359
190,20.46,82962
191,51.86,239140
192,56.95,254022
193,53.96,229563
194,27.51,111094
195,8.56,36058
196,21.44,92941
197,26.31,115972
198,29.43,123889
199,27.04,115558
200,14.75,58323
201,15.31,61469
202,28.45,118716
203,20.36,91113
204,21.22,87117
205,20.97,91434
206,11.84,50523
207,11.49,45856
208,27.97,112242
209,14.75,61943
210,14.71,54592
211,13.98,53525
212,11.75,45379
213,11.63,42264
214,11.2,45042
215,11.83,46079
216,14.28,56895
217,16.29,67034
218,8.64,31935
219,8.65,33639
220,9.28,33428
221,9.75,32563
222,8.57,30950
223,8.72,30746
224,11.36,44838
225,11.62,46595
226,7.16,24525
227,7.56,28057
228,7.07,23998
229,7.61,27177
230,120.91,486257
231,286.42,1163568
232,117.04,492441
233,55.06,226807
234,212.71,815321
235,26.86,125293
236,28.02,118470
237,125.09,513961
238,56.29,240496
239,53.99,224448
240,15.14,65499
241,23.91,105044
242,13.79,57762
243,55.51,238178
244,53.13,238625
245,119.21,519559
246,125.56,537516
247,48.85,208988
248,56.45,248395
249,43.73,196656
250,51.66,224447
251,43.4,190479
252,14.1,60451
253,12.31,53535
254,13.32,58191
255,16.07,72768
256,15.64,68427
257,41.47,185164
258,25.85,112263
259,23.36,106807
260,11.71,45583
261,35.2,157469
262,51.99,223877
263,57.85,233503
264,271.15,1058466
265,104.96,433130
266,28.73,127214
267,86.66,340240
268,29.43,127523
269,58.71,261775
270,30.56,136056
271,28.28,117982
272,53.52,231374
273,28.54,126014
274,13.43,56238
275,13.54,53431
276,59.86,250705
277,28.59,121093
278,27.27,119977
279,15.22,62188
280,8.22,28659
281,8.42,31987
282,127.16,510277
283,27.07,120240
284,26.9,111635
285,27.38,114450
286,14.17,56797
287,8.2,30945
288,8.51,31449
289,52.11,230531
290,55.36,230560
291,26.28,120376
292,28.52,125575
293,50.81,218704
294,27.08,125442
295,25.99,107502
296,45.08,192171
297,21.81,94995
298,10.68,41171
299,12.66,49261
300,20.36,89107
301,21.39,88122
302,20.34,80248
303,11.68,48572
304,7.19,24261
305,7.12,23615
306,20.74,97397
307,11.41,44833
308,12.04,46238
309,7.53,29198
310,15.89,64439
311,11.33,46225
312,7.0,23129
313,4.99,12734
314,5.13,14233
315,20.26,86679
316,11.1,42634
317,11.34,44369
318,6.74,25347
319,15.83,68054
320,11.51,44402
321,6.97,22114
322,5.02,13656
323,5.33,13920
324,589.97,2534426
325,264.92,1124396
326,265.96,1076807
327,602.36,2377755
328,115.89,513817
329,204.38,860809
330,85.15,372305
331,87.13,365889
332,293.16,1174247
333,123.81,501801
334,58.7,249352
335,59.05,237901
336,85.9,361788
337,39.59,189808
338,103.25,437019
339,13.13,58514
340,70.95,311154
341,74.83,317628
342,35.01,146012
343,11.21,44903
344,22.67,92464
345,156.61,705743
346,88.81,376940
347,57.73,246120
348,62.69,256193
349,26.96,122789
350,28.44,117864
351,28.9,127681
352,15.62,65858
353,14.07,59216
354,88.36,407683
355,40.8,178639
356,44.34,175666
357,18.13,75400
358,36.72,168647
359,13.31,55807
360,12.95,53079
361,57.06,247934
362,42.97,188771
363,21.49,89798
364,25.08,106609
365,26.23,116860
366,10.45,40277
367,15.01,61373
368,195.27,817393
369,24.06,111138
370,324.96,1212410
371,119.28,520105
372,54.96,235578
373,57.11,238557
374,115.79,489272
375,55.84,234641
376,29.24,135020
377,25.74,108711
378,68.75,278158
379,187.75,810851
380,20.84,96396
381,10.8,44863
382,17.58,73516
383,15.55,65211
384,17.64,68188
385,12.77,54880
386,143.2,588054
387,25.51,113073
388,55.53,226672
389,116.57,486497
390,86.49,346900
391,26.89,119789
392,26.49,104646
393,29.57,135231
394,31.68,136786
395,25.38,101993
396,8.07,30627
397,20.34,89150
398,119.77,480459
399,51.01,219960
400,57.14,229817
401,13.73,58625
402,74.21,314686
403,78.69,315373
404,20.93,90412
405,48.83,193751
406,106.45,435011
407,38.24,155334
408,46.84,205491
409,8.48,34146
410,17.88,70198
411,18.65,73965
412,55.22,233203
413,20.7,91941
414,34.52,150206
415,20.95,90978
416,8.61,34877
417,27.17,111120
