index,time,conflicts
0,0.04,327
1,0.14,1120
2,0.05,518
3,0.05,480
4,0.09,648
5,0.06,586
6,0.16,1238
7,0.08,753
8,0.18,1852
9,0.12,911
10,0.26,2289
11,0.12,821
12,0.19,1451
13,0.1,820
14,0.19,1523
15,0.1,789
16,0.2,1524
17,0.11,964
18,0.18,1506
19,0.09,759
20,0.19,1541
21,0.1,741
22,0.18,1475
23,0.09,797
24,0.27,2183
25,0.31,2522
26,0.31,2081
27,0.3,2408
28,0.3,2021
29,0.3,2325
30,0.24,1951
31,0.31,2450
32,0.06,555
33,0.17,1308
34,0.05,564
35,0.06,514
36,0.1,669
37,0.07,608
38,0.14,1179
39,0.06,570
40,0.27,2205
41,0.11,785
42,0.27,2043
43,0.09,722
44,0.21,1467
45,0.09,697
46,0.21,1570
47,0.1,834
48,0.19,1678
49,0.08,645
50,0.17,1438
51,0.07,687
52,0.21,1743
53,0.09,750
54,0.17,1646
55,0.09,839
56,0.3,2589
57,0.29,2238
58,0.34,2987
59,0.3,2533
60,0.23,1992
61,0.27,2140
62,0.23,1921
63,0.23,1698
64,0.27,2387
65,0.26,2578
66,0.27,2267
67,0.28,2494
68,0.3,2912
69,0.31,3145
70,0.26,3008
71,0.27,2633
72,0.29,2473
73,0.27,2767
74,0.24,2451
75,0.32,2945
76,0.27,2198
77,0.18,1610
78,0.27,2275
79,0.27,2245
80,0.29,2079
81,0.28,2459
82,0.27,2698
83,0.34,3451
84,0.27,2646
85,0.26,2576
86,0.29,2946
87,0.25,2221
88,0.27,2502
89,0.32,3382
90,0.26,2235
91,0.2,1829
92,0.18,1680
93,0.29,2506
94,0.19,1689
95,0.27,2373
96,0.04,265
97,0.2,1517
98,0.35,3186
99,0.34,2907
100,0.19,1795
101,0.2,1692
102,0.45,3888
103,0.75,7584
104,0.2,1639
105,0.23,2022
106,0.45,3947
107,0.38,3237
108,0.05,491
109,0.2,1853
110,0.35,2978
111,0.87,8855
112,0.05,385
113,0.19,1656
114,0.34,2702
115,0.33,2896
116,0.41,3397
117,0.35,3330
118,0.03,259
119,0.14,1129
120,0.21,1801
121,0.28,2109
122,0.04,349
123,0.24,2024
124,0.34,3033
125,0.83,7784
126,0.43,3950
127,0.75,7907
128,0.04,349
129,0.03,168
130,0.28,2384
131,0.03,196
132,0.03,232
133,0.03,202
134,0.04,321
135,0.05,399
136,0.03,157
137,0.3,2456
138,0.03,259
139,0.03,218
140,0.03,192
141,0.03,240
142,0.1,998
143,0.21,1889
144,0.28,2283
145,0.62,5635
146,0.14,960
147,0.1,953
148,0.15,1051
149,0.07,610
150,0.13,972
151,0.21,1984
152,0.26,2052
153,0.64,5452
154,0.14,905
155,0.12,923
156,0.13,911
157,0.08,753
158,0.19,1931
159,0.46,3916
160,0.23,2022
161,0.38,3692
162,0.41,3450
163,1.15,11245
164,0.37,3378
165,1.18,12725
166,0.19,1604
167,0.4,3439
168,0.27,2371
169,0.55,4864
170,0.41,3635
171,1.22,12374
172,0.52,4146
173,1.22,13443
174,0.36,2966
175,0.16,1177
176,0.78,7076
