index,time,conflicts
0,0.04,469
1,0.03,265
2,0.16,1602
3,0.14,1137
4,0.06,500
5,0.02,215
6,0.1,896
7,0.06,464
8,0.04,277
9,0.03,306
10,0.02,143
11,0.03,284
12,0.06,442
13,0.15,1444
14,0.26,2137
15,0.05,543
16,0.04,385
17,0.15,1307
18,0.23,1955
19,0.25,2022
20,0.58,5560
21,0.14,867
22,0.15,1179
23,0.15,1136
24,0.07,526
25,0.05,412
26,0.14,1045
27,0.24,2009
28,0.24,2166
29,0.63,6045
30,0.15,887
31,0.11,991
32,0.15,1090
33,0.07,551
34,0.07,585
35,0.17,1530
36,0.46,3899
37,0.53,4390
38,0.2,1977
39,0.48,4848
40,0.13,999
41,0.12,903
42,0.43,3674
43,0.54,4635
44,0.56,5707
45,0.44,3974
46,0.39,3539
47,0.39,3603
48,0.48,4441
49,0.61,6039
50,0.21,1863
51,0.48,3669
52,0.14,1226
53,0.43,3462
54,0.13,1180
55,0.24,2022
56,0.44,3664
57,0.15,1376
58,0.49,4067
59,0.15,1204
60,0.46,3835
61,0.53,5049
62,0.59,5566
63,0.47,4104
64,0.32,2586
65,0.4,3298
66,0.49,4621
67,0.63,6122
68,0.45,4410
69,0.04,321
70,0.29,2604
71,0.05,479
72,0.14,1027
73,0.09,790
74,0.29,2287
75,0.74,6716
76,0.25,2065
77,0.17,1509
78,0.65,5587
79,0.31,2098
80,0.08,756
81,0.05,358
82,0.03,308
83,0.36,2673
84,0.04,345
85,0.15,1128
86,0.09,893
87,0.33,2496
88,0.24,1600
89,0.73,6412
90,0.33,2548
91,0.45,3697
92,0.54,4587
93,0.3,2277
94,0.11,771
95,0.07,553
96,0.1,742
97,0.1,767
98,0.31,2292
99,0.5,4786
100,0.03,232
101,0.11,937
102,0.08,754
103,0.06,554
104,0.09,818
105,0.2,1657
106,0.12,873
107,0.22,1770
108,0.85,7948
109,0.45,4165
110,0.26,2161
111,0.22,1957
112,0.26,2134
113,0.24,2012
114,1.12,15062
115,1.21,14470
116,0.46,4376
117,0.44,4049
118,0.46,4382
119,0.45,4309
120,0.22,1920
121,0.32,2590
122,0.39,3430
123,0.07,625
124,0.09,778
125,0.34,2410
126,0.54,4696
127,0.08,676
128,0.09,775
129,0.06,479
130,0.05,443
131,0.09,840
132,0.2,1827
133,0.14,926
134,0.2,1645
135,0.79,8130
136,0.5,4409
137,0.19,1673
138,0.18,1663
139,0.29,2379
140,0.27,2146
141,1.12,13286
142,1.16,14513
143,0.49,4564
144,0.46,4101
145,0.36,3353
146,0.44,4119
147,0.17,1373
148,0.23,1815
149,0.2,1861
150,0.47,5429
151,0.64,7348
152,0.3,2849
153,0.39,4222
154,0.66,7770
155,0.56,6452
156,0.4,3903
157,0.28,2532
158,0.33,3350
159,0.33,2983
160,0.65,7764
161,0.65,7665
162,0.45,4900
163,0.33,3595
164,0.28,2696
165,0.23,2157
166,0.34,3296
167,0.4,4210
168,0.44,4820
169,0.47,5109
170,0.46,5525
171,0.53,6202
172,0.38,4150
173,0.46,5546
174,0.33,2681
175,0.62,6151
176,0.36,3367
177,0.77,7700
178,0.39,2954
179,0.65,6467
180,0.49,4039
181,0.4,3571
182,0.64,6624
183,0.41,4312
184,0.16,1698
185,0.54,6139
186,0.3,3049
187,0.32,3287
188,0.58,5942
189,0.42,4011
190,0.57,5483
191,0.32,2611
192,0.51,5263
193,0.38,3525
194,0.52,4709
195,0.32,2779
196,1.31,19069
197,1.44,21851
198,1.28,20133
199,1.29,20197
200,0.17,1731
201,0.44,4985
202,0.56,6145
203,0.57,5465
204,0.52,5676
205,0.52,5188
206,0.28,2837
207,0.12,1059
208,0.29,2937
209,0.28,2854
210,0.18,1792
211,0.27,2212
212,0.41,3442
213,0.57,5766
214,0.33,2781
215,0.63,6489
216,0.41,3311
217,0.51,5292
218,0.39,3362
219,0.53,5196
220,0.34,3614
221,0.48,4855
222,0.44,5366
223,0.53,6424
224,0.27,2334
225,0.45,4854
226,0.25,2110
227,0.44,5520
228,0.31,2535
229,0.32,2821
230,0.2,1950
231,0.27,2431
232,0.53,5948
233,0.6,6327
234,0.45,4081
235,0.53,5353
236,0.37,3549
237,0.77,7942
238,1.1,14585
239,1.03,11991
240,0.35,2913
241,0.64,6650
242,0.57,5715
243,1.12,14173
244,0.34,3119
245,0.59,5380
246,0.34,2758
247,0.36,3164
248,0.19,1881
249,0.25,2190
250,0.66,6980
251,0.58,6736
252,0.33,2828
253,0.62,5885
254,0.33,2925
255,0.59,5923
256,0.57,5576
257,0.81,8202
258,0.76,7970
259,0.49,4405
260,0.64,6291
261,0.44,3775
262,0.66,6548
263,0.51,4916
264,1.15,15079
265,0.99,11973
266,0.08,667
267,0.06,502
268,0.07,654
269,0.28,2555
270,0.05,506
271,0.08,643
272,0.07,724
273,0.26,2562
274,0.3,2459
275,0.48,4212
276,0.2,1612
277,0.19,1623
278,0.34,2975
279,0.5,4811
280,0.18,1857
281,0.2,1735
282,0.27,2296
283,0.17,1774
284,0.29,2705
285,0.12,844
286,0.11,964
287,0.2,1566
288,0.18,1627
289,0.18,1767
290,0.16,1533
291,0.32,2943
292,0.07,612
293,0.35,3106
294,0.16,1208
295,0.26,2123
296,0.22,2022
297,0.55,5225
298,0.18,1453
299,0.19,1635
300,0.38,3146
301,0.67,6394
302,0.35,2705
303,0.19,1320
304,0.31,2434
305,0.25,2064
306,0.54,5774
307,0.31,2369
308,0.19,1755
309,0.21,1873
310,0.24,2237
311,0.57,5733
312,0.3,2450
313,0.59,6017
314,0.37,2740
315,0.34,2862
316,0.61,5812
317,0.38,3204
318,0.17,1268
319,0.27,2024
320,0.26,2048
321,0.56,5938
322,0.35,2837
323,0.23,2039
324,0.21,1865
325,0.14,1251
326,0.28,2611
327,0.56,4548
328,0.68,7471
329,0.37,3199
330,0.27,2568
331,0.41,4264
332,0.27,2277
333,0.48,4654
334,1.03,11063
335,0.99,11302
336,0.18,1714
337,0.21,1781
338,0.31,2521
339,0.32,2910
340,0.41,3904
341,0.65,7062
342,0.28,2605
343,0.28,2233
344,0.42,4328
345,0.21,1743
346,0.56,5073
347,1.01,9857
348,1.14,13873
349,0.05,501
350,0.05,454
351,0.06,408
352,0.05,471
353,0.06,461
354,0.08,680
355,0.06,562
356,0.07,619
357,0.36,2983
358,0.17,1619
359,0.25,2611
360,0.06,592
361,0.14,1377
362,0.14,1376
363,0.2,1946
364,0.81,8499
365,0.86,9014
366,0.16,1669
367,0.25,2697
368,0.06,611
369,0.26,2390
370,0.19,1815
371,0.14,1323
372,0.2,1990
373,0.14,1474
374,0.14,1269
375,0.14,1112
376,0.15,1539
