index,time,conflicts
0,2.29,40313
1,1.21,10765
2,1.66,24945
3,3.06,47659
4,4.06,90774
5,2.45,51480
6,3.12,64455
7,5.34,116339
8,3.74,75225
9,7.38,143657
10,0.71,7580
11,0.5,4500
12,0.05,311
13,0.25,2083
14,0.47,4523
15,0.05,471
16,0.05,375
17,0.61,6241
18,0.71,6632
19,0.47,4138
20,0.74,7056
21,0.07,550
22,0.04,235
23,0.54,5602
24,0.61,5780
25,0.51,4495
26,0.84,7930
27,0.03,230
28,0.03,247
29,0.03,209
30,1.51,23285
31,1.36,19740
32,0.61,6793
33,0.48,4716
34,0.68,7000
35,0.45,3773
36,0.68,7747
37,1.22,20174
38,0.76,8786
39,0.72,7603
40,0.75,8587
41,0.74,7682
42,0.77,7978
43,0.92,8964
44,1.29,20824
45,0.49,5943
46,0.76,8627
47,0.51,5577
48,1.16,20254
49,0.51,5799
50,1.32,23856
51,8.93,174541
52,1.46,23396
53,1.0,12525
54,0.47,4819
55,1.04,13691
56,1.17,17034
57,0.7,7499
58,0.51,6164
59,0.43,4481
60,1.15,17201
61,5.81,108259
62,0.41,4654
63,1.11,16636
64,1.67,30252
65,2.24,44120
66,0.91,8892
67,2.41,43115
68,0.81,8314
69,2.17,37534
70,1.72,27219
71,1.27,18506
72,2.0,33922
73,0.5,4436
74,1.33,18984
75,1.66,26655
76,1.12,15353
77,1.17,13972
78,0.61,6310
79,1.17,13212
80,0.86,9094
81,1.56,23220
82,1.28,16569
83,1.65,25369
84,0.99,12301
85,1.62,23974
86,1.41,18222
87,1.76,24698
88,2.17,41820
89,2.12,42921
90,0.03,296
91,1.97,40563
92,2.68,63272
93,2.38,50606
94,3.15,67873
95,0.03,240
96,1.63,27038
97,1.35,23097
98,1.2,17956
99,1.15,18282
100,1.45,21968
101,0.84,9367
102,1.35,19280
103,1.4,21319
104,1.35,20505
105,0.8,8987
106,1.33,19784
107,1.44,23086
108,1.16,15508
109,0.58,6326
110,1.22,16192
111,5.11,100674
112,1.45,23667
113,1.54,24979
114,1.05,13938
