index,time,conflicts
0,0.05,296
1,0.05,317
2,0.06,339
3,0.04,313
4,0.05,366
5,0.05,320
6,0.06,320
7,0.04,212
8,0.05,390
9,0.05,229
10,0.07,396
11,0.26,1849
12,0.13,847
13,0.49,2906
14,0.04,216
15,0.04,203
16,0.18,1183
17,0.07,509
18,0.2,1137
19,1.04,7074
20,0.06,399
21,0.73,4749
22,0.26,1926
23,0.19,1113
24,1.33,9417
25,1.0,7208
26,0.83,6172
27,1.78,17002
28,3.09,47840
29,3.57,56237
30,0.05,357
31,0.07,468
32,0.09,649
33,0.09,605
34,0.12,755
35,0.09,622
36,0.1,883
37,0.64,4617
38,0.28,1827
39,0.28,2053
40,0.62,4100
41,0.4,2784
42,0.46,2940
43,0.57,3650
44,0.48,3075
45,1.95,18494
46,0.02,120
47,0.12,789
48,0.81,5655
49,0.52,3783
50,2.46,28656
51,2.44,28013
52,2.53,32264
53,2.91,41153
54,4.98,67664
55,0.1,668
56,0.14,1030
57,0.07,385
58,0.37,2294
59,0.03,177
60,0.19,1226
61,0.96,6385
62,0.05,455
63,0.08,486
64,0.05,347
65,0.04,348
66,0.11,761
67,0.25,1541
68,0.51,3558
69,0.43,2435
70,0.22,1506
71,1.45,10296
72,0.72,5649
73,1.1,8416
74,0.28,2008
75,0.84,6120
76,1.62,11584
77,2.2,30341
78,0.54,3224
79,1.17,8527
80,0.52,3474
81,1.35,9998
82,0.24,1709
83,0.73,5236
84,1.35,9365
85,3.05,46095
86,0.06,376
87,0.05,454
88,0.06,403
89,0.07,489
90,0.3,1702
91,0.27,1901
92,0.07,414
93,0.55,3535
94,0.14,954
95,0.23,1569
96,0.06,449
97,0.17,1204
98,0.05,377
99,0.13,800
100,0.09,804
101,0.44,2546
102,0.02,106
103,0.02,88
104,1.23,8347
105,4.47,68661
106,2.17,26760
107,4.54,65503
108,1.86,10919
109,2.07,18771
110,0.02,93
111,0.02,100
112,0.06,404
113,0.06,450
114,0.05,456
115,0.02,93
116,0.02,100
117,0.05,338
118,0.05,344
119,0.06,384
120,0.03,249
121,0.04,273
122,0.41,2169
123,0.06,367
124,0.05,288
125,0.1,550
126,0.23,1273
127,0.02,34
128,1.44,9657
129,1.51,10257
130,0.03,112
131,2.42,27287
132,0.02,97
133,0.81,5520
134,0.82,5642
135,0.76,4187
136,1.37,9277
137,0.02,60
138,0.02,59
139,0.26,1269
140,0.02,70
141,0.02,38
142,3.09,34360
143,0.03,104
144,0.02,56
145,0.86,5357
146,0.02,33
147,1.32,7917
148,0.02,69
149,0.95,5525
150,0.74,4136
151,0.43,2584
152,0.52,3148
153,0.19,917
154,1.1,7658
155,0.02,76
156,0.85,5177
157,1.53,9568
158,0.02,82
159,0.18,993
160,0.14,754
161,0.02,62
162,2.16,19586
163,2.5,23127
164,0.04,201
165,0.07,378
166,0.07,352
167,0.04,239
168,0.05,295
169,0.06,290
170,0.06,352
171,0.06,302
172,0.04,311
173,0.05,386
174,0.12,662
175,0.21,1250
176,0.04,240
177,0.06,424
178,0.12,775
179,0.33,2203
180,0.04,287
181,0.13,736
182,0.12,742
183,0.09,601
184,0.05,415
185,0.06,469
186,0.07,481
187,0.23,1357
188,0.17,1042
189,0.32,2043
190,0.07,475
191,0.83,6007
192,0.13,680
193,0.71,5273
194,0.49,3128
195,0.38,2437
196,0.06,347
197,0.22,1380
198,0.26,1743
199,1.67,14463
200,0.11,738
201,0.57,3994
202,0.15,840
203,0.73,4975
204,0.28,1766
205,0.34,2058
206,0.54,3233
207,0.83,5359
208,0.35,2358
209,0.55,3782
210,0.64,4896
211,0.99,7411
212,0.36,2599
213,0.27,1993
214,0.53,3661
215,0.76,5269
216,0.61,4038
217,1.9,20103
218,1.23,8686
219,2.41,29733
220,0.66,4488
221,1.87,21166
222,0.67,4413
223,2.2,27544
224,2.69,33452
225,4.48,75144
226,3.58,53356
227,7.62,134361
228,17.6,287190
229,21.15,363110
230,52.87,833021
231,35.49,614575
232,10.65,191112
233,11.9,199558
234,12.77,209220
235,49.96,808931
236,8.39,145214
237,22.47,383106
238,17.41,302658
239,31.1,498600
240,2.15,34415
241,2.84,45358
242,0.97,8188
243,2.98,54935
244,1.08,8505
245,3.73,66623
246,1.54,10985
247,4.36,77479
248,1.18,8509
249,1.45,9764
250,3.63,60667
251,4.37,68776
252,1.4,9889
253,4.32,71377
254,2.22,20783
255,9.0,143785
256,2.54,39744
257,1.94,26491
258,3.67,58565
259,8.97,155608
260,2.68,43066
261,9.41,157738
262,17.62,283727
263,80.98,1037386
264,2.7,42211
265,4.24,78891
266,3.2,58608
267,3.58,59573
268,0.82,6471
269,2.6,38591
270,16.94,270566
271,4.81,83409
272,7.69,149689
273,6.16,103266
274,2.38,32566
275,6.9,130592
276,0.94,6287
277,3.36,54512
278,6.17,118297
279,3.82,59507
280,2.42,25752
281,3.57,50313
282,3.32,40271
283,10.92,172632
284,3.92,61818
285,3.72,57691
286,17.52,290201
287,16.6,292203
288,0.02,90
289,4.28,85301
290,5.08,91128
291,3.01,53267
292,4.46,83377
293,2.53,33405
294,10.18,179644
295,5.46,97605
296,10.41,189282
297,1.68,13641
298,2.35,23126
299,4.58,80842
300,11.18,173170
301,8.76,163548
302,13.32,245703
303,8.62,139093
304,54.4,821886
305,3.92,62818
306,8.2,137527
307,0.36,2054
308,8.63,143981
309,2.82,33105
310,5.67,74466
311,10.81,173287
312,47.18,610709
313,22.61,387718
314,50.22,766763
315,21.74,371855
316,39.23,624684
317,4.02,64035
318,31.76,417377
319,57.15,804134
320,230.05,2742200
321,2.75,46112
322,2.67,45426
323,1.86,22937
324,1.79,22729
325,2.15,29416
326,2.07,26316
327,1.36,13168
328,1.53,15202
329,0.88,5547
330,1.88,17001
331,0.79,5483
332,0.74,4928
333,3.22,50481
334,2.69,37348
335,3.38,53413
336,2.73,39563
337,1.6,14576
338,2.31,35607
339,1.77,19447
340,2.08,27664
341,1.19,9823
342,1.37,9656
343,2.05,27457
344,3.51,52576
345,1.78,14501
346,1.98,22929
347,2.05,28332
348,3.49,50467
349,1.89,15621
350,2.31,27206
351,3.4,52120
352,6.87,104691
353,2.4,35853
354,2.93,42678
355,5.63,97540
356,16.24,313213
357,2.18,25553
358,2.13,24432
359,7.57,133992
360,11.22,216329
361,5.7,106646
362,11.71,213544
363,2.33,27360
364,8.8,163903
365,9.21,164827
366,20.04,337702
367,8.87,156042
368,13.95,236978
369,9.42,159595
370,9.86,170454
371,3.72,62339
372,4.16,69321
373,2.01,27156
374,3.39,57501
375,3.69,62731
376,2.4,39152
377,3.56,53510
378,4.94,82487
379,10.36,201352
380,9.23,186658
381,3.87,62688
382,3.04,46752
383,3.0,44801
384,2.62,35732
385,0.05,342
386,0.08,516
387,0.03,202
388,0.08,431
389,0.36,2023
390,0.08,462
391,0.05,254
392,0.13,793
393,0.28,1754
394,0.66,4045
395,0.41,2288
396,1.86,16529
397,0.74,4572
398,0.54,3020
399,1.17,8059
400,0.03,92
401,0.04,146
402,0.14,902
403,0.41,2567
404,0.07,370
405,0.4,2377
406,0.89,6157
407,0.34,2180
408,0.03,122
409,1.74,15069
410,0.77,5485
411,2.42,31526
412,1.03,7720
413,2.0,23302
414,0.71,4692
415,2.35,28348
416,0.15,956
417,0.44,3239
418,0.43,3043
419,1.17,8893
420,0.11,760
421,0.28,1911
422,0.31,2005
423,0.61,3803
424,2.03,24339
425,2.51,32999
426,0.81,5723
427,1.96,17600
428,1.67,14154
429,2.34,28678
430,0.35,2175
431,2.38,26716
432,0.93,7898
433,1.72,18476
434,0.69,4874
435,1.8,20832
436,0.24,1532
437,0.24,1784
438,1.14,8563
439,1.49,10426
440,0.26,1806
441,0.82,5367
442,0.14,878
443,0.34,2122
444,1.9,19294
445,2.1,22646
446,3.29,52674
447,2.4,26606
448,0.1,638
449,0.12,705
450,0.29,2158
451,0.31,1997
452,0.11,707
453,0.35,2525
454,0.64,4360
455,0.83,6291
456,0.06,361
457,0.17,1100
458,0.09,474
459,0.67,4215
460,0.68,4774
461,1.54,13633
462,0.78,4854
463,2.04,25246
464,0.79,5628
465,1.26,9120
466,0.03,193
467,1.45,10301
468,0.6,4953
469,1.24,10771
470,1.18,8367
471,2.74,43645
472,1.3,8715
473,2.67,36866
474,1.44,10895
475,3.8,63537
476,0.27,1771
477,0.65,4422
478,1.87,16924
479,2.84,39855
480,0.05,384
481,0.09,688
482,0.12,740
483,0.19,1282
484,0.16,889
485,1.05,7796
486,0.12,852
487,0.88,6655
488,0.17,1180
489,0.17,832
490,0.87,5818
491,1.8,21535
492,1.33,10610
493,0.53,3189
494,1.81,16103
495,0.52,3001
496,0.84,5999
497,0.88,6420
498,1.25,8948
499,1.94,22194
500,0.56,3295
501,1.27,8594
502,1.62,10802
503,1.91,20643
504,0.62,4153
505,1.94,24487
506,2.68,39796
507,2.57,39099
508,0.63,4035
509,2.28,28844
510,2.58,40135
511,4.44,70343
512,2.15,27495
513,5.85,106514
514,3.37,53231
515,12.47,236923
516,4.36,73278
517,12.57,225090
518,8.82,138008
519,38.81,603795
520,0.82,6248
521,2.58,35948
522,1.17,8256
523,3.74,56576
524,6.53,117083
525,8.51,161153
526,10.84,189292
527,10.52,184285
528,7.08,126203
529,20.22,333129
530,5.94,87598
531,12.98,228075
532,9.54,157504
533,12.37,193856
534,117.39,1667397
535,91.31,1329946
536,5.85,96199
537,8.24,130815
538,36.12,603646
539,45.56,695830
540,5.63,83074
541,35.07,544222
542,24.94,419564
543,197.53,2672546
544,5.54,91039
545,9.13,160452
546,8.95,154139
547,12.16,218906
548,3.78,54838
549,35.35,559989
550,53.26,828567
551,28.76,502670
552,4.67,66133
553,55.95,911823
554,203.75,2717989
555,151.35,2133129
556,53.35,799147
557,126.99,1576547
558,152.54,2084858
559,247.89,3059540
560,5.16,87319
561,7.52,125866
562,41.1,685156
563,76.54,1220506
564,6.84,117651
565,88.71,1382529
566,11.5,209445
567,109.08,1526309
568,20.55,357513
569,40.01,665458
570,2.35,27397
571,19.5,327954
572,125.82,1786502
573,134.33,1912190
574,235.19,3007564
575,104.33,1500208
576,5.68,93800
577,11.27,197054
578,1.18,8262
579,33.06,553848
580,4.14,70884
581,3.13,41965
