index,time,conflicts
0,22.12,323822
1,8.79,138227
2,10.8,164483
3,0.58,3011
4,6.55,89658
5,4.86,65261
6,10.42,166141
7,4.55,73446
8,11.06,190214
9,17.72,287190
10,21.19,363110
11,5.63,106787
12,45.67,745298
13,29.32,507383
14,27.11,470823
15,22.77,392541
16,12.86,209220
17,40.5,630936
18,14.45,254496
19,26.53,412419
20,38.13,614219
21,17.42,302658
22,31.36,498600
23,6.35,116727
24,8.81,154319
25,2.3,23663
26,6.97,125719
27,5.07,84631
28,11.24,180031
29,16.04,265204
30,120.47,1546090
31,12.46,235122
32,23.83,384416
33,23.9,421538
34,11.92,206342
35,5.96,93348
36,13.29,200748
37,3.97,64574
38,3.76,57657
39,16.63,285284
40,16.68,307098
41,0.02,90
42,18.15,323063
43,36.3,623325
44,2.63,29388
45,4.55,80842
46,11.06,173170
47,25.84,458770
48,86.05,1185327
49,0.03,81
50,12.39,199566
51,8.86,149969
52,7.65,104115
53,7.86,127460
54,31.06,420147
55,8.57,139176
56,9.09,132076
57,23.16,385996
58,44.61,719599
59,21.89,365272
60,39.86,646778
61,4.23,64968
62,28.64,379217
63,58.63,824203
64,31.85,436968
65,46.82,664483
66,173.32,2129962
67,7.43,140900
68,2.26,23336
69,5.48,94428
70,6.99,122121
71,5.44,86235
72,10.72,170081
73,26.67,468379
74,22.31,390730
75,17.78,322791
76,47.53,710654
77,20.13,352018
78,20.2,350021
79,23.95,378303
80,15.49,258098
81,16.59,279791
82,18.84,323902
83,71.57,1036164
84,5.93,100462
85,27.28,459165
86,1.78,16566
87,8.04,140922
88,5.54,95575
89,4.86,79674
90,15.73,250704
91,5.99,87598
92,6.34,106827
93,6.7,114748
94,24.37,384182
95,16.33,293427
96,16.38,295211
97,51.33,791917
98,14.16,222245
99,26.28,441821
100,22.74,359290
101,17.68,307997
102,28.94,463315
103,17.9,302167
104,5.83,96199
105,4.2,62649
106,6.04,93535
107,23.75,392753
108,30.8,506496
109,14.13,247033
110,27.82,455379
111,5.58,83074
112,35.05,544222
113,6.31,118043
114,6.42,103780
115,7.2,120346
116,7.99,127029
117,34.2,587317
118,31.72,540712
119,28.83,471152
120,43.6,659481
121,36.83,583666
122,24.17,424881
123,26.81,450250
124,0.67,5389
125,1.88,23363
126,3.69,59543
127,3.15,50350
128,7.52,133403
129,4.09,65231
130,6.53,112607
131,2.17,24913
132,10.32,189682
133,2.67,35668
134,2.27,24919
135,12.58,221657
136,7.14,122308
137,1.99,22358
138,9.95,181038
139,5.82,93350
140,13.4,241088
141,3.1,46220
142,25.64,437943
143,9.6,176626
144,9.3,173334
145,15.58,281219
146,1.29,8863
147,3.97,56792
148,6.74,119141
149,36.55,609894
150,6.57,122606
151,11.21,202137
152,25.62,407376
153,1.87,14258
154,7.26,115392
155,11.91,182144
156,35.03,550600
157,43.9,699247
158,20.92,350520
159,11.26,194812
160,23.62,377894
161,6.25,101311
162,28.07,459648
163,7.42,121075
164,47.06,747827
165,23.83,394922
166,11.05,193767
167,23.79,385213
168,53.09,799147
169,128.67,1576547
170,3.75,52832
171,6.92,118295
172,20.33,348614
173,11.05,203440
174,11.07,177049
175,19.81,348738
176,33.08,514392
177,0.02,93
178,45.61,767865
179,11.56,180537
180,12.61,210906
181,9.46,170318
182,112.97,1567053
183,40.89,656145
184,7.96,155933
185,23.96,416237
186,19.52,325519
187,8.26,156325
188,14.44,256260
189,2.14,27874
190,3.29,54038
191,2.26,30222
192,5.94,95853
193,8.34,156114
194,29.59,510469
195,17.07,302229
196,29.11,496927
197,18.59,332510
198,34.08,568675
199,3.95,63887
200,5.74,89130
201,14.5,251386
202,26.89,451919
203,15.57,285218
204,33.98,546449
205,1.74,16121
206,9.92,170028
207,7.9,130478
208,29.1,501333
209,31.04,494988
210,26.26,422033
211,29.35,481401
212,7.79,145943
213,10.32,185982
214,8.85,168338
215,24.59,392704
216,2.37,22983
217,1.03,8011
218,5.84,105768
219,5.48,96215
220,4.71,74778
221,5.63,89518
222,8.77,149223
223,16.87,268669
224,17.59,312553
225,104.55,1431969
226,62.8,1016824
227,18.68,332634
228,29.37,498653
229,19.15,300111
230,17.41,298679
231,48.4,785700
232,141.24,1778978
233,0.03,162
234,19.19,337070
235,33.4,554017
236,36.03,586011
237,22.8,397404
238,3.17,47570
239,3.74,59190
240,2.07,25573
241,7.1,132254
242,1.19,8262
243,4.34,69310
244,9.55,172504
245,5.41,82535
246,5.49,108382
247,7.45,139235
248,4.13,70884
249,3.11,41965
250,12.7,223812
251,3.73,53203
252,14.64,272611
253,8.09,143331
254,13.71,235292
255,33.28,546173
256,96.82,1343286
257,23.29,400236
258,1.65,11788
259,4.33,68701
260,4.24,64336
261,4.68,78559
262,4.83,90457
263,14.79,269971
264,3.17,45390
265,12.61,222950
266,2.23,26502
267,1.92,17124
268,6.38,112427
269,11.04,195106
270,0.04,262
271,2.99,35744
272,4.59,76096
273,5.41,87395
274,8.94,157115
275,5.35,86467
276,3.86,62073
277,2.44,27735
278,21.9,370185
279,7.61,141821
280,7.24,129306
281,6.69,116687
282,23.18,375067
283,8.34,151367
284,88.41,1232969
285,19.52,329572
286,3.16,47391
287,2.56,29672
288,2.51,31229
289,2.22,29321
290,4.83,90499
291,16.79,293141
292,5.8,104043
293,11.96,212881
294,6.65,103457
295,23.68,355217
296,46.81,729553
297,11.3,199036
298,29.58,482492
299,34.52,564192
300,22.18,402510
301,3.99,60546
302,31.28,518047
303,20.55,366761
304,0.03,123
305,64.69,974494
306,51.41,791156
307,24.74,430444
308,4.42,69749
309,14.0,270494
310,56.94,905203
311,7.87,125361
312,33.72,586996
313,0.03,91
314,62.75,1003500
315,47.75,749747
316,35.3,584125
317,13.81,243310
318,82.09,1121812
319,33.75,564208
320,136.2,1748734
321,5.34,85988
322,9.74,171512
323,5.17,78737
324,10.72,184811
325,7.9,137191
326,7.33,120828
327,12.79,209174
328,6.67,115135
329,9.05,164465
330,7.25,122089
331,6.02,102344
332,4.39,70123
333,13.14,250524
334,9.36,163591
335,17.53,289979
336,11.77,206834
337,16.65,308673
338,17.41,296276
339,33.76,541945
340,26.01,473230
341,88.41,1286170
342,85.13,1183874
343,71.53,1008755
344,458.61,5346964
345,13.91,246729
346,13.07,249669
347,21.23,383999
348,22.16,412972
349,40.63,644942
350,19.47,340471
351,0.02,93
352,20.52,333361
353,19.19,311331
354,7.6,135079
355,9.8,172520
356,6.47,106791
357,32.73,499578
358,25.39,415901
359,29.45,507516
360,11.69,216654
361,11.52,221572
362,8.37,151172
363,48.65,746469
364,404.72,4185947
365,6.99,117192
366,5.27,82493
367,5.43,83973
368,8.95,125037
369,5.69,83172
370,6.83,112726
371,2.28,28408
372,1.89,19934
373,1.93,16039
374,4.17,70763
375,5.23,94664
376,5.07,76791
377,12.04,206732
378,4.08,61975
379,1.11,7943
380,2.15,23497
381,13.8,212893
382,3.33,44352
383,4.95,71504
384,13.9,224572
385,1.92,16672
386,9.37,152106
387,1.91,19784
388,2.49,35338
389,7.21,121053
390,66.51,869285
391,7.25,125242
392,15.85,265543
393,0.44,2658
394,2.13,21310
395,2.08,21480
396,0.03,84
397,1.85,17159
398,0.03,150
399,0.03,109
400,58.26,725085
401,0.03,134
402,7.98,136196
403,2.23,34261
404,3.71,56633
405,9.02,155217
406,0.02,92
407,3.22,48801
408,3.75,60036
409,2.34,34203
410,7.2,125043
411,36.6,432383
412,61.12,907134
413,162.97,1787670
414,6.8,115221
415,0.03,159
