index,time,conflicts
0,0.02,208
1,0.07,990
2,0.12,1426
3,0.07,911
4,0.09,1083
5,0.09,1208
6,0.16,1991
7,0.09,1286
8,0.09,1020
9,0.08,1070
10,0.12,1630
11,0.12,1560
12,0.12,1575
13,0.11,1408
14,0.17,2149
15,0.13,1665
16,0.12,1589
17,0.05,712
18,0.11,1408
19,0.09,1222
20,0.12,1579
21,0.05,642
22,0.25,2800
23,0.07,790
24,0.15,1896
25,0.12,1396
26,0.15,1996
27,0.25,2666
28,0.24,2822
29,0.11,1464
30,0.19,2039
31,0.13,1773
32,0.18,2402
33,0.05,631
34,0.11,1482
35,0.09,1057
36,0.1,1484
37,0.07,974
38,0.09,1272
39,0.08,947
40,0.11,1363
41,0.11,1402
42,0.09,1114
43,0.13,1573
44,0.11,1515
45,0.11,1394
46,0.16,2007
47,0.13,1689
48,0.18,2114
49,0.07,989
50,0.09,1217
51,0.07,1100
52,0.12,1419
53,0.1,1361
54,0.14,1670
55,0.11,1527
56,0.13,1577
57,0.06,867
58,0.1,1313
59,0.09,1248
60,0.24,2722
61,0.13,1601
62,0.15,1858
63,0.25,2971
64,0.27,3362
65,0.36,4149
66,0.48,5555
67,0.58,6787
68,1.13,16984
69,0.38,4733
70,0.53,6546
71,1.11,16072
72,1.42,22357
73,1.29,23055
74,1.33,24113
75,2.8,59671
76,3.27,67495
77,2.73,52404
78,1.59,31797
79,2.28,47047
80,2.54,53214
81,0.47,6041
82,0.94,12179
83,0.9,12627
84,1.31,22957
85,0.67,7937
86,0.49,6167
87,1.14,17146
88,1.41,25739
89,2.41,49164
90,1.86,37727
91,2.94,59988
92,3.13,63400
93,1.29,21425
94,1.5,26476
95,2.04,43974
96,3.01,67156
97,0.45,5897
98,1.33,22314
99,0.59,7222
100,1.35,21791
101,1.94,36485
102,1.55,32610
103,1.99,42021
104,2.32,45809
105,1.03,16605
106,0.5,7013
107,0.89,14967
108,1.16,21673
109,1.35,22994
110,2.09,43253
111,1.6,30397
112,2.05,39858
113,0.01,27
114,0.01,82
115,0.01,93
116,0.02,93
117,1.6,29308
118,1.57,28368
119,2.92,62739
120,2.04,42605
121,1.03,16681
122,0.6,8118
123,0.84,12354
124,1.02,16684
125,1.42,24094
126,2.06,42096
127,2.05,41125
128,2.71,56201
129,1.11,19044
130,1.11,17637
131,1.94,43563
132,1.56,30845
133,2.75,57818
134,1.87,36839
135,2.18,48487
136,1.78,36679
137,1.88,42166
138,1.53,28081
139,1.58,26711
140,4.31,89314
141,2.0,42847
142,2.18,44761
143,2.78,60883
144,2.7,60085
145,0.81,9981
146,1.29,22367
147,3.98,79139
148,3.34,68966
149,3.26,64512
150,3.12,63125
151,3.45,62255
152,16.12,290762
153,0.89,10011
154,1.38,23851
155,1.01,13137
156,1.49,25961
157,3.26,71687
158,4.46,94573
159,2.64,57059
160,4.04,93488
161,0.91,12517
162,1.23,21080
163,1.05,14559
164,1.3,20546
165,1.26,20216
166,1.48,26273
167,1.28,19491
168,3.49,72525
169,1.4,25314
170,1.77,34854
171,1.52,29697
172,1.86,39191
173,3.03,68285
174,3.04,70136
175,1.64,29944
176,4.25,94197
177,1.51,28990
178,1.85,39560
179,1.72,34197
180,1.95,39693
181,1.17,17445
182,1.26,22666
183,1.71,34310
184,2.09,46002
185,34.43,571251
186,11.19,218959
187,33.57,575247
188,10.16,211535
189,12.31,248352
190,10.77,221435
191,11.02,219965
192,14.92,303127
193,0.64,7441
194,0.74,8962
195,1.2,19198
196,1.09,17368
197,1.05,17057
198,1.08,17799
199,1.04,15939
200,1.12,17260
201,0.04,400
202,0.63,7799
203,0.56,6857
204,0.32,3617
205,0.35,4140
206,0.52,6083
207,0.46,5852
208,0.28,2819
209,0.3,3508
210,0.25,2978
211,0.41,4726
212,0.34,3611
213,0.37,4458
214,0.4,4689
215,0.38,4367
216,0.42,4914
217,0.49,5947
218,0.39,4649
219,0.47,5778
220,0.28,3294
221,0.37,4162
222,0.45,5161
223,0.64,7295
224,2.08,41284
225,1.81,35483
226,1.92,34602
227,4.4,90455
228,1.17,18476
229,1.62,25853
230,1.08,18989
231,1.91,35647
232,2.25,43671
233,2.2,44200
234,1.14,19840
235,1.24,21678
236,1.21,18838
237,1.03,14062
238,1.41,24884
239,1.3,22375
240,1.3,23048
241,1.7,32192
242,1.68,31863
243,1.79,37013
244,1.47,26578
245,2.71,53159
246,4.68,101821
247,8.58,166543
248,41.99,696233
249,42.05,713245
250,48.15,783063
251,47.91,796718
252,129.11,1788224
253,29.89,503521
254,21.28,389492
255,20.24,369724
256,0.02,78
257,0.02,257
258,0.03,321
259,0.02,278
260,0.04,364
261,0.2,1795
262,0.19,1970
263,0.16,1674
264,0.29,2572
265,0.19,1980
266,0.17,1738
267,0.19,1864
268,0.24,2232
269,0.03,340
270,0.03,269
271,0.2,1853
272,0.18,1768
273,0.17,1576
274,0.27,2388
275,0.02,245
276,0.04,297
277,0.2,1947
278,0.24,2262
279,0.14,1443
280,0.24,2322
281,0.34,4199
282,0.49,6020
283,0.37,4109
284,0.38,4671
