index,time,conflicts
0,0.02,208
1,1.36,21414
2,1.53,27049
3,1.96,38278
4,1.29,23055
5,1.32,24113
6,2.8,59671
7,1.65,28079
8,2.96,67779
9,2.74,52404
10,1.6,31797
11,1.04,14914
12,1.87,36393
13,1.58,26173
14,2.26,43963
15,1.3,21050
16,1.77,30524
17,0.9,13085
18,1.78,37295
19,0.52,6189
20,2.33,48013
21,1.18,18271
22,1.74,34706
23,2.14,41200
24,1.53,30610
25,0.38,4581
26,0.62,6898
27,1.52,27282
28,1.34,24210
29,1.35,22159
30,1.3,21425
31,1.49,26476
32,1.27,21329
33,1.21,21500
34,1.45,26337
35,1.4,22596
36,1.62,31641
37,1.76,31634
38,1.94,36485
39,1.55,32610
40,1.3,20228
41,1.6,28425
42,1.36,24006
43,1.04,14921
44,1.55,27234
45,1.09,18366
46,1.11,21933
47,1.35,22994
48,1.13,18864
49,1.5,26995
50,1.59,30397
51,1.31,21873
52,1.85,32911
53,0.01,27
54,1.76,34323
55,1.87,37495
56,1.68,37759
57,1.46,23305
58,1.83,34670
59,1.49,25787
60,1.11,16999
61,1.57,30796
62,1.12,20586
63,1.32,25154
64,1.42,24094
65,1.21,18580
66,1.41,26397
67,2.06,41125
68,1.81,34778
69,2.36,50695
70,1.71,36350
71,1.8,38800
72,4.13,91190
73,3.29,73211
74,2.16,46782
75,4.77,102124
76,3.19,68848
77,3.12,72437
78,4.1,90685
79,3.92,77352
80,15.39,283473
81,1.5,25632
82,3.33,71687
83,1.93,39215
84,1.58,25356
85,3.16,65415
86,1.85,37230
87,1.69,31368
88,1.55,28405
89,1.87,34553
90,3.17,68144
91,1.45,24489
92,1.7,30450
93,1.45,23791
94,1.29,19491
95,3.44,72525
96,1.4,25314
97,1.78,34854
98,1.52,29697
99,1.86,39191
100,1.17,21373
101,1.6,33690
102,1.1,16826
103,2.16,48098
104,0.99,13730
105,1.7,38003
106,1.08,16464
107,1.79,40140
108,1.4,23081
109,0.86,11458
110,1.34,23092
111,1.34,21592
112,2.42,53511
113,2.73,56988
114,1.28,19050
115,2.67,53013
116,0.67,7534
117,1.19,17067
118,1.51,28990
119,1.86,39560
120,1.73,34197
121,1.31,22509
122,0.94,13466
123,1.5,26076
124,1.63,32717
125,1.17,17445
126,1.25,22666
127,1.72,34310
128,2.08,46002
129,1.44,24672
130,1.28,20682
131,0.02,195
132,7.11,141902
133,24.94,427234
134,1.48,21378
135,1.8,31231
136,1.46,22142
137,1.53,25100
138,1.82,36176
139,3.03,59817
140,1.29,19828
141,1.46,25221
142,0.82,8844
143,4.73,93332
144,1.62,30624
145,0.93,9793
146,5.92,121663
147,1.9,37743
148,0.03,260
149,2.02,39230
150,0.73,8463
151,6.0,119887
152,2.17,39392
153,2.12,43486
154,1.06,14658
155,6.35,127373
156,1.5,26807
157,1.96,37181
158,1.92,38117
159,1.02,13805
160,5.44,111883
161,1.62,28917
162,2.03,40729
163,1.46,24500
164,1.21,20157
165,0.02,221
166,4.47,83202
167,25.86,431870
168,1.4,19846
169,1.67,27068
170,1.52,23513
171,1.67,27391
172,1.81,35644
173,1.42,21836
174,3.25,63960
175,1.6,26776
176,0.71,7209
177,4.98,96375
178,1.84,35414
179,0.9,11050
180,6.12,121443
181,1.39,21935
182,1.78,33241
183,1.54,27754
184,0.95,10994
185,6.17,124031
186,1.42,22984
187,1.87,33437
188,0.12,1078
189,1.86,36278
190,0.83,9310
191,5.83,119398
192,2.14,38955
193,2.16,44276
194,1.06,13497
195,6.61,131911
196,1.56,27557
197,1.93,35493
198,0.37,3613
199,1.25,20378
200,1.05,15846
201,1.96,39310
202,1.33,21818
203,0.02,213
204,6.54,130317
205,1.7,28852
206,1.47,26820
207,1.0,16321
208,2.01,38617
209,1.22,19448
210,1.33,18395
211,0.24,2169
212,6.35,135408
213,2.2,43493
214,2.22,44076
215,0.23,2576
216,0.52,6799
217,1.69,33360
218,1.68,33056
219,2.29,49410
220,1.8,35050
221,1.31,21513
222,0.02,101
223,7.1,143606
224,1.68,31316
225,7.19,147585
226,1.29,21126
227,1.38,23011
228,1.76,37748
229,1.86,40604
230,1.3,22332
231,2.04,43039
232,1.85,36856
233,0.02,160
234,1.22,20824
235,7.14,146710
236,1.44,23236
237,6.79,138798
238,1.48,23547
239,1.71,35797
240,1.89,37299
241,1.01,13895
242,2.06,44305
243,1.16,21267
244,1.44,26346
245,0.02,178
246,8.56,167330
247,1.23,19251
248,1.52,25410
249,1.17,19298
250,7.5,149061
251,1.71,29894
252,2.0,42016
253,1.39,24903
254,2.2,44634
255,4.66,93170
256,0.89,12254
257,0.88,12365
258,1.22,18328
259,1.1,13927
260,0.99,13782
261,1.14,16968
262,0.42,5237
263,0.75,9684
264,0.78,9237
265,1.23,19545
266,0.99,13546
267,1.34,21163
268,1.32,21086
269,2.06,39262
270,1.28,23630
271,1.06,14849
272,1.1,17845
273,1.04,16688
274,1.09,16975
275,1.22,19230
276,1.16,18024
277,1.15,18456
278,1.16,18666
279,1.29,23048
280,1.7,32192
281,1.69,31863
282,1.79,37013
283,1.48,26578
284,2.7,53159
285,0.91,12290
