index,time,conflicts
0,38.33,372906
1,39.55,378848
2,29.1,286751
3,32.0,312922
4,24.33,251169
5,30.57,304563
6,38.95,377059
7,31.79,316507
8,33.86,326643
9,35.31,345111
10,35.69,347243
11,43.11,398366
12,28.95,285697
13,29.46,288096
14,22.46,231143
15,32.31,311426
16,26.39,256258
17,6.37,84257
18,4.61,66418
19,6.33,82668
20,6.86,88365
21,9.63,113934
22,20.39,222245
23,18.63,207513
24,18.16,204735
25,17.93,197758
26,18.32,203524
27,23.4,252627
28,18.45,208562
29,20.16,215211
30,24.68,255939
31,29.15,304988
32,28.14,293904
33,23.09,237156
34,20.28,215398
35,23.76,241787
36,27.87,281547
37,30.46,307565
38,26.02,269308
39,18.01,202802
40,20.02,217277
41,26.03,283717
42,18.78,210309
43,24.73,262074
44,39.56,382904
45,45.23,424797
46,40.07,375519
47,32.63,319282
48,27.59,275603
49,46.83,432249
50,33.02,328647
51,35.27,345595
52,42.37,396352
53,39.82,373182
54,40.6,383708
55,39.1,371418
56,25.47,259011
57,31.29,313301
58,40.76,392530
59,43.04,417962
60,29.16,293725
61,0.1,2594
62,0.09,2664
63,0.1,2738
64,0.1,2765
65,8.48,100361
66,38.38,364239
67,37.55,353283
68,28.83,287832
69,41.03,374826
70,22.17,225325
71,50.21,456519
72,48.88,446331
73,48.26,434181
74,61.23,552703
75,61.11,545456
76,56.96,516862
77,46.47,418991
78,47.76,428431
79,42.24,390462
80,45.7,414716
81,54.05,490546
82,36.52,351951
83,29.99,300598
84,25.98,271863
85,21.37,233512
86,16.85,185842
87,19.6,216410
88,18.65,195133
89,16.14,172554
90,20.82,208657
91,29.66,282361
92,25.19,247434
93,26.47,265080
94,21.29,223151
95,24.21,248767
96,26.84,264763
97,24.93,254286
98,29.77,294499
99,30.68,296230
100,21.61,218933
101,31.07,301903
102,24.12,239349
103,21.26,223372
104,26.35,264876
105,13.68,152679
106,15.58,173018
107,12.52,146482
108,11.48,130806
109,29.32,289367
110,59.63,529438
111,82.61,705223
112,81.7,701184
113,65.64,579121
114,67.63,609321
115,36.92,359350
116,17.88,194586
117,21.37,233279
118,17.67,189649
119,17.65,187773
120,32.32,316505
121,50.37,458661
122,45.45,412005
123,48.78,439131
124,46.1,416658
125,56.64,486268
126,68.84,589700
127,57.39,506002
128,54.03,474433
129,46.33,411954
130,41.25,372258
131,60.48,535535
132,28.74,286536
133,41.19,386337
134,32.02,311536
