index,time,conflicts
0,52.89,499086
1,56.18,417350
2,59.08,451963
3,66.14,439557
4,61.02,467430
5,70.46,470431
6,66.98,437212
7,62.04,415330
8,70.44,511383
9,67.51,459545
10,69.86,441740
11,69.63,443127
12,71.91,457817
13,72.07,450157
14,67.82,420775
15,72.69,431235
16,75.95,546825
17,72.58,445590
18,86.72,543597
19,68.9,425005
20,76.66,465108
21,74.43,426529
22,78.48,466926
23,72.63,428613
24,78.24,480467
25,73.64,441023
26,74.23,446345
27,82.48,485865
28,78.53,471891
29,71.61,406231
30,77.24,466360
31,70.92,451814
32,68.78,525308
33,74.05,477134
34,74.31,459237
35,75.88,448095
36,77.09,467680
37,74.58,429957
38,70.04,410837
39,79.49,474858
40,77.5,472884
41,74.04,422488
42,83.89,484215
43,87.1,494889
44,83.02,482154
45,74.83,429117
46,84.65,492398
47,78.06,459967
48,80.14,519419
49,81.81,473828
50,79.92,469943
51,77.86,450731
52,77.15,470493
53,77.23,426800
54,81.63,452011
55,84.13,484703
56,78.23,496434
57,73.26,433404
58,81.18,461816
59,85.98,476897
60,77.29,500764
61,80.89,467837
62,78.49,467196
63,72.48,445763
