index,time,conflicts
0,0.01,1
1,0.01,1
2,0.01,30
3,0.01,30
4,0.01,30
5,0.01,30
6,0.04,988
7,0.03,688
8,0.01,30
9,0.01,30
10,0.06,1770
11,0.06,1743
12,0.03,879
13,0.03,880
14,0.1,2215
15,0.13,2784
16,0.01,30
17,0.01,30
18,0.11,2711
19,0.1,2412
20,0.07,1739
21,0.06,1145
22,0.15,3169
23,0.21,4570
24,0.05,1185
25,0.05,1272
26,0.16,3007
27,0.16,3332
28,0.12,2914
29,0.12,2760
30,0.24,4673
31,0.26,4680
32,0.01,30
33,0.01,30
34,0.12,3007
35,0.15,3855
36,0.15,3399
37,0.11,2461
38,0.24,5027
39,0.3,6135
40,0.08,1909
41,0.06,1527
42,0.31,5510
43,0.28,5408
44,0.19,3713
45,0.21,4147
46,0.42,7920
47,0.4,7415
48,0.04,951
49,0.03,815
50,0.25,5405
51,0.22,4531
52,0.17,3189
53,0.21,4326
54,0.41,7554
55,0.44,6990
56,0.11,2738
57,0.14,2841
58,0.39,6974
59,0.31,4849
60,0.26,4708
61,0.23,4273
62,0.57,8942
63,0.6,10584
64,0.01,30
65,0.01,30
66,0.17,3999
67,0.22,4990
68,0.12,2962
69,0.15,3699
70,0.41,8676
71,0.57,14318
72,0.09,2090
73,0.1,2465
74,0.37,8033
75,0.59,13774
76,0.31,6138
77,0.39,8168
78,0.69,13297
79,0.82,18901
80,0.06,1650
81,0.07,1557
82,0.51,10758
83,0.48,9781
84,0.3,5933
85,0.35,6522
86,0.79,17775
87,0.92,19999
88,0.21,3630
89,0.24,5372
90,0.67,14061
91,0.6,11119
92,0.35,6587
93,0.52,8639
94,0.98,19879
95,1.12,21307
96,0.04,942
97,0.04,726
98,0.36,7370
99,0.32,5815
100,0.23,4762
101,0.23,4909
102,0.8,18072
103,0.89,19035
104,0.17,3218
105,0.21,3879
106,0.53,9000
107,0.77,14253
108,0.38,6186
109,0.65,12543
110,1.25,24377
111,1.34,27557
112,0.11,2556
113,0.13,2826
114,0.67,13799
115,0.67,12133
116,0.3,5103
117,0.4,6554
118,1.09,23335
119,0.96,16778
120,0.22,4118
121,0.23,4228
122,0.92,16181
123,0.82,14357
124,0.52,7171
125,0.39,6272
126,1.0,19081
127,0.99,19288
128,0.01,30
129,0.01,30
130,0.14,3656
131,0.17,4299
132,0.13,2989
133,0.18,4118
134,0.65,16292
135,0.76,19415
136,0.1,2348
137,0.14,3498
138,0.81,19938
139,0.82,19695
140,0.45,8523
141,0.36,7686
142,0.94,23793
143,1.02,23363
144,0.09,1891
145,0.11,2353
146,0.77,19569
147,0.73,17295
148,0.42,8540
149,0.44,8265
150,1.09,24557
151,1.07,23456
152,0.35,7051
153,0.49,11236
154,1.17,25950
155,1.16,24653
156,0.74,15221
157,0.82,17468
158,1.38,30515
159,1.29,24754
160,0.07,1655
161,0.09,1961
162,0.51,12595
163,0.78,18379
164,0.37,6831
165,0.48,10840
166,1.32,29717
167,1.27,28505
168,0.32,6378
169,0.31,5776
170,0.95,19769
171,1.26,27459
172,0.94,19508
173,0.75,15916
174,1.49,29508
175,1.77,33932
176,0.19,3989
177,0.23,4588
178,0.97,21431
179,1.26,25710
180,0.5,8515
181,0.88,15715
182,1.44,27927
183,1.69,31230
184,0.42,7407
185,0.37,5954
186,1.31,24635
187,1.85,32993
188,0.94,17263
189,0.97,19588
190,1.65,32222
191,1.28,24580
192,0.04,965
193,0.05,1277
194,0.47,11340
195,0.74,17747
196,0.35,6933
197,0.45,7570
198,1.17,26767
199,1.41,31583
200,0.29,5592
201,0.35,7034
202,1.01,23016
203,1.31,28162
204,1.02,21860
205,1.03,21289
206,1.62,30406
207,1.54,31479
208,0.14,2936
209,0.17,3525
210,0.94,19651
211,1.12,25669
212,0.88,17334
213,0.77,15107
214,1.65,29945
215,1.73,33808
216,0.4,6432
217,0.44,6913
218,1.37,24434
219,1.7,30219
220,0.9,17218
221,1.2,22793
222,1.46,25314
223,1.83,32047
224,0.13,2950
225,0.15,3196
226,0.92,20006
227,1.12,23251
228,0.77,16129
229,0.47,7408
230,1.63,31042
231,1.37,27744
232,0.39,7012
233,0.38,6310
234,1.63,31381
235,1.44,24767
236,1.09,20267
237,0.95,16598
238,1.84,34380
239,1.98,35524
240,0.29,5125
241,0.25,4188
242,1.27,26150
243,1.19,21869
244,1.01,19757
245,0.67,8652
246,1.73,31471
247,1.57,24752
248,0.53,8424
249,0.39,6965
250,1.51,28459
251,1.27,24850
252,1.06,20635
253,1.0,21223
254,1.54,25568
255,1.5,26735
256,0.01,30
257,0.01,30
258,0.13,3005
259,0.1,2309
260,0.1,2391
261,0.16,3818
262,0.53,12644
263,0.8,20186
264,0.11,2542
265,0.14,3383
266,0.9,23432
267,0.91,23460
268,0.41,7924
269,0.66,16696
270,1.39,30789
271,1.33,29508
272,0.12,2672
273,0.13,3189
274,0.84,21229
275,0.89,23038
276,0.63,16429
277,0.74,18677
278,1.62,36510
279,1.53,34311
280,0.35,7277
281,0.58,13680
282,1.35,28559
283,1.38,30068
284,1.28,29606
285,1.17,28950
286,1.5,32098
287,2.05,43598
288,0.09,2201
289,0.11,2233
290,0.92,24321
291,0.94,23742
292,0.73,18841
293,0.75,19497
294,1.67,36352
295,1.72,36963
296,0.42,8861
297,0.39,7934
298,1.64,34473
299,1.57,34296
300,1.31,28869
301,1.16,24607
302,1.99,39702
303,2.07,39959
304,0.29,5833
305,0.29,5627
306,1.42,31786
