index,time,conflicts
0,0.36,10018
1,0.97,31074
2,1.84,56506
3,2.67,76925
4,2.07,60535
5,3.48,91125
6,2.88,71904
7,3.37,80814
8,2.87,79005
9,4.12,102226
10,4.17,94489
11,5.31,116496
12,4.0,93052
13,5.45,114375
14,5.2,115116
15,5.12,108553
16,2.91,78222
17,5.3,130415
18,6.65,145550
19,7.32,150475
20,5.23,112716
21,6.92,140526
22,5.82,116452
23,7.31,144028
24,5.33,120878
25,7.47,153053
26,6.16,119161
27,8.18,153885
28,6.21,124391
29,7.79,148289
30,6.76,132592
31,6.57,128578
32,3.53,89200
33,5.81,133471
34,7.13,146345
35,7.46,149292
36,6.66,139129
37,8.47,164425
38,7.42,141802
39,7.55,135178
40,7.01,140932
41,9.38,170551
42,8.37,151095
43,8.61,150912
44,7.76,140074
45,7.92,143009
46,8.61,149537
47,8.08,142901
48,6.89,143786
49,7.67,145132
50,8.76,162800
51,7.84,133859
52,7.62,136896
53,8.56,144486
54,8.15,136717
55,8.83,156299
56,6.73,135013
57,8.26,139015
58,8.81,143053
59,8.51,137794
60,8.38,148275
61,8.89,149684
62,9.84,161562
63,8.15,153365
64,2.84,73305
65,6.21,127732
66,7.28,145851
67,8.47,154247
68,7.62,145024
69,9.18,158948
70,8.55,150849
71,9.06,154676
72,7.64,146709
73,8.88,153558
74,9.25,152980
75,9.34,148742
76,10.71,178519
77,9.25,143553
78,9.39,152539
79,9.35,146370
80,7.2,137546
81,8.8,149922
82,9.32,151703
83,8.91,137155
84,8.69,149466
85,9.3,146058
86,9.86,154591
87,10.07,153007
88,8.56,150013
89,8.75,139571
90,10.27,147668
91,10.13,145841
92,9.85,151137
93,9.74,146206
94,9.92,144061
95,10.28,156517
96,6.37,128784
97,8.65,150071
98,8.58,141534
99,9.31,149798
100,9.91,158236
101,9.76,156816
102,9.15,143191
103,9.36,140479
104,9.6,156706
105,9.71,147997
106,9.46,147549
107,9.28,135959
108,9.48,142743
109,8.92,136046
110,9.77,144891
111,9.64,148867
112,9.4,161611
113,9.07,151721
114,8.98,137416
115,10.04,145142
116,9.87,147572
117,10.69,158572
118,10.11,155342
119,9.99,141083
120,9.62,155132
121,8.78,141033
122,10.35,153797
123,10.17,141675
124,10.26,154513
125,11.27,167002
126,10.39,161569
127,9.22,151861
128,1.84,51709
129,4.12,95966
130,7.31,139282
131,7.43,138499
132,9.41,171476
133,8.37,141901
134,8.62,144599
135,10.14,176621
136,8.54,151367
137,8.89,146093
138,9.74,151749
139,9.39,149511
140,9.46,149990
141,8.78,138837
142,9.83,153175
143,9.49,146578
144,7.93,143327
145,9.06,147116
146,9.29,148957
147,10.6,158009
148,9.23,138621
149,9.42,144315
150,10.51,152216
151,10.15,147039
152,9.27,148076
153,9.26,136287
154,10.05,152566
155,10.84,151293
156,10.5,151719
157,9.47,132371
158,10.42,155150
159,9.4,138770
160,7.09,131877
161,9.46,153623
162,8.83,134259
163,8.93,135817
164,9.67,149941
165,8.93,128755
166,9.52,142076
167,10.17,139773
168,10.44,159915
169,9.18,135760
170,9.5,136405
171,9.73,133960
172,9.83,146135
173,10.74,148372
174,10.19,144235
175,11.27,149250
176,9.21,145237
177,9.52,148313
178,9.23,135671
179,10.55,155174
180,9.86,139929
181,10.65,141161
182,10.07,141325
183,10.94,145023
184,9.99,148017
185,9.96,138014
186,10.31,142565
187,11.98,160124
188,10.95,148623
189,12.14,160003
190,10.89,150582
191,11.13,159578
192,5.7,119836
193,9.62,164198
194,9.58,158587
195,10.42,155804
196,10.42,159264
197,9.59,145526
198,9.96,149666
199,10.45,155380
200,8.64,140451
201,10.12,151740
202,11.13,162035
203,11.31,156119
204,10.15,151353
205,10.06,136184
206,10.71,143414
207,9.37,131639
208,9.67,150273
209,10.68,148106
210,9.9,144161
211,10.78,149781
212,10.91,156226
213,10.35,140388
214,10.32,142210
215,10.58,143473
216,10.74,155360
217,9.96,133364
218,10.03,140557
219,10.52,141354
220,11.04,153733
221,12.23,166207
222,10.63,142274
223,11.05,156933
224,9.25,154238
225,10.57,160556
226,11.16,162469
227,10.1,148703
228,10.7,157688
229,11.15,155586
230,10.33,140048
231,10.08,137459
232,10.43,161169
233,9.85,139642
234,10.26,137146
235,10.47,133726
236,10.09,140830
237,11.2,155402
238,11.43,155112
239,11.39,155527
240,9.77,154852
241,10.23,152479
242,10.7,153013
243,11.16,151566
244,10.76,149838
245,10.21,139219
246,12.67,179736
247,11.65,157696
248,10.31,159971
249,10.77,156751
250,10.35,149701
251,11.19,155121
252,11.77,173430
253,10.69,142545
254,12.92,200670
255,8.77,147131
