index,time,conflicts
0,58.91,530749
1,68.72,530282
2,72.51,530627
3,72.16,472283
4,74.48,566450
5,76.91,494675
6,73.92,490834
7,70.83,442487
8,71.08,535771
9,77.23,488899
10,71.21,466731
11,78.6,457470
12,75.7,503220
13,98.81,566699
14,85.07,506043
15,88.73,525166
16,80.67,588159
17,83.56,504092
18,76.52,488346
19,85.21,502978
20,77.4,491089
21,90.9,506760
22,87.37,501434
23,94.05,524433
24,81.68,528578
25,89.77,517847
26,77.12,468105
27,87.1,486438
28,91.29,513128
29,86.89,472868
30,83.04,471584
31,91.9,520886
32,80.88,619093
33,83.34,506916
34,70.89,449541
35,85.1,487419
36,80.05,511404
37,87.6,504417
38,91.16,527307
39,88.27,506771
40,76.3,485365
41,92.1,511132
42,79.23,453121
43,86.51,481733
44,84.99,490548
45,87.37,464593
46,82.21,469324
47,95.97,518433
48,79.95,490145
49,82.63,475343
50,84.03,481598
51,91.87,491272
52,88.16,512745
53,92.42,499417
54,90.82,485348
55,100.33,533894
56,81.59,502344
57,88.19,478205
58,87.41,483516
59,79.89,443575
60,83.61,495149
61,90.37,490436
62,86.98,491250
63,97.63,515980
