index,time,conflicts
0,0.59,16356
1,1.79,46043
2,2.32,56151
3,3.63,77620
4,3.14,78072
5,4.94,99155
6,5.56,113304
7,5.41,98154
8,3.27,82394
9,6.29,124079
10,6.67,125248
11,9.4,152751
12,5.72,113138
13,9.95,159007
14,8.62,150612
15,8.93,134967
16,3.71,91253
17,7.85,148959
18,7.56,149400
19,10.24,173097
20,7.93,160796
21,10.1,158906
22,10.4,171583
23,11.72,167187
24,6.68,130420
25,9.71,153485
26,10.49,167671
27,13.47,189066
28,9.7,162889
29,13.0,178827
30,10.61,160372
31,11.73,169178
32,3.56,86679
33,7.1,135334
34,8.19,158911
35,11.54,185095
36,8.26,152038
37,11.38,181155
38,10.34,165446
39,12.16,173456
40,8.3,149457
41,11.32,174813
42,12.44,181621
43,13.42,173236
44,10.53,165819
45,13.57,178952
46,12.33,161264
47,13.42,168777
48,7.36,140432
49,11.85,183124
50,12.6,185222
51,15.35,202009
52,11.97,172499
53,13.7,180187
54,14.1,169723
55,16.04,192833
56,11.25,179732
57,12.24,170416
58,14.34,191367
59,16.8,200455
60,11.95,164310
61,14.86,181901
62,13.79,186724
63,14.16,176355
64,2.26,56651
65,7.95,147486
66,7.88,144193
67,10.52,166633
68,7.73,143508
69,11.15,171626
70,11.55,178610
71,12.8,175407
72,10.1,185870
73,11.61,164537
74,12.39,182055
75,14.02,185569
76,10.93,163870
77,11.88,165841
78,13.38,180123
79,12.37,150594
80,8.91,154103
81,12.77,174651
82,13.04,185732
83,14.33,190588
84,11.98,175490
85,12.53,165543
86,15.09,198862
87,18.13,217094
88,10.94,165128
89,13.24,176469
90,15.18,186784
91,14.49,165946
92,14.3,182475
93,17.61,198097
94,14.02,167196
95,14.25,161482
96,6.82,130463
97,14.76,209021
98,11.86,178047
99,13.34,175250
100,11.48,173200
101,13.75,174324
102,14.77,189043
103,15.19,181264
104,13.51,196639
105,14.64,178771
106,15.6,191829
107,16.02,183333
108,18.72,228572
109,15.82,176380
110,16.12,188375
111,17.69,187535
112,10.76,167278
113,13.57,170114
114,13.76,169952
115,13.8,164086
116,12.75,163263
117,15.96,186836
118,15.08,170637
119,17.72,191753
120,14.07,192091
121,14.4,180176
122,15.01,178982
123,17.5,193175
124,12.44,163632
125,14.51,162630
126,14.74,178430
127,16.16,180906
128,1.28,34380
129,4.81,101071
130,6.91,135753
131,10.6,168734
132,8.2,149740
133,10.35,155760
134,10.34,158928
135,11.93,169125
136,7.97,147626
137,11.88,183059
138,12.67,181945
139,13.76,184705
140,11.86,181830
141,12.62,164234
142,13.43,179857
143,16.1,202422
144,8.09,149147
145,13.22,191356
146,12.94,189615
147,12.3,161887
148,13.73,199306
149,14.62,181281
150,13.7,176045
151,12.33,151318
152,11.81,174134
153,13.95,178358
154,13.72,177147
155,14.02,171895
156,13.95,178182
157,13.19,155683
158,14.09,165571
159,15.41,185778
160,7.6,136918
161,12.16,172822
162,12.71,170663
163,13.6,176131
164,12.33,170770
165,12.7,166180
166,14.84,192404
167,14.97,177674
168,13.2,193027
169,15.22,186165
170,14.54,198590
171,17.32,211024
172,14.72,194108
173,16.38,188701
174,17.33,200278
175,17.28,189984
176,11.4,167596
177,14.6,187982
178,15.5,191039
179,14.2,183096
180,14.36,183724
181,15.59,178793
182,17.0,188974
183,15.25,160564
184,15.45,191717
185,15.91,186176
186,15.22,173357
187,14.61,160136
188,14.59,171356
189,15.78,168166
190,16.87,189690
191,15.61,160050
192,5.22,101860
193,11.31,177877
194,12.67,182434
195,15.62,202245
196,13.09,189222
197,14.33,183508
198,13.13,160611
199,16.31,197727
200,13.12,195792
201,14.65,193602
202,15.6,191672
203,18.29,208864
204,14.56,177093
205,16.86,189980
206,13.94,163791
207,19.11,207420
208,11.68,169982
209,15.36,197145
210,14.04,169335
211,15.22,168757
212,14.13,171971
213,16.02,173340
214,17.61,195090
215,20.11,209435
216,15.2,186409
217,15.59,177323
218,16.9,184825
219,16.04,174687
220,15.51,174235
221,18.17,191961
222,16.85,185728
223,17.86,177578
224,9.53,156523
225,15.83,209463
226,14.66,186822
227,15.92,189938
228,13.08,175235
229,16.31,187656
230,17.49,200589
231,15.25,167070
232,14.89,195917
233,16.0,196316
234,18.67,218259
235,15.67,163057
236,14.45,163275
237,16.55,168656
238,19.77,216030
239,15.88,154697
240,13.88,184354
241,13.93,166856
242,16.22,194694
243,16.04,175711
244,15.62,184347
245,15.61,172857
246,19.17,200242
247,16.37,166294
248,16.11,197196
249,15.76,179875
250,15.93,180085
251,18.02,190074
252,15.84,185977
253,16.16,179545
254,17.15,198857
255,14.36,170984
