index,time,conflicts
0,638.11,7896266
1,790.0,9918665
2,846.0,10332242
3,820.28,9925249
4,769.02,9291509
5,937.36,11424451
6,881.3,10554001
7,515.88,6792180
8,669.16,8468576
9,1569.76,18081612
10,1239.4,14270311
11,1182.19,14652961
12,983.59,11805946
13,1540.2,17541610
14,1216.38,13700222
15,751.72,9549620
16,700.83,8211129
17,967.55,10927695
18,947.56,10699038
19,874.15,10857780
20,899.18,10099272
21,1023.67,11818132
22,1028.61,11626425
23,565.48,7272120
24,1180.47,13135034
25,1224.33,13596536
26,1557.35,16488064
27,1455.0,17184006
28,1448.42,16196063
29,1783.92,20106149
30,1597.19,18939693
31,1217.07,13558463
32,630.8,7630449
33,798.19,9350086
34,791.59,8880009
35,734.44,8884548
36,778.71,8686922
37,934.25,10836130
38,821.85,9217140
39,572.52,7039667
40,1111.65,12565446
41,1701.46,19633040
42,1115.76,12352901
43,1373.1,14942181
44,1649.4,19199023
45,2055.18,23243362
46,1763.89,20200317
47,1117.01,13315702
48,803.57,9507500
49,1248.08,14239777
50,1077.49,12020025
51,798.86,10128442
52,1020.92,11944658
53,1088.86,13040668
54,1208.59,13122118
55,572.6,7722442
56,835.81,10555550
57,1257.87,15581809
58,1063.63,11135273
59,1064.82,13087637
60,1177.69,14533365
61,921.7,11831373
62,1309.56,15420082
63,714.12,8620595
64,731.39,8706547
65,986.04,11397136
66,891.55,10335379
67,726.2,8667649
68,817.6,9504608
69,854.7,10177511
70,878.02,10063618
71,634.99,7727697
72,1002.69,12273306
73,1797.37,20305588
74,1347.63,14344066
75,1319.34,14879299
76,1009.68,12475285
77,1493.99,15227550
78,1676.94,17371203
79,937.35,11804457
80,883.07,10015901
81,1159.86,12936830
82,1141.76,12402525
83,893.48,10722829
84,895.17,10321355
85,1070.32,12524765
86,1168.45,13189289
87,613.18,7914920
88,1259.99,15614708
89,1274.54,14190275
90,1573.24,17998256
91,1634.63,19057994
92,1426.54,15557045
93,1279.19,14894331
94,1440.11,16673170
95,1134.09,14509730
96,709.58,8220049
97,974.94,11214988
98,862.88,9593230
99,813.09,9705325
100,906.03,10124072
101,926.15,10781139
102,924.01,10224552
103,605.7,7287597
104,1397.65,15700920
105,1723.9,19498272
106,1464.68,15829181
107,1496.56,16250234
108,1536.91,17671079
109,1672.83,17379589
110,1416.87,16562427
111,1326.68,15707197
112,804.32,9942364
113,1174.56,13839045
114,1134.9,13570633
115,953.96,11741965
116,1061.97,12261179
117,1135.45,13451636
118,1155.81,13601226
119,571.56,7679318
120,347.25,4835792
121,481.02,6791155
122,469.47,6462825
123,444.02,6486614
124,433.26,5982106
125,605.83,8584567
126,530.79,7399866
127,510.04,7389938
