index,time,conflicts
0,3879.06,32013783
1,5178.11,38692871
2,4854.6,37352983
3,3962.53,31539690
4,5283.45,40496144
5,7186.33,53038117
6,6688.87,50788531
7,7128.01,50789625
8,3831.28,28321847
9,5241.92,37297076
10,5090.31,36485466
11,4726.32,33734510
12,6767.76,49224377
13,8810.8,59508473
14,9079.54,57477283
15,9574.97,64734703
16,4592.13,32765060
17,5283.42,36856513
18,4780.29,34578230
19,4319.48,32608720
20,6164.23,41803554
21,7712.51,50882269
22,8051.56,54735912
23,8769.32,58990642
24,5931.82,41286482
25,6109.58,43363744
26,5592.97,40345721
27,5787.18,40604057
28,5868.6,41520361
29,7525.19,50641991
30,6815.53,46532250
31,8077.85,54447960
32,4881.1,34599562
33,5117.03,37991314
34,4654.97,33021548
35,4175.06,32733849
36,5591.36,40443747
37,7516.64,54052647
38,6612.97,50411456
39,7552.7,57346297
40,3792.27,30974757
41,4869.5,37719548
42,4244.85,32522286
43,6091.72,43539744
44,7110.87,51424124
45,8855.05,63537168
46,7429.04,53409707
47,9332.2,65024911
48,4411.88,34599408
49,5063.69,38144679
50,5828.44,41688880
51,4150.32,32746622
52,8557.05,58789341
53,7450.65,55110674
54,8656.07,62945053
55,8569.63,58680576
56,4530.18,38346723
57,5773.37,45020940
58,5848.51,45345076
59,5396.14,43825331
60,4164.6,32910980
61,4453.52,33829831
62,3336.58,26656791
63,4114.64,33332571
