index,time,conflicts
0,85.01,1389582
1,112.87,1527200
2,125.33,1778244
3,122.24,1622348
4,120.5,1755169
5,143.94,1942471
6,170.27,2501230
7,118.27,1644599
8,87.64,1323721
9,116.09,1613497
10,130.15,1871469
11,109.74,1474492
12,132.22,1890220
13,123.89,1638380
14,124.5,1761637
15,112.42,1681336
16,117.67,1569073
17,141.27,1868719
18,147.76,1766009
19,132.76,1630596
20,140.41,1722439
21,131.19,1607664
22,199.08,2297738
23,142.9,1813492
24,122.94,1579885
25,114.32,1435870
26,156.4,1796828
27,147.56,1774569
28,167.79,1932661
29,169.96,2086699
30,172.57,2007512
31,150.87,1972187
32,111.88,1457626
33,143.94,1671680
34,122.87,1529605
35,156.9,1808240
36,115.75,1498254
37,193.88,2161554
38,175.69,2158018
39,173.82,2171028
40,133.06,1735289
41,156.34,1785574
42,141.86,1858738
43,188.56,2206839
44,157.74,1970554
45,165.49,1991595
46,168.83,2137476
47,159.53,2118047
48,130.38,1718570
49,165.94,2085703
50,208.48,2334612
51,140.81,1687627
52,180.28,2144003
53,169.33,2052138
54,216.59,2391058
55,150.3,1800697
56,154.09,1877900
57,179.81,2161257
58,205.36,2355717
59,147.64,1722017
60,203.18,2374928
61,162.76,1931698
62,184.79,2272776
63,162.76,2013281
64,101.94,1422981
65,149.01,1813240
66,143.23,1791523
67,182.18,2271833
68,125.28,1636758
69,194.51,2346042
70,155.64,1962244
71,152.82,1916793
72,110.62,1529970
73,169.53,1910970
74,142.75,1752207
75,166.62,2045005
76,130.7,1671878
77,149.74,1783281
78,158.66,2065702
79,142.62,1867201
80,134.49,1785963
81,149.61,1830465
82,180.48,2023067
83,176.21,1974867
84,163.58,1866318
85,141.92,1708836
86,231.79,2622660
87,156.1,1843341
88,151.59,1798115
89,186.47,2135787
90,203.3,2336756
91,201.14,2255716
92,151.56,1709956
93,160.78,1910064
94,187.04,2134690
95,178.61,2160688
96,152.41,2143489
97,177.59,2098872
98,156.93,1940483
99,164.7,1884862
100,183.52,2281285
101,228.19,2649457
102,162.92,2114106
103,210.46,2507781
104,158.67,2088808
105,200.09,2234899
106,161.84,1977839
107,217.27,2616354
108,179.77,2208697
109,190.08,2132850
110,166.36,2087265
111,181.3,2277659
112,113.81,1592318
113,154.52,1904806
114,222.5,2533722
115,131.22,1617109
116,196.49,2455042
117,177.68,1997930
118,225.67,2658650
119,137.26,1672998
120,184.34,2240849
121,192.68,2316236
122,252.16,2918489
123,150.16,1796320
124,233.08,2812644
125,162.65,1953527
126,207.33,2619733
127,137.61,1775046
128,89.56,1329351
129,145.94,1845617
130,118.29,1544174
131,141.56,1808711
132,111.0,1487457
133,155.67,1863216
134,133.3,1746104
135,152.29,1994222
136,105.08,1520224
137,137.94,1712006
138,136.15,1733687
139,172.16,2280672
140,120.46,1621397
141,131.97,1654128
142,127.36,1707843
143,134.48,1864368
144,114.27,1590450
145,158.74,2017212
146,168.82,1842069
147,155.38,1735722
148,159.75,1950750
149,140.16,1612538
150,208.78,2254937
151,171.06,1943368
152,164.57,2064323
153,123.52,1541267
154,192.95,2109539
155,194.56,2318016
156,158.37,1833455
157,169.81,2029662
158,179.9,2143898
159,156.96,1868146
160,123.6,1725731
161,191.34,2228893
162,170.38,2084402
163,208.44,2527049
164,127.55,1597873
165,187.36,2151597
166,195.58,2371437
167,219.03,2627031
168,140.61,1799317
169,201.41,2339206
170,123.73,1548459
171,190.35,2177017
172,177.85,2175143
173,215.2,2511949
174,209.29,2711563
175,169.26,2032907
176,118.81,1563571
177,178.01,2160711
178,212.28,2422951
179,153.72,1859020
180,187.23,2159741
181,178.26,2134217
182,230.47,2748547
183,147.04,1800356
184,185.01,2328256
185,205.6,2357751
186,218.67,2524589
187,141.93,1737570
188,228.36,2644959
189,180.02,2058270
190,198.08,2397260
191,138.8,1750323
192,116.83,1623007
193,172.29,2081449
194,132.39,1676562
195,173.0,2089571
196,137.42,1739969
197,157.46,1857995
198,164.5,2104238
199,187.44,2343351
200,127.46,1733826
201,165.9,1933421
202,151.08,1827415
203,199.18,2371151
204,132.51,1766297
205,182.08,2152712
206,178.57,2380703
207,162.62,2147903
208,121.8,1591634
209,132.88,1741970
210,201.87,2405210
211,166.85,1901848
212,205.12,2316743
213,158.37,1964646
214,207.07,2301568
215,164.24,1995791
216,179.99,2214671
217,149.57,1901458
218,208.91,2319332
219,170.22,1997033
220,186.45,2118700
221,170.54,2208181
222,187.15,2149311
223,159.46,2076867
224,138.2,1993052
225,162.28,2045662
226,189.96,2457735
227,195.09,2508448
228,171.68,2150170
229,202.85,2621750
230,178.45,2400933
231,187.43,2384416
232,155.96,1923895
233,189.82,2322217
234,185.15,2351231
235,190.42,2404330
236,181.81,2377464
237,202.58,2374202
238,132.11,1752204
239,175.72,2378825
240,109.03,1632039
241,165.79,2201456
242,234.72,2965301
243,148.35,1870794
244,219.75,2735923
245,190.42,2405117
246,197.23,2393023
247,133.56,1734019
248,200.53,2591881
249,175.47,2310390
250,227.03,2771714
251,144.22,1800434
252,232.25,3129855
253,174.83,2333741
254,186.2,2458768
255,113.25,1575806
